기간	자치구	지역내총부가가치(당해년가격)	구성비	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	순생산물세	구성비
2016	마포구	15,183,264	4.6	732	0.2	-	-	313,189	1.5	98,875	4.3	478,226	4.6	2,193,687	3.9	785,684	7.4	604,928	5.4	4,670,483	14.2	573,540	1.5	1,514,034	3.9	2,161,224	4.9	295,659	1.6	726,611	4.5	308,433	1.9	457,961	4.5	1,172,469	3.6
2016	양천구	5,584,997	1.7	241	0.1	-	-	257,557	1.3	90,239	3.9	202,124	1.9	669,143	1.2	336,166	3.2	216,593	1.9	711,308	2.2	196,914	0.5	949,468	2.4	239,092	0.5	420,311	2.3	576,544	3.6	478,498	3	240,800	2.3	437,306	1.4
2016	강서구	9,781,642	3	11,178	2.4	-	-	523,900	2.5	103,494	4.5	1,195,515	11.5	1,510,843	2.7	1,340,378	12.6	405,091	3.6	477,312	1.5	181,190	0.5	1,314,591	3.4	930,124	2.1	275,197	1.5	605,850	3.7	516,537	3.2	390,443	3.8	958,077	3
2016	구로구	10,900,981	3.3	1,923	0.4	-	-	1,854,390	9	92,509	4	170,010	1.6	1,680,841	3	301,378	2.8	309,692	2.8	2,093,544	6.4	347,458	0.9	839,250	2.2	1,676,270	3.8	279,743	1.6	462,979	2.9	523,681	3.2	267,313	2.6	1,063,928	3.3
2016	금천구	13,511,226	4.1	180	0	824	3.5	3,676,810	17.9	66,635	2.9	324,313	3.1	2,027,773	3.6	380,076	3.6	205,603	1.8	2,258,987	6.9	140,668	0.4	840,474	2.2	2,801,354	6.3	169,811	0.9	219,152	1.4	181,257	1.1	217,311	2.1	1,493,725	4.6
2016	영등포구	25,044,737	7.7	4,646	1	674	2.8	986,967	4.8	112,463	4.8	453,119	4.3	4,339,984	7.7	596,604	5.6	653,730	5.8	2,776,060	8.5	6,531,304	16.9	2,013,139	5.2	3,780,550	8.5	871,297	4.8	424,352	2.6	657,669	4.1	842,179	8.2	2,656,961	8.3
2016	동작구	4,820,579	1.5	178	0	-	-	60,215	0.3	76,777	3.3	213,351	2	541,049	1	76,263	0.7	240,560	2.1	291,602	0.9	143,049	0.4	807,070	2.1	662,621	1.5	314,874	1.7	726,895	4.5	500,647	3.1	165,429	1.6	364,228	1.1
2016	관악구	4,951,841	1.5	723	0.2	1,348	5.7	242,217	1.2	100,166	4.3	270,157	2.6	493,689	0.9	132,447	1.2	340,532	3	423,281	1.3	111,342	0.3	770,947	2	476,976	1.1	246,108	1.4	795,978	4.9	312,279	1.9	233,651	2.3	406,390	1.3
2016	서초구	27,191,266	8.3	241,118	52.8	3,371	14.1	1,018,934	5	145,007	6.2	686,211	6.6	5,093,149	9.1	1,049,365	9.8	880,854	7.8	2,178,018	6.6	1,073,114	2.8	3,905,112	10	6,053,692	13.6	1,797,229	10	1,001,813	6.2	1,314,714	8.1	749,562	7.3	2,302,342	7.2
2016	강남구	54,156,936	16.5	24,475	5.4	1,675	7	3,358,704	16.3	198,126	8.5	972,108	9.3	14,130,219	25.2	527,432	4.9	1,633,150	14.5	5,457,511	16.6	2,467,390	6.4	9,601,370	24.7	9,612,944	21.6	440,397	2.4	1,500,500	9.3	2,867,080	17.8	1,363,855	13.3	5,824,577	18.1
2016	송파구	19,889,416	6.1	47,782	10.5	493	2.1	848,659	4.1	137,365	5.9	1,434,396	13.7	3,919,992	7	405,089	3.8	630,164	5.6	2,155,510	6.6	573,554	1.5	3,025,752	7.8	2,707,693	6.1	416,460	2.3	728,768	4.5	1,448,016	9	1,409,720	13.7	2,112,793	6.6
2016	강동구	6,733,794	2.1	4,257	0.9	6,068	25.4	324,653	1.6	88,873	3.8	400,178	3.8	1,546,256	2.8	214,786	2	292,136	2.6	209,000	0.6	232,631	0.6	1,071,795	2.8	621,260	1.4	212,371	1.2	398,304	2.5	837,010	5.2	274,218	2.7	690,917	2.1
