기간	자치구	지역내총부가가치(당해년가격)	구성비	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	순생산물세	구성비
2012	서대문구	6,242,550	2.2	133,917	23.3	-	-	96,012	0.5	53,834	3	272,896	3.6	648,860	1.3	90,851	1.1	263,984	2.9	254,320	0.8	997,365	2.8	608,257	1.9	404,057	1.1	654,110	3.9	1,006,131	7	628,961	5.2	128,994	1.4	589,953	2.2
2012	마포구	12,879,651	4.5	931	0.2	124	0.1	283,246	1.5	70,476	3.9	590,538	7.8	1,928,140	3.8	680,264	8	411,908	4.5	3,701,184	12.3	530,058	1.5	1,183,624	3.6	1,945,615	5.1	293,589	1.7	626,775	4.3	216,361	1.8	416,817	4.5	981,082	3.6
2012	양천구	5,123,854	1.8	481	0.1	-	-	235,639	1.3	84,254	4.7	104,022	1.4	615,535	1.2	265,943	3.1	185,378	2	725,251	2.4	211,719	0.6	901,090	2.7	213,914	0.6	473,829	2.8	520,219	3.6	373,688	3.1	212,892	2.3	353,669	1.3
2012	강서구	7,258,303	2.5	9,944	1.7	-	-	467,176	2.5	77,551	4.3	428,453	5.7	1,291,099	2.5	992,051	11.6	311,753	3.4	339,893	1.1	182,952	0.5	1,007,877	3.1	611,337	1.6	303,389	1.8	523,211	3.6	385,245	3.2	326,371	3.5	625,508	2.3
2012	구로구	9,578,202	3.3	1,794	0.3	881	0.7	1,753,555	9.5	69,144	3.9	245,378	3.3	1,532,998	3	239,003	2.8	247,449	2.7	1,729,034	5.8	326,594	0.9	734,786	2.2	1,383,706	3.7	284,059	1.7	417,244	2.9	365,889	3	246,686	2.7	820,093	3
2012	금천구	11,835,381	4.1	200	0	2,415	1.9	3,260,379	17.6	46,592	2.6	254,590	3.4	1,650,318	3.2	277,461	3.3	168,096	1.9	2,167,497	7.2	123,610	0.3	671,040	2	2,526,494	6.7	165,101	1	209,608	1.5	129,062	1.1	182,917	2	992,495	3.7
2012	영등포구	22,501,230	7.9	1,872	0.3	253	0.2	890,012	4.8	78,859	4.4	524,618	7	4,010,882	7.8	480,753	5.6	514,350	5.7	2,584,257	8.6	5,799,266	16.2	1,709,264	5.2	3,323,589	8.8	904,711	5.3	400,879	2.8	503,066	4.1	774,598	8.3	2,510,304	9.3
2012	동작구	4,614,695	1.6	163	0	95,375	74.1	58,075	0.3	62,061	3.5	273,238	3.6	610,864	1.2	59,684	0.7	191,341	2.1	342,125	1.1	169,681	0.5	688,386	2.1	565,781	1.5	316,307	1.9	637,373	4.4	383,002	3.1	161,239	1.7	347,934	1.3
2012	관악구	4,444,860	1.6	583	0.1	-	-	224,521	1.2	81,799	4.6	194,656	2.6	466,394	0.9	97,415	1.1	282,614	3.1	393,202	1.3	124,280	0.3	709,976	2.2	427,804	1.1	245,549	1.5	727,773	5	235,552	1.9	232,739	2.5	331,297	1.2
2012	서초구	24,242,524	8.5	261,566	45.6	9,463	7.3	1,191,379	6.4	93,512	5.2	502,272	6.7	4,950,170	9.7	747,148	8.8	727,700	8	2,001,745	6.7	879,782	2.5	3,340,989	10.2	5,299,222	14	1,832,834	10.8	824,812	5.7	952,748	7.8	627,181	6.7	1,906,232	7
2012	강남구	45,014,194	15.7	30,168	5.3	9,637	7.5	2,771,311	15	156,924	8.8	636,667	8.5	11,717,708	22.9	388,165	4.6	1,408,898	15.5	4,983,950	16.6	2,351,158	6.6	7,810,171	23.8	7,814,083	20.7	463,095	2.7	1,156,332	8	2,060,448	16.9	1,255,478	13.5	4,337,828	16
2012	송파구	16,982,949	5.9	88,039	15.3	2,415	1.9	849,265	4.6	108,011	6	565,918	7.5	3,807,809	7.5	279,528	3.3	493,007	5.4	1,989,293	6.6	629,595	1.8	2,533,062	7.7	2,205,146	5.8	405,450	2.4	651,921	4.5	1,103,124	9.1	1,271,365	13.7	1,634,190	6
2012	강동구	5,751,853	2	3,984	0.7	2,269	1.8	274,383	1.5	70,161	3.9	199,555	2.6	1,411,072	2.8	166,457	2	245,089	2.7	184,374	0.6	251,921	0.7	987,843	3	454,907	1.2	211,320	1.2	374,889	2.6	655,551	5.4	258,078	2.8	533,518	2
