기간	자치구	동	사업체수	종사자수	평균종사자	사업체밀도	종사자밀도(A)	인구밀도(B)	종사자밀도비(A/B*100)
2012	광진구	능동	715	4,237	5.9	650	3,851.8	10,298.2	37.4
2012	광진구	구의1동	1,835	6,353	3.5	3,276.8	11,344.6	42,048.2	27
2012	광진구	구의2동	1,330	4,934	3.7	956.8	3,549.6	19,959.7	17.8
2012	광진구	구의3동	2,630	19,257	7.3	2,578.4	18,879.4	29,447.1	64.1
2012	광진구	광장동	1,332	10,149	7.6	557.3	4,246.4	15,523.0	27.4
2012	광진구	자양1동	1,705	8,742	5.1	2,991.2	15,336.8	45,901.8	33.4
2012	광진구	자양2동	1,561	7,671	4.9	929.2	4,566.1	17,329.8	26.3
2012	광진구	자양3동	1,316	6,130	4.7	1,096.7	5,108.3	26,913.3	19
2012	광진구	자양4동	2,056	6,816	3.3	1,772.4	5,875.9	24,877.6	23.6
2012	동대문구	소계	31,881	132,397	4.2	2,244.8	9,322.5	26,452.9	35.2
2012	동대문구	회기동	989	9,677	9.8	1,301.3	12,732.9	16,663.2	76.4
2012	동대문구	휘경1동	1,045	4,039	3.9	1,658.7	6,411.1	28,133.3	22.8
2012	동대문구	휘경2동	1,099	4,409	4	1,046.7	4,199.0	25,135.2	16.7
2012	동대문구	청량리동	1,731	8,070	4.7	1,442.5	6,725.0	21,198.3	31.7
2012	동대문구	용신동	5,468	27,469	5	3,396.3	17,061.5	20,870.8	81.7
2012	동대문구	제기동	4,722	11,201	2.4	4,001.7	9,492.4	24,978.0	38
2012	동대문구	전농1동	2,206	7,911	3.6	1,853.8	6,647.9	22,900.0	29
2012	동대문구	전농2동	782	4,213	5.4	909.3	4,898.8	25,294.2	19.4
2012	동대문구	답십리1동	2,098	9,558	4.6	2,439.5	11,114.0	23,932.6	46.4
2012	동대문구	답십리2동	1,854	5,342	2.9	2,317.5	6,677.5	40,230.0	16.6
2012	동대문구	장안1동	4,543	21,258	4.7	3,634.4	17,006.4	30,503.2	55.8
2012	동대문구	장안2동	3,109	11,085	3.6	2,878.7	10,263.9	30,599.1	33.5
2012	동대문구	이문1동	1,501	6,039	4	1,443.3	5,806.7	32,471.2	17.9
2012	동대문구	이문2동	734	2,126	2.9	1,063.8	3,081.2	34,308.7	9
2012	중랑구	소계	27,289	96,613	3.5	1,475.3	5,223.2	22,904.0	22.8
2012	중랑구	면목2동	2,027	6,030	3	2,776.7	8,260.3	38,909.6	21.2
2012	중랑구	면목4동	1,065	3,433	3.2	959.5	3,092.8	20,391.0	15.2
2012	중랑구	면목5동	1,040	3,596	3.5	1,625.0	5,618.8	22,510.9	25
2012	중랑구	면목7동	1,469	3,786	2.6	1,688.5	4,351.7	29,743.7	14.6
2012	중랑구	상봉1동	962	5,306	5.5	1,131.8	6,242.4	30,383.5	20.5
2012	중랑구	상봉2동	2,188	9,848	4.5	3,217.6	14,482.4	27,585.3	52.5
2012	중랑구	중화1동	1,088	4,125	3.8	1,600.0	6,066.2	32,039.7	18.9
2012	중랑구	중화2동	2,295	7,560	3.3	2,341.8	7,714.3	31,637.8	24.4
2012	중랑구	묵1동	1,478	5,736	3.9	1,231.7	4,780.0	30,215.8	15.8
2012	중랑구	묵2동	1,774	5,399	3	2,534.3	7,712.9	28,952.9	26.6
2012	중랑구	망우3동	1,091	3,655	3.4	1,102.0	3,691.9	19,596.0	18.8
2012	중랑구	신내1동	1,528	6,806	4.5	604	2,690.1	12,726.9	21.1
2012	중랑구	신내2동	1,090	5,557	5.1	1,101.0	5,613.1	25,435.4	22.1
2012	중랑구	면목본동	2,421	6,636	2.7	2,397.0	6,570.3	36,722.8	17.9
2012	중랑구	면목3.8동	2,986	8,174	2.7	1,788.0	4,894.6	17,706.0	27.6
2012	중랑구	망우본동	2,787	10,966	3.9	967.7	3,807.6	12,150.0	31.3
2012	성북구	소계	25,061	103,054	4.1	1,019.9	4,194.1	19,967.9	21
2012	성북구	돈암1동	365	1,395	3.8	127.6	487.8	5,841.3	8.4
2012	성북구	돈암2동	367	1,797	4.9	398.9	1,953.3	25,405.4	7.7
2012	성북구	안암동	1,310	13,520	10.3	1,794.5	18,520.5	25,194.5	73.5
2012	성북구	보문동	1,244	4,287	3.4	2,538.8	8,749.0	29,432.7	29.7
2012	성북구	정릉1동	808	1,938	2.4	1,683.3	4,037.5	43,039.6	9.4
2012	성북구	정릉2동	901	2,535	2.8	677.4	1,906.0	18,508.3	10.3
2012	성북구	정릉3동	694	4,427	6.4	1,239.3	7,905.4	33,039.3	23.9
2012	성북구	정릉4동	837	3,856	4.6	1,902.3	8,763.6	64,025.0	13.7
2012	성북구	길음1동	1,116	3,328	3	953.8	2,844.4	31,960.7	8.9
2012	성북구	길음2동	1,100	4,255	3.9	296.5	1,146.9	5,697.6	20.1
2012	성북구	월곡1동	1,440	5,165	3.6	460.1	1,650.2	9,372.2	17.6
2012	성북구	월곡2동	1,517	7,627	5	1,920.3	9,654.4	27,679.7	34.9
2012	성북구	장위1동	1,164	2,660	2.3	2,006.9	4,586.2	45,274.1	10.1
2012	성북구	장위2동	1,657	5,127	3.1	1,134.9	3,511.6	15,683.6	22.4
2012	성북구	장위3동	1,233	4,548	3.7	1,522.2	5,614.8	23,827.2	23.6
2012	성북구	성북동	1,040	5,608	5.4	764.7	4,123.5	14,438.2	28.6
2012	성북구	삼선동	1,893	8,666	4.6	2,704.3	12,380.0	41,252.9	30
2012	성북구	동선동	1,940	7,957	4.1	2,895.5	11,876.1	25,346.3	46.9
2012	성북구	종암동	2,104	7,316	3.5	3,236.9	11,255.4	67,516.9	16.7
2012	성북구	석관동	2,331	7,042	3	1,347.4	4,070.5	22,096.0	18.4
2012	강북구	소계	19,485	69,508	3.6	825.7	2,945.7	14,683.9	20.1
2012	강북구	번1동	1,797	8,763	4.9	3,267.3	15,932.7	38,585.5	41.3
2012	강북구	번2동	669	3,665	5.5	535.2	2,932.0	15,901.6	18.4
2012	강북구	번3동	815	2,637	3.2	947.7	3,066.3	24,777.9	12.4
2012	강북구	수유1동	1,601	5,376	3.4	1,496.3	5,024.3	22,015.9	22.8
2012	강북구	수유2동	1,340	3,853	2.9	1,835.6	5,278.1	31,982.2	16.5
2012	강북구	수유3동	2,484	8,736	3.5	2,888.4	10,158.1	28,140.7	36.1
2012	강북구	삼양동	1,255	3,305	2.6	1,321.1	3,478.9	33,549.5	10.4
2012	강북구	미아동	1,952	6,044	3.1	2,674.0	8,279.5	33,719.2	24.6
2012	강북구	송중동	1,994	7,986	4	1,634.4	6,545.9	27,867.2	23.5
2012	강북구	송천동	2,246	7,511	3.3	2,552.3	8,535.2	36,696.6	23.3
2012	강북구	삼각산동	730	2,165	3	1,177.4	3,491.9	55,712.9	6.3
2012	강북구	우이동	979	3,511	3.6	89.4	320.6	1,984.8	16.2
2012	강북구	인수동	1,623	5,956	3.7	553.9	2,032.8	11,578.8	17.6
2012	도봉구	소계	17,893	62,820	3.5	864.3	3,034.5	17,604.6	17.2
2012	도봉구	쌍문1동	921	3,734	4.1	742.7	3,011.3	18,000.0	16.7
2012	도봉구	쌍문2동	1,210	3,838	3.2	2,240.7	7,107.4	40,235.2	17.7
2012	도봉구	쌍문3동	910	3,293	3.6	1,820.0	6,586.0	37,534.0	17.5
2012	도봉구	쌍문4동	584	1,880	3.2	1,123.1	3,615.4	41,919.2	8.6
2012	도봉구	방학1동	2,358	10,834	4.6	3,417.4	15,701.4	47,026.1	33.4
2012	도봉구	방학2동	1,327	3,121	2.4	1,793.2	4,217.6	32,374.3	13
2012	도봉구	방학3동	918	2,874	3.1	347.7	1,088.6	12,161.4	9
2012	도봉구	창1동	1,062	3,207	3	1,206.8	3,644.3	32,569.3	11.2
2012	도봉구	창2동	1,328	4,135	3.1	1,241.1	3,864.5	29,643.9	13
2012	도봉구	창3동	945	1,886	2	1,410.4	2,814.9	24,013.4	11.7
2012	도봉구	창4동	1,138	6,659	5.9	1,185.4	6,936.5	32,184.4	21.6
2012	도봉구	창5동	2,115	6,557	3.1	3,021.4	9,367.1	39,877.1	23.5
2012	도봉구	도봉1동	1,675	5,316	3.2	192.1	609.6	2,825.5	21.6
2012	도봉구	도봉2동	1,402	5,486	3.9	1,689.2	6,609.6	37,847.0	17.5
2012	노원구	소계	24,864	102,327	4.1	701.6	2,887.6	16,955.0	17
2012	노원구	월계1동	1,387	5,054	3.6	1,195.7	4,356.9	20,143.1	21.6
2012	노원구	월계2동	1,055	3,651	3.5	543.8	1,882.0	15,814.4	11.9
2012	노원구	월계3동	939	3,549	3.8	802.6	3,033.3	30,757.3	9.9
2012	노원구	공릉2동	1,780	9,436	5.3	261	1,383.6	6,929.6	20
2012	노원구	하계1동	891	6,891	7.7	574.8	4,445.8	19,920.6	22.3
2012	노원구	하계2동	370	1,169	3.2	725.5	2,292.2	50,811.8	4.5
2012	노원구	중계본동	1,167	4,561	3.9	592.4	2,315.2	15,233.5	15.2
2012	노원구	중계1동	895	3,728	4.2	1,420.6	5,917.5	48,395.2	12.2
2012	노원구	중계4동	994	3,618	3.6	1,104.4	4,020.0	25,110.0	16
2012	노원구	상계1동	2,795	8,031	2.9	497.3	1,429.0	7,892.9	18.1
2012	노원구	상계2동	2,195	8,249	3.8	3,598.4	13,523.0	37,042.6	36.5
2012	노원구	상계5동	1,306	2,729	2.1	2,968.2	6,202.3	55,450.0	11.2
2012	노원구	상계8동	590	1,965	3.3	880.6	2,932.8	40,926.9	7.2
2012	노원구	상계9동	730	2,314	3.2	901.2	2,856.8	30,637.0	9.3
2012	노원구	상계10동	460	1,757	3.8	575	2,196.3	25,888.8	8.5
2012	노원구	상계3.4동	1,721	4,957	2.9	306.2	882	6,988.3	12.6
2012	노원구	상계6.7동	1,892	14,903	7.9	1,704.5	13,426.1	33,516.2	40.1
2012	노원구	중계2.3동	1,161	5,049	4.3	682.9	2,970.0	24,950.6	11.9
2012	노원구	공릉1동	2,536	10,716	4.2	1,798.6	7,600.0	28,691.5	26.5
2012	은평구	소계	23,325	80,672	3.5	785.4	2,716.4	17,034.6	15.9
2012	은평구	녹번동	1,500	7,024	4.7	838.3	3,925.5	18,692.4	21
2012	은평구	불광1동	1,611	6,304	3.9	514.7	2,014.1	13,476.7	14.9
2012	은평구	갈현1동	1,513	5,562	3.7	1,559.8	5,734.0	27,308.2	21
2012	은평구	갈현2동	1,535	5,927	3.9	1,599.0	6,174.0	30,107.3	20.5
2012	은평구	구산동	1,153	5,491	4.8	834.6	3,974.6	24,812.7	16
2012	은평구	대조동	2,559	7,450	2.9	3,015.0	8,777.5	37,751.4	23.3
2012	은평구	응암1동	2,115	7,517	3.6	1,762.5	6,264.2	26,900.8	23.3
2012	은평구	응암2동	804	2,180	2.7	1,030.8	2,794.9	33,756.4	8.3
2012	은평구	신사1동	1,208	3,569	3	1,438.1	4,248.8	33,723.8	12.6
2012	은평구	신사2동	858	2,707	3.2	858	2,707.0	23,224.0	11.7
2012	은평구	증산동	1,127	3,917	3.5	1,396.9	4,854.9	26,361.7	18.4
2012	은평구	수색동	859	2,550	3	665.1	1,974.5	15,290.1	12.9
2012	은평구	진관동	885	4,228	4.8	76.8	366.9	4,312.6	8.5
2012	은평구	불광2동	1,330	3,919	2.9	963.8	2,839.9	22,147.8	12.8
2012	은평구	응암3동	1,892	4,906	2.6	3,003.2	7,787.3	44,282.5	17.6
2012	은평구	역촌동	2,376	7,421	3.1	2,051.4	6,407.1	42,502.3	15.1
2012	서대문구	소계	18,653	97,686	5.2	1,059.4	5,548.3	18,443.8	30.1
2012	서대문구	천연동	793	2,488	3.1	817.5	2,564.9	21,089.7	12.2
2012	서대문구	홍제1동	1,112	4,145	3.7	904.1	3,369.9	22,635.0	14.9
2012	서대문구	홍제3동	1,207	3,835	3.2	1,472.0	4,676.8	24,746.3	18.9
2012	서대문구	홍제2동	571	1,623	2.8	538.7	1,531.1	15,025.5	10.2
2012	서대문구	홍은1동	980	2,315	2.4	620.3	1,465.2	16,929.1	8.7
2012	서대문구	홍은2동	1,130	5,853	5.2	548.5	2,841.3	14,611.7	19.4
2012	서대문구	남가좌1동	644	1,179	1.8	1,314.3	2,406.1	8,244.9	29.2
2012	서대문구	남가좌2동	1,489	4,110	2.8	1,909.0	5,269.2	39,707.7	13.3
2012	서대문구	북가좌1동	461	3,218	7	853.7	5,959.3	31,605.6	18.9
2012	서대문구	북가좌2동	2,225	6,278	2.8	2,617.6	7,385.9	40,362.4	18.3
2012	서대문구	충현동	1,613	20,424	12.7	1,493.5	18,911.1	19,212.0	98.4
2012	서대문구	북아현동	674	1,795	2.7	1,465.2	3,902.2	24,406.5	16
2012	서대문구	신촌동	3,732	30,867	8.3	1,419.0	11,736.5	8,207.6	143
2012	서대문구	연희동	2,022	9,556	4.7	663	3,133.1	14,235.7	22
2012	마포구	소계	32,053	212,720	6.6	1,344.6	8,923.7	16,510.6	54
2012	마포구	용강동	2,398	15,858	6.6	2,854.8	18,878.6	23,015.5	82
2012	마포구	대흥동	1,563	16,141	10.3	1,776.1	18,342.0	18,055.7	101.6
2012	마포구	염리동	759	4,257	5.6	1,765.1	9,900.0	41,969.8	23.6
2012	마포구	신수동	1,397	5,375	3.8	1,791.2	6,891.6	28,511.2	24.2
2012	마포구	서교동	8,003	51,978	6.5	4,850.3	31,501.8	17,873.3	176.3
2012	마포구	합정동	1,812	8,490	4.7	1,072.2	5,023.7	12,192.3	41.2
2012	마포구	망원1동	1,362	3,790	2.8	1,194.7	3,324.6	21,521.1	15.4
2012	마포구	망원2동	1,224	3,572	2.9	1,826.9	5,331.3	31,865.7	16.7
2012	마포구	연남동	1,150	4,543	4	1,773.6	7,006.6	31,157.2	22.5
2012	마포구	성산1동	1,579	8,483	5.4	1,973.8	10,603.8	26,715.0	39.7
2012	마포구	성산2동	1,660	8,608	5.2	801	4,153.8	19,772.6	21
2012	마포구	상암동	1,639	27,067	16.5	195.2	3,224.0	4,004.3	80.5
2012	마포구	도화동	1,879	14,457	7.7	3,029.9	23,312.3	38,257.3	60.9
2012	마포구	서강동	1,351	10,411	7.7	931.7	7,180.0	17,666.2	40.6
2012	마포구	공덕동	2,536	17,164	6.8	2,511.1	16,995.2	36,772.7	46.2
2012	마포구	아현동	1,741	12,526	7.2	2,291.0	16,483.0	25,586.3	64.4
2012	양천구	소계	25,750	108,802	4.2	1,480.0	6,253.6	28,768.9	21.7
2012	양천구	목1동	2,543	21,035	8.3	1,803.5	14,918.4	23,631.2	63.1
2012	양천구	목2동	1,174	3,613	3.1	1,139.8	3,507.8	31,022.3	11.3
2012	양천구	목3동	1,241	3,535	2.8	2,341.5	6,669.8	43,830.2	15.2
2012	양천구	목4동	1,365	3,931	2.9	2,394.7	6,896.5	50,459.6	13.7
2012	양천구	신월1동	1,815	5,352	2.9	1,008.3	2,973.3	13,927.8	21.3
2012	양천구	신월2동	1,104	3,669	3.3	1,698.5	5,644.6	32,483.1	17.4
2012	양천구	신월3동	986	3,917	4	1,616.4	6,421.3	29,498.4	21.8
2012	양천구	신월4동	1,130	3,645	3.2	1,298.9	4,189.7	22,142.5	18.9
2012	양천구	신월5동	1,005	3,585	3.6	1,932.7	6,894.2	31,496.2	21.9
2012	양천구	신월6동	1,591	3,322	2.1	2,305.8	4,814.5	18,885.5	25.5
2012	양천구	신월7동	1,400	5,793	4.1	3,414.6	14,129.3	61,487.8	23
2012	양천구	신정1동	1,131	4,600	4.1	950.4	3,865.5	17,229.4	22.4
2012	양천구	신정2동	1,121	3,727	3.3	1,601.4	5,324.3	32,334.3	16.5
2012	양천구	신정3동	1,954	7,788	4	3,757.7	14,976.9	112,238.5	13.3
2012	양천구	신정6동	693	5,128	7.4	254.8	1,885.3	9,968.8	18.9
2012	양천구	신정7동	1,010	4,457	4.4	1,000.0	4,412.9	32,908.9	13.4
2012	양천구	목5동	1,452	8,977	6.2	1,512.5	9,351.0	47,638.5	19.6
2012	양천구	신정4동	3,035	12,728	4.2	2,508.3	10,519.0	31,090.1	33.8
2012	강서구	소계	31,596	168,783	5.3	762.7	4,074.2	13,850.8	29.4
2012	강서구	염창동	2,156	15,540	7.2	1,239.1	8,931.0	24,537.4	36.4
2012	강서구	등촌1동	1,679	9,851	5.9	2,845.8	16,696.6	38,484.7	43.4
2012	강서구	등촌2동	734	3,051	4.2	797.8	3,316.3	24,189.1	13.7
2012	강서구	등촌3동	2,225	17,135	7.7	2,816.5	21,689.9	47,457.0	45.7
2012	강서구	화곡본동	1,377	3,881	2.8	1,240.5	3,496.4	33,338.7	10.5
2012	강서구	화곡2동	863	2,388	2.8	1,836.2	5,080.9	43,959.6	11.6
2012	강서구	화곡3동	1,196	4,492	3.8	2,345.1	8,807.8	47,572.5	18.5
2012	강서구	화곡4동	1,471	3,891	2.6	1,793.9	4,745.1	28,542.7	16.6
2012	강서구	화곡6동	1,773	10,913	6.2	1,597.3	9,831.5	22,924.3	42.9
2012	강서구	화곡8동	1,216	3,127	2.6	2,294.3	5,900.0	52,347.2	11.3
2012	강서구	가양1동	1,037	6,086	5.9	220.6	1,294.9	4,399.1	29.4
2012	강서구	가양2동	629	2,961	4.7	629	2,961.0	17,967.0	16.5
2012	강서구	가양3동	777	6,091	7.8	784.8	6,152.5	19,037.4	32.3
2012	강서구	발산1동	2,114	10,463	4.9	714.2	3,534.8	11,239.2	31.5
2012	강서구	공항동	1,835	31,699	17.3	168.7	2,913.5	2,060.8	141.4
2012	강서구	방화1동	1,927	6,850	3.6	1,852.9	6,586.5	29,956.7	22
2012	강서구	방화2동	3,106	12,130	3.9	484.6	1,892.4	4,073.2	46.5
2012	강서구	방화3동	844	3,904	4.6	354.6	1,640.3	11,545.8	14.2
2012	강서구	화곡1동	3,016	8,280	2.7	2,692.9	7,392.9	46,744.6	15.8
2012	강서구	우장산동	1,621	6,050	3.7	1,191.9	4,448.5	29,300.0	15.2
2012	구로구	소계	35,523	190,692	5.4	1,765.6	9,478.0	22,589.0	42
2012	구로구	신도림동	2,490	13,980	5.6	1,693.9	9,510.2	26,107.5	36.4
2012	구로구	구로1동	715	2,744	3.8	701	2,690.2	22,862.7	11.8
2012	구로구	구로3동	5,592	74,353	13.3	5,482.4	72,895.1	28,380.4	256.9
2012	구로구	구로4동	1,951	4,957	2.5	4,241.3	10,776.1	66,282.6	16.3
2012	구로구	구로5동	4,555	26,098	5.7	4,422.3	25,337.9	34,248.5	74
2012	구로구	고척1동	2,476	8,230	3.3	2,134.5	7,094.8	22,127.6	32.1
2012	구로구	고척2동	1,456	3,888	2.7	1,427.5	3,811.8	30,951.0	12.3
2012	구로구	개봉2동	1,168	2,601	2.2	1,460.0	3,251.3	43,916.3	7.4
2012	구로구	개봉3동	1,046	2,610	2.5	1,291.4	3,222.2	27,858.0	11.6
2012	구로구	오류1동	1,122	4,540	4	1,901.7	7,694.9	36,572.9	21
2012	구로구	오류2동	1,371	6,233	4.5	298	1,355.0	8,885.7	15.2
2012	구로구	수궁동	1,129	5,826	5.2	422.8	2,182.0	9,730.0	22.4
2012	구로구	가리봉동	1,016	2,669	2.6	2,540.0	6,672.5	50,897.5	13.1
2012	구로구	구로2동	7,722	26,613	3.4	4,387.5	15,121.0	22,488.1	67.2
2012	구로구	개봉1동	1,714	5,350	3.1	1,308.4	4,084.0	26,533.6	15.4
2012	금천구	소계	27,651	198,565	7.2	2,126.9	15,273.3	20,055.2	76.2
2012	금천구	가산동	10,942	132,931	12.1	4,376.8	53,172.4	9,560.4	556.2
2012	금천구	독산1동	3,280	20,363	6.2	1,576.9	9,789.9	17,115.9	57.2
2012	금천구	독산2동	1,245	3,454	2.8	2,041.0	5,662.3	39,426.2	14.4
2012	금천구	독산3동	2,233	8,752	3.9	2,427.2	9,513.0	34,513.0	27.6
2012	금천구	독산4동	1,047	3,406	3.3	1,774.6	5,772.9	34,527.1	16.7
2012	금천구	시흥1동	3,087	13,306	4.3	1,805.3	7,781.3	22,448.0	34.7
2012	금천구	시흥2동	534	1,565	2.9	423.8	1,242.1	20,029.4	6.2
2012	금천구	시흥3동	3,169	9,283	2.9	2,961.7	8,675.7	11,982.2	72.4
2012	금천구	시흥4동	908	2,019	2.2	1,043.7	2,320.7	28,173.6	8.2
2012	금천구	시흥5동	1,206	3,486	2.9	867.6	2,507.9	17,341.0	14.5
2012	영등포구	소계	42,157	335,678	8	1,717.0	13,671.7	17,386.1	78.6
2012	영등포구	여의동	7,544	144,894	19.2	898.1	17,249.3	4,091.0	421.6
2012	영등포구	당산1동	3,146	18,431	5.9	4,194.7	24,574.7	28,328.0	86.8
2012	영등포구	당산2동	2,152	16,306	7.6	1,388.4	10,520.0	22,217.4	47.4
2012	영등포구	양평1동	3,293	22,350	6.8	3,742.0	25,397.7	20,063.6	126.6
2012	영등포구	양평2동	1,896	18,182	9.6	632	6,060.7	7,504.7	80.8
2012	영등포구	신길1동	1,222	4,110	3.4	1,851.5	6,227.3	36,080.3	17.3
