기간	자치구	동	총 수급자	총 수급자	총 수급자	일반수급자	일반수급자	조건부 수급자	조건부 수급자	특례수급자	특례수급자	시설수급자	시설수급자
2018	광진구	중곡1동	454	-	658	394	549	53	99	7	10	-	-
2018	광진구	중곡2동	438	-	652	384	541	54	111	-	-	-	-
2018	광진구	중곡3동	551	-	830	493	709	47	105	11	16	-	-
2018	광진구	중곡4동	742	-	1,076	656	901	78	159	8	16	-	-
2018	광진구	능동	146	-	203	127	169	17	32	2	2	-	-
2018	광진구	구의1동	392	-	546	332	429	60	117	-	-	-	-
2018	광진구	구의2동	496	-	728	440	623	54	103	2	2	-	-
2018	광진구	구의3동	242	-	368	207	299	29	59	6	10	-	-
2018	광진구	광장동	135	-	193	126	180	7	11	2	2	-	-
2018	광진구	자양1동	600	-	867	495	675	71	148	34	44	-	-
2018	광진구	자양2동	412	-	610	348	486	53	105	11	19	-	-
2018	광진구	자양3동	199	-	269	174	224	23	42	2	3	-	-
2018	광진구	자양4동	562	-	696	504	613	40	63	18	20	-	-
2018	광진구	기타	2	19	80	2	1	-	-	-	-	19	79
2018	동대문구	소계	9,280	27	12,453	8,131	10,427	652	1,094	497	706	27	226
2018	동대문구	회기동	166	-	212	141	172	17	28	8	12	-	-
2018	동대문구	휘경1동	329	-	434	279	358	30	47	20	29	-	-
2018	동대문구	휘경2동	356	-	507	311	431	26	44	19	32	-	-
2018	동대문구	청량리동	1,134	-	1,376	1,004	1,191	79	116	51	69	-	-
2018	동대문구	용신동	989	-	1,190	872	1,020	85	121	32	49	-	-
2018	동대문구	제기동	922	-	1,135	803	961	61	91	58	83	-	-
2018	동대문구	전농1동	1,165	-	1,470	1,027	1,255	65	112	73	103	-	-
2018	동대문구	전농2동	438	-	640	382	561	24	40	32	39	-	-
2018	동대문구	답십리1동	455	-	644	390	543	29	53	36	48	-	-
2018	동대문구	답십리2동	750	-	1,034	671	902	43	88	36	44	-	-
2018	동대문구	장안1동	763	-	1,054	681	906	56	109	26	39	-	-
2018	동대문구	장안2동	629	-	879	558	751	39	75	32	53	-	-
2018	동대문구	이문1동	606	-	840	525	710	45	81	36	49	-	-
2018	동대문구	이문2동	555	-	795	465	649	52	89	38	57	-	-
2018	동대문구	기타	23	27	243	22	17	1	-	-	-	27	226
2018	중랑구	소계	11,818	40	17,070	10,598	14,209	1,059	2,142	161	208	40	511
2018	중랑구	면목2동	798	-	1,093	719	941	72	144	7	8	-	-
2018	중랑구	면목4동	802	-	1,165	728	1,002	66	154	8	9	-	-
2018	중랑구	면목5동	345	-	511	299	417	44	91	2	3	-	-
2018	중랑구	면목7동	517	-	696	451	583	51	92	15	21	-	-
2018	중랑구	상봉1동	809	-	1,217	709	1,016	97	194	3	7	-	-
2018	중랑구	상봉2동	480	-	641	426	566	39	57	15	18	-	-
2018	중랑구	중화1동	442	-	628	393	524	46	100	3	4	-	-
2018	중랑구	중화2동	1,236	-	1,590	1,113	1,378	112	198	11	14	-	-
2018	중랑구	묵1동	475	-	700	433	606	39	90	3	4	-	-
2018	중랑구	묵2동	498	-	681	458	604	35	68	5	9	-	-
2018	중랑구	망우3동	924	-	1,317	811	1,086	90	200	23	31	-	-
2018	중랑구	신내1동	665	-	1,087	606	949	52	126	7	12	-	-
2018	중랑구	신내2동	771	-	1,092	707	954	58	131	6	7	-	-
2018	중랑구	면목본동	1,128	-	1,544	1,024	1,371	85	150	19	23	-	-
2018	중랑구	면목3.8동	839	-	1,144	753	976	63	141	23	27	-	-
2018	중랑구	망우본동	1,086	-	1,450	965	1,233	110	206	11	11	-	-
2018	중랑구	기타	3	40	514	3	3	-	-	-	-	40	511
2018	성북구	소계	8,824	29	12,909	7,461	10,002	1,161	2,215	202	251	29	441
2018	성북구	돈암1동	335	-	455	285	366	42	81	8	8	-	-
2018	성북구	돈암2동	228	-	308	198	249	25	54	5	5	-	-
2018	성북구	안암동	252	-	337	219	278	22	46	11	13	-	-
2018	성북구	보문동	288	-	367	250	303	35	61	3	3	-	-
2018	성북구	정릉1동	241	-	332	203	262	31	63	7	7	-	-
2018	성북구	정릉2동	467	-	703	403	579	57	115	7	9	-	-
2018	성북구	정릉3동	458	-	627	396	510	50	102	12	15	-	-
2018	성북구	정릉4동	525	-	782	449	631	67	142	9	9	-	-
2018	성북구	길음1동	368	-	534	324	448	35	77	9	9	-	-
2018	성북구	길음2동	249	-	296	215	247	31	44	3	5	-	-
2018	성북구	월곡1동	548	-	769	455	598	77	153	16	18	-	-
2018	성북구	월곡2동	455	-	587	393	495	58	87	4	5	-	-
2018	성북구	장위1동	787	-	1,286	645	995	128	270	14	21	-	-
2018	성북구	장위2동	519	-	777	426	595	81	164	12	18	-	-
2018	성북구	장위3동	359	-	567	291	424	63	136	5	7	-	-
2018	성북구	성북동	242	-	323	201	254	33	57	8	12	-	-
2018	성북구	삼선동	577	-	814	478	646	76	138	23	30	-	-
2018	성북구	동선동	276	-	338	233	282	34	46	9	10	-	-
2018	성북구	종암동	792	-	1,079	665	869	110	189	17	21	-	-
2018	성북구	석관동	856	-	1,185	730	969	106	190	20	26	-	-
2018	성북구	기타	2	29	443	2	2	-	-	-	-	29	441
2018	강북구	소계	11,125	34	16,175	9,503	12,951	1,258	2,423	364	527	34	274
2018	강북구	번1동	621	-	802	527	650	86	137	8	15	-	-
2018	강북구	번2동	897	-	1,371	773	1,110	100	223	24	38	-	-
2018	강북구	번3동	1,434	-	2,351	1,250	1,917	150	378	34	56	-	-
2018	강북구	수유1동	805	-	1,169	701	967	81	167	23	35	-	-
2018	강북구	수유2동	711	-	1,008	621	852	70	127	20	29	-	-
2018	강북구	수유3동	722	-	906	615	741	93	148	14	17	-	-
2018	강북구	삼양동	1,013	-	1,457	813	1,105	154	300	46	52	-	-
2018	강북구	미아동	654	-	861	561	716	63	110	30	35	-	-
2018	강북구	송중동	756	-	995	659	824	74	132	23	39	-	-
2018	강북구	송천동	1,016	-	1,322	873	1,102	107	165	36	55	-	-
2018	강북구	삼각산동	801	-	1,108	665	881	109	193	27	34	-	-
2018	강북구	우이동	564	-	836	489	693	56	115	19	28	-	-
2018	강북구	인수동	1,126	-	1,710	951	1,388	115	228	60	94	-	-
2018	강북구	기타	5	34	279	5	5	-	-	-	-	34	274
2018	도봉구	소계	7,666	49	11,470	6,499	8,940	1,077	2,115	90	123	49	292
2018	도봉구	쌍문1동	648	-	947	559	758	85	178	4	11	-	-
2018	도봉구	쌍문2동	559	-	820	473	675	75	131	11	14	-	-
2018	도봉구	쌍문3동	379	-	527	331	445	45	78	3	4	-	-
2018	도봉구	쌍문4동	159	-	245	136	198	21	45	2	2	-	-
2018	도봉구	방학1동	854	-	1,262	711	966	134	286	9	10	-	-
2018	도봉구	방학2동	1,217	-	1,897	975	1,384	227	494	15	19	-	-
2018	도봉구	방학3동	232	-	339	217	307	12	28	3	4	-	-
2018	도봉구	창1동	308	-	414	279	357	25	53	4	4	-	-
2018	도봉구	창2동	647	-	1,020	542	807	97	196	8	17	-	-
2018	도봉구	창3동	652	-	951	545	780	102	166	5	5	-	-
2018	도봉구	창4동	202	-	287	173	228	28	58	1	1	-	-
2018	도봉구	창5동	324	-	456	267	358	51	91	6	7	-	-
2018	도봉구	도봉1동	840	-	1,167	727	955	97	192	16	20	-	-
2018	도봉구	도봉2동	636	-	837	555	713	78	119	3	5	-	-
2018	도봉구	기타	9	49	301	9	9	-	-	-	-	49	292
2018	노원구	소계	17,022	40	26,012	14,793	20,988	2,041	4,033	188	264	40	727
2018	노원구	월계1동	508	-	696	444	585	59	105	5	6	-	-
2018	노원구	월계2동	1,999	-	2,885	1,750	2,396	232	464	17	25	-	-
2018	노원구	월계3동	1,210	-	1,692	1,064	1,435	134	241	12	16	-	-
2018	노원구	공릉2동	483	-	728	411	605	71	122	1	1	-	-
2018	노원구	하계1동	1,795	-	2,621	1,562	2,174	222	428	11	19	-	-
2018	노원구	하계2동	608	-	1,012	517	796	87	210	4	6	-	-
2018	노원구	중계본동	294	-	468	252	373	38	89	4	6	-	-
2018	노원구	중계1동	384	-	596	342	510	38	82	4	4	-	-
2018	노원구	중계4동	1,148	-	1,598	997	1,313	143	276	8	9	-	-
2018	노원구	상계1동	817	-	1,200	714	1,005	99	190	4	5	-	-
2018	노원구	상계2동	556	-	779	453	610	84	145	19	24	-	-
2018	노원구	상계5동	872	-	1,349	703	1,025	151	300	18	24	-	-
2018	노원구	상계8동	146	-	226	131	190	15	36	-	-	-	-
2018	노원구	상계9동	201	-	343	180	293	18	44	3	6	-	-
2018	노원구	상계10동	179	-	294	158	255	19	37	2	2	-	-
2018	노원구	상계3.4동	1,472	-	2,016	1,272	1,693	180	299	20	24	-	-
2018	노원구	상계6.7동	436	-	782	373	642	61	138	2	2	-	-
2018	노원구	중계2.3동	2,558	-	4,111	2,234	3,420	293	640	31	51	-	-
2018	노원구	공릉1동	1,306	-	1,840	1,188	1,623	96	185	22	32	-	-
2018	노원구	기타	50	40	776	48	45	1	2	1	2	40	727
2018	은평구	소계	11,876	43	19,677	10,095	14,451	1,430	2,773	351	475	43	1,978
2018	은평구	녹번동	740	-	1,006	659	880	61	102	20	24	-	-
2018	은평구	불광1동	953	-	1,333	790	1,068	112	196	51	69	-	-
2018	은평구	갈현1동	967	-	1,529	794	1,198	144	291	29	40	-	-
2018	은평구	갈현2동	743	-	1,175	611	913	116	238	16	24	-	-
2018	은평구	구산동	741	-	1,101	637	893	81	172	23	36	-	-
2018	은평구	대조동	1,025	-	1,476	900	1,283	104	170	21	23	-	-
2018	은평구	응암1동	533	-	785	462	642	59	124	12	19	-	-
2018	은평구	응암2동	468	-	680	388	524	65	136	15	20	-	-
2018	은평구	신사1동	523	-	786	449	647	55	111	19	28	-	-
2018	은평구	신사2동	615	-	1,024	500	753	104	254	11	17	-	-
2018	은평구	증산동	345	-	528	303	452	33	64	9	12	-	-
2018	은평구	수색동	390	-	545	334	450	47	85	9	10	-	-
2018	은평구	진관동	569	-	946	499	812	51	109	19	25	-	-
2018	은평구	불광2동	1,211	-	1,741	1,032	1,424	141	262	38	55	-	-
2018	은평구	응암3동	965	-	1,436	813	1,177	119	220	33	39	-	-
2018	은평구	역촌동	1,083	-	1,603	919	1,330	138	239	26	34	-	-
2018	은평구	기타	5	43	1,983	5	5	-	-	-	-	43	1,978
2018	서대문구	소계	6,014	23	8,820	5,227	6,774	651	1,124	136	172	23	750
2018	서대문구	천연동	501	-	577	450	506	40	58	11	13	-	-
2018	서대문구	홍제1동	372	-	506	335	444	28	52	9	10	-	-
2018	서대문구	홍제3동	393	-	505	327	418	51	68	15	19	-	-
2018	서대문구	홍제2동	268	-	340	236	283	25	50	7	7	-	-
2018	서대문구	홍은1동	523	-	699	457	598	59	92	7	9	-	-
2018	서대문구	홍은2동	617	-	915	529	759	78	144	10	12	-	-
2018	서대문구	남가좌1동	155	-	205	138	177	13	21	4	7	-	-
2018	서대문구	남가좌2동	619	-	839	522	663	70	134	27	42	-	-
2018	서대문구	북가좌1동	218	-	332	189	275	26	53	3	4	-	-
2018	서대문구	북가좌2동	738	-	1,118	648	934	74	166	16	18	-	-
2018	서대문구	충현동	349	-	457	304	388	31	52	14	17	-	-
2018	서대문구	북아현동	307	-	395	258	322	45	69	4	4	-	-
2018	서대문구	신촌동	447	-	490	406	441	38	46	3	3	-	-
2018	서대문구	연희동	497	-	683	418	557	73	119	6	7	-	-
2018	서대문구	기타	10	23	759	10	9	-	-	-	-	23	750
2018	마포구	소계	5,550	15	8,206	4,572	6,197	887	1,574	91	120	15	315
2018	마포구	용강동	217	-	291	186	245	29	45	2	1	-	-
2018	마포구	대흥동	282	-	334	243	284	37	47	2	3	-	-
2018	마포구	염리동	237	-	293	183	211	47	75	7	7	-	-
2018	마포구	신수동	197	-	279	141	189	54	85	2	5	-	-
2018	마포구	서교동	219	-	292	171	220	45	68	3	4	-	-
2018	마포구	합정동	301	-	397	262	341	35	51	4	5	-	-
2018	마포구	망원1동	417	-	594	323	435	85	148	9	11	-	-
2018	마포구	망원2동	263	-	397	227	323	32	69	4	5	-	-
2018	마포구	연남동	157	-	199	133	169	20	27	4	3	-	-
2018	마포구	성산1동	320	-	465	255	347	55	101	10	17	-	-
2018	마포구	성산2동	1,139	-	1,776	959	1,397	170	359	10	20	-	-
2018	마포구	상암동	419	-	731	339	565	71	157	9	9	-	-
2018	마포구	도화동	313	-	398	281	342	31	55	1	1	-	-
2018	마포구	서강동	158	-	204	125	153	29	48	4	3	-	-
2018	마포구	공덕동	624	-	837	501	644	110	176	13	17	-	-
2018	마포구	아현동	272	-	385	228	313	37	63	7	9	-	-
2018	마포구	기타	15	15	334	15	19	-	-	-	-	15	315
2018	양천구	소계	8,175	25	12,118	7,199	10,031	822	1,571	154	201	25	315
2018	양천구	목1동	140	-	190	133	179	7	11	-	-	-	-
2018	양천구	목2동	405	-	604	362	519	37	76	6	9	-	-
2018	양천구	목3동	475	-	688	430	603	39	74	6	11	-	-
2018	양천구	목4동	406	-	604	370	538	29	59	7	7	-	-
2018	양천구	신월1동	1,006	-	1,439	885	1,229	106	188	15	22	-	-
2018	양천구	신월2동	430	-	599	396	538	27	53	7	8	-	-
2018	양천구	신월3동	790	-	1,093	686	934	89	140	15	19	-	-
2018	양천구	신월4동	201	-	288	179	243	20	43	2	2	-	-
2018	양천구	신월5동	346	-	520	296	424	44	88	6	8	-	-
2018	양천구	신월6동	90	-	134	83	117	5	12	2	5	-	-
2018	양천구	신월7동	536	-	809	488	719	37	77	11	13	-	-
2018	양천구	신정1동	173	-	246	151	212	20	32	2	2	-	-
2018	양천구	신정2동	359	-	464	328	415	25	43	6	6	-	-
2018	양천구	신정3동	932	-	1,501	784	1,207	126	264	22	30	-	-
2018	양천구	신정6동	23	-	28	23	28	-	-	-	-	-	-
2018	양천구	신정7동	983	-	1,356	836	1,113	108	195	39	48	-	-
2018	양천구	목5동	22	-	32	20	27	2	5	-	-	-	-
2018	양천구	신정4동	853	-	1,203	744	981	101	211	8	11	-	-
2018	양천구	기타	5	25	320	5	5	-	-	-	-	25	315
2018	강서구	소계	15,432	32	22,252	13,399	17,944	1,535	3,166	498	717	32	425
2018	강서구	염창동	101	-	133	93	121	6	9	2	3	-	-
2018	강서구	등촌1동	133	-	179	111	140	14	24	8	15	-	-
2018	강서구	등촌2동	202	-	315	175	256	21	51	6	8	-	-
2018	강서구	등촌3동	3,502	-	5,083	2,976	4,058	402	849	124	176	-	-
2018	강서구	화곡본동	812	-	1,239	697	1,005	95	207	20	27	-	-
2018	강서구	화곡2동	426	-	648	372	538	48	98	6	12	-	-
2018	강서구	화곡3동	304	-	441	270	385	26	48	8	8	-	-
2018	강서구	화곡4동	469	-	654	383	496	64	131	22	27	-	-
2018	강서구	화곡6동	449	-	622	384	503	44	92	21	27	-	-
2018	강서구	화곡8동	436	-	639	370	514	51	107	15	18	-	-
2018	강서구	가양1동	112	-	162	97	136	13	23	2	3	-	-
2018	강서구	가양2동	2,060	-	2,741	1,846	2,328	153	323	61	90	-	-
2018	강서구	가양3동	1,438	-	2,023	1,271	1,692	122	265	45	66	-	-
2018	강서구	발산1동	531	-	936	438	736	69	154	24	46	-	-
2018	강서구	공항동	532	-	738	479	652	36	67	17	19	-	-
2018	강서구	방화1동	493	-	675	439	578	43	82	11	15	-	-
2018	강서구	방화2동	893	-	1,181	814	1,035	61	120	18	26	-	-
2018	강서구	방화3동	1,311	-	1,766	1,129	1,439	137	263	45	64	-	-
2018	강서구	화곡1동	903	-	1,214	772	980	99	184	32	50	-	-
2018	강서구	우장산동	306	-	419	266	336	31	69	9	14	-	-
2018	강서구	기타	19	32	444	17	16	-	-	2	3	32	425
2018	구로구	소계	6,107	23	8,906	5,217	6,804	652	1,303	238	331	23	468
2018	구로구	신도림동	95	-	128	81	106	11	18	3	4	-	-
2018	구로구	구로1동	41	-	57	35	42	5	14	1	1	-	-
2018	구로구	구로3동	218	-	278	196	245	16	23	6	10	-	-
2018	구로구	구로4동	488	-	628	418	503	51	101	19	24	-	-
2018	구로구	구로5동	253	-	310	220	258	26	45	7	7	-	-
2018	구로구	고척1동	331	-	488	275	386	42	80	14	22	-	-
2018	구로구	고척2동	528	-	761	434	567	70	161	24	33	-	-
2018	구로구	개봉2동	408	-	569	350	453	34	82	24	34	-	-
2018	구로구	개봉3동	411	-	587	347	463	52	104	12	20	-	-
2018	구로구	오류1동	492	-	639	426	530	45	81	21	28	-	-
2018	구로구	오류2동	710	-	1,072	599	858	68	151	43	63	-	-
2018	구로구	수궁동	354	-	553	299	434	38	91	17	28	-	-
2018	구로구	가리봉동	469	-	555	413	485	47	61	9	9	-	-
2018	구로구	구로2동	623	-	797	554	689	54	91	15	17	-	-
2018	구로구	개봉1동	685	-	1,013	569	782	93	200	23	31	-	-
2018	구로구	기타	1	23	471	1	3	-	-	-	-	23	468
2018	금천구	소계	6,737	28	9,820	5,466	7,326	1,223	2,050	48	65	28	379
2018	금천구	가산동	413	-	491	314	371	94	115	5	5	-	-
2018	금천구	독산1동	986	-	1,406	812	1,120	172	284	2	2	-	-
2018	금천구	독산2동	720	-	1,026	584	803	132	219	4	4	-	-
2018	금천구	독산3동	622	-	856	526	696	91	155	5	5	-	-
2018	금천구	독산4동	521	-	783	405	560	111	212	5	11	-	-
2018	금천구	시흥1동	898	-	1,243	731	987	160	247	7	9	-	-
2018	금천구	시흥2동	804	-	1,117	644	851	154	259	6	7	-	-
2018	금천구	시흥3동	209	-	295	178	235	28	56	3	4	-	-
2018	금천구	시흥4동	660	-	969	531	729	123	227	6	13	-	-
2018	금천구	시흥5동	893	-	1,244	732	965	156	274	5	5	-	-
2018	금천구	기타	11	28	390	9	9	2	2	-	-	28	379
2018	영등포구	소계	6,394	22	8,511	5,370	6,453	825	1,254	199	277	22	527
2018	영등포구	여의동	52	-	71	48	63	4	8	-	-	-	-
2018	영등포구	당산1동	291	-	343	246	285	24	33	21	25	-	-
2018	영등포구	당산2동	125	-	147	104	114	12	22	9	11	-	-
2018	영등포구	양평1동	187	-	236	158	190	24	41	5	5	-	-
2018	영등포구	양평2동	140	-	180	118	143	17	26	5	11	-	-
2018	영등포구	신길1동	481	-	597	398	466	60	94	23	37	-	-
2018	영등포구	신길3동	457	-	624	392	515	48	87	17	22	-	-
2018	영등포구	신길4동	363	-	489	310	391	38	72	15	26	-	-
2018	영등포구	신길5동	312	-	433	265	351	40	73	7	9	-	-
2018	영등포구	신길6동	278	-	370	238	298	36	65	4	7	-	-
2018	영등포구	신길7동	114	-	153	100	126	8	11	6	16	-	-
2018	영등포구	대림1동	333	-	476	298	401	25	63	10	12	-	-
2018	영등포구	대림2동	292	-	398	265	334	21	55	6	9	-	-
2018	영등포구	대림3동	446	-	638	377	518	44	85	25	35	-	-
2018	영등포구	영등포본동	574	-	648	486	537	68	91	20	20	-	-
2018	영등포구	영등포동	1,239	-	1,302	948	995	276	290	15	17	-	-
2018	영등포구	도림동	437	-	583	378	473	50	98	9	12	-	-
2018	영등포구	문래동	213	-	244	183	201	28	40	2	3	-	-
2018	영등포구	기타	60	22	579	58	52	2	-	-	-	22	527
2018	동작구	소계	6,375	16	9,306	5,626	7,688	671	1,115	78	115	16	388
2018	동작구	노량진2동	552	-	731	477	620	67	100	8	11	-	-
2018	동작구	상도1동	637	-	847	565	730	63	102	9	15	-	-
2018	동작구	상도2동	327	-	460	292	397	33	61	2	2	-	-
2018	동작구	상도3동	516	-	798	453	681	61	115	2	2	-	-
2018	동작구	상도4동	639	-	902	557	759	73	125	9	18	-	-
2018	동작구	사당1동	350	-	458	303	384	43	70	4	4	-	-
2018	동작구	사당3동	225	-	308	195	259	26	44	4	5	-	-
2018	동작구	사당4동	269	-	367	237	318	31	48	1	1	-	-
2018	동작구	사당5동	195	-	289	170	249	22	35	3	5	-	-
2018	동작구	대방동	798	-	1,231	718	1,077	68	135	12	19	-	-
2018	동작구	신대방1동	245	-	318	219	282	25	34	1	2	-	-
2018	동작구	신대방2동	293	-	420	257	368	34	50	2	2	-	-
2018	동작구	흑석동	446	-	635	400	553	38	69	8	13	-	-
2018	동작구	노량진1동	535	-	708	482	626	45	73	8	9	-	-
2018	동작구	사당2동	302	-	402	256	341	41	54	5	7	-	-
2018	동작구	기타	46	16	432	45	44	1	-	-	-	16	388
2018	관악구	소계	10,371	32	14,455	8,761	11,318	1,316	2,304	294	403	32	430
2018	관악구	보라매동	522	-	744	441	584	67	132	14	28	-	-
2018	관악구	청림동	347	-	456	308	389	30	55	9	12	-	-
2018	관악구	행운동	590	-	769	498	613	79	141	13	15	-	-
2018	관악구	낙성대동	206	-	295	179	236	25	56	2	3	-	-
2018	관악구	중앙동	274	-	332	235	273	26	38	13	21	-	-
2018	관악구	인헌동	291	-	383	256	326	25	48	10	9	-	-
2018	관악구	남현동	152	-	191	130	158	15	23	7	10	-	-
2018	관악구	서원동	398	-	560	329	435	59	112	10	13	-	-
2018	관악구	신원동	504	-	676	423	543	72	122	9	11	-	-
2018	관악구	서림동	445	-	614	348	452	86	147	11	15	-	-
2018	관악구	신사동	523	-	758	440	608	71	132	12	18	-	-
2018	관악구	신림동	354	-	413	265	310	81	94	8	9	-	-
2018	관악구	난향동	324	-	458	263	354	39	77	22	27	-	-
2018	관악구	조원동	313	-	398	281	355	29	40	3	3	-	-
2018	관악구	대학동	457	-	558	333	396	114	147	10	15	-	-
2018	관악구	은천동	853	-	1,164	761	996	73	144	19	24	-	-
2018	관악구	성현동	884	-	1,203	744	962	97	181	43	60	-	-
2018	관악구	청룡동	417	-	526	350	434	46	68	21	24	-	-
2018	관악구	난곡동	1,002	-	1,428	839	1,139	135	247	28	42	-	-
2018	관악구	삼성동	856	-	1,160	775	1,008	69	136	12	16	-	-
2018	관악구	미성동	656	-	936	560	744	78	164	18	28	-	-
2018	관악구	기타	3	32	433	3	3	-	-	-	-	32	430
2018	서초구	소계	3,574	6	5,477	3,183	4,510	346	716	45	63	6	188
2018	서초구	서초1동	184	-	246	160	197	22	46	2	3	-	-
2018	서초구	서초2동	60	-	75	52	59	8	16	-	-	-	-
2018	서초구	서초3동	177	-	253	159	221	17	29	1	3	-	-
2018	서초구	서초4동	24	-	29	24	29	-	-	-	-	-	-
