기간	자치구별	재정자주도
2013	성북구	60.5
2013	강북구	56.3
2013	도봉구	60.2
2013	노원구	52.5
2013	은평구	55.9
2013	서대문구	66.7
2013	마포구	65.2
2013	양천구	61.9
2013	강서구	51.8
2013	구로구	59.3
2013	금천구	60.5
2013	영등포구	64.9
2013	동작구	63.6
2013	관악구	61.7
2013	서초구	77.9
2013	강남구	77.5
2013	송파구	65.0
2013	강동구	61.3
2014	서울시 평균	85.581.2
2014	본청	83.381.2
2014	자치구 평균	59.254.3
2014	종로구	76.169.9
2014	중구	76.067.9
2014	용산구	66.158.1
2014	성동구	65.152.2
2014	광진구	61.159.3
2014	동대문구	57.252.9
2014	중랑구	53.650.8
2014	성북구	55.452.4
2014	강북구	52.749.1
2014	도봉구	56.452.7
2014	노원구	48.646.8
2014	은평구	50.147.7
2014	서대문구	61.556.2
2014	마포구	60.250.4
2014	양천구	57.054.5
2014	강서구	48.343.9
2014	구로구	55.751.9
2014	금천구	56.853.5
2014	영등포구	62.655.8
2014	동작구	57.855.2
2014	관악구	57.952.2
2014	서초구	72.566.5
2014	강남구	71.965.9
2014	송파구	60.553.7
2014	강동구	56.251.6
2015	서울시 평균	85.481.4
2015	본청	83.381.0
2015	자치구 평균	55.751.9
2015	종로구	71.264.9
2015	중구	70.062.9
2015	용산구	62.754.9
2015	성동구	60.155.2
2015	광진구	59.355.8
2015	동대문구	53.350.9
2015	중랑구	50.449.7
2015	성북구	52.650.5
2015	강북구	49.446.2
2015	도봉구	53.650.2
2015	노원구	46.044.3
2015	은평구	46.444.2
2015	서대문구	57.953.2
2015	마포구	58.751.1
2015	양천구	53.652.2
2015	강서구	45.742.1
2015	구로구	52.450.4
2015	금천구	54.650.4
2015	영등포구	60.158.1
2015	동작구	51.653.1
2015	관악구	52.548.8
2015	서초구	67.360.7
2015	강남구	67.661.4
2015	송파구	58.351.1
2015	강동구	53.850.8
2016	서울시 평균	85.881.8
2016	본청	83.781.4
2016	자치구 평균	56.452.6
2016	종로구	71.266.9
2016	중구	70.662.5
2016	용산구	63.757.6
2016	성동구	61.058.4
2016	광진구	60.455.3
2016	동대문구	54.352.6
2016	중랑구	51.048.7
2016	성북구	54.251.4
2016	강북구	50.847.2
2016	도봉구	55.151.7
2016	노원구	47.646.1
2016	은평구	48.445.6
2016	서대문구	58.054.1
2016	마포구	59.351.4
2016	양천구	55.453.0
2016	강서구	46.343.2
2016	구로구	52.650.7
2016	금천구	55.250.7
2016	영등포구	60.357.9
2016	동작구	56.051.6
2016	관악구	51.547.4
2016	서초구	67.161.4
2016	강남구	66.461.3
2016	송파구	58.252.2
2016	강동구	54.551.7
