기간	자치구	동	합계	합계	합계	합계	합계	합계	합계	합계	합계	합계	광업	광업	광업	광업	광업	광업	광업	광업	광업	광업	제조업	제조업	제조업	제조업	제조업	제조업	제조업	제조업	제조업	제조업
기간	자치구	동	사업체수	월평균종사자수	연간급여액(퇴직금제외)	생산액	출하액	완제품반제품재공품재고액	완제품반제품재공품재고액	주요생산비	부가가치	유형자산연말잔액(건설중인자산제외)	사업체수	월평균종사자수	연간급여액(퇴직금제외)	생산액	출하액	완제품반제품재공품재고액	완제품반제품재공품재고액	주요생산비	부가가치	유형자산연말잔액(건설중인자산제외)	사업체수	월평균종사자수	연간급여액(퇴직금제외)	생산액	출하액	완제품반제품재공품재고액	완제품반제품재공품재고액	주요생산비	부가가치	유형자산연말잔액(건설중인자산제외)
기간	자치구	동	사업체수	월평균종사자수	연간급여액(퇴직금제외)	생산액	출하액	연초	연말	주요생산비	부가가치	유형자산연말잔액(건설중인자산제외)	사업체수	월평균종사자수	연간급여액(퇴직금제외)	생산액	출하액	연초	연말	주요생산비	부가가치	유형자산연말잔액(건설중인자산제외)	사업체수	월평균종사자수	연간급여액(퇴직금제외)	생산액	출하액	연초	연말	주요생산비	부가가치	유형자산연말잔액(건설중인자산제외)
2008	성북구	성북동	3	59	1,172	15,529	22,579	…	…	13,932	1,597	4,003	-	-	-	-	-	-	-	-	-	-	3	59	1,172	15,529	22,579	…	…	13,932	1,597	4,003
2008	성북구	삼선동	3	72	1,982	14,799	13,180	…	…	9,292	5,507	3,450	-	-	-	-	-	-	-	-	-	-	3	72	1,982	14,799	13,180	…	…	9,292	5,507	3,450
2008	성북구	동선동	2	X	X	X	X	…	…	X	X	X	-	-	-	-	-	-	-	-	-	-	2	X	X	X	X	…	…	X	X	X
2008	성북구	종암동	4	96	2,385	11,996	12,155	…	…	8,092	3,904	1,106	-	-	-	-	-	-	-	-	-	-	4	96	2,385	11,996	12,155	…	…	8,092	3,904	1,106
2008	성북구	석관동	6	85	1,306	4,540	4,530	…	…	2,176	2,364	233	-	-	-	-	-	-	-	-	-	-	6	85	1,306	4,540	4,530	…	…	2,176	2,364	233
2008	강북구	계	125	2,191	34,616	256,513	254,659	14,414	16,268	153,744	102,769	24,799	-	-	-	-	-	-	-	-	-	-	125	2,191	34,616	256,513	254,659	14,414	16,268	153,744	102,769	24,799
2008	강북구	번1동	12	193	3,118	24,868	24,503	…	…	12,635	12,233	1,860	-	-	-	-	-	-	-	-	-	-	12	193	3,118	24,868	24,503	…	…	12,635	12,233	1,860
2008	강북구	번2동	14	274	4,775	37,549	36,865	…	…	21,107	16,442	3,715	-	-	-	-	-	-	-	-	-	-	14	274	4,775	37,549	36,865	…	…	21,107	16,442	3,715
2008	강북구	번3동	9	261	3,680	25,768	26,014	…	…	18,085	7,683	2,160	-	-	-	-	-	-	-	-	-	-	9	261	3,680	25,768	26,014	…	…	18,085	7,683	2,160
2008	강북구	수유1동	8	118	1,677	9,980	10,503	…	…	1,757	8,223	355	-	-	-	-	-	-	-	-	-	-	8	118	1,677	9,980	10,503	…	…	1,757	8,223	355
2008	강북구	수유2동	8	146	2,629	12,150	11,942	…	…	6,497	5,653	2,885	-	-	-	-	-	-	-	-	-	-	8	146	2,629	12,150	11,942	…	…	6,497	5,653	2,885
2008	강북구	수유3동	8	139	2,018	8,335	7,868	…	…	3,372	4,963	1,659	-	-	-	-	-	-	-	-	-	-	8	139	2,018	8,335	7,868	…	…	3,372	4,963	1,659
2008	강북구	삼양동	5	70	963	2,936	2,930	…	…	1,006	1,930	294	-	-	-	-	-	-	-	-	-	-	5	70	963	2,936	2,930	…	…	1,006	1,930	294
2008	강북구	미아동	10	166	2,714	45,708	45,200	…	…	30,592	15,116	2,775	-	-	-	-	-	-	-	-	-	-	10	166	2,714	45,708	45,200	…	…	30,592	15,116	2,775
2008	강북구	송중동	18	297	3,966	14,904	14,878	…	…	7,131	7,773	2,006	-	-	-	-	-	-	-	-	-	-	18	297	3,966	14,904	14,878	…	…	7,131	7,773	2,006
2008	강북구	송천동	20	261	3,738	14,556	14,540	…	…	7,523	7,033	3,111	-	-	-	-	-	-	-	-	-	-	20	261	3,738	14,556	14,540	…	…	7,523	7,033	3,111
2008	강북구	삼각산동	-	-	-	-	-	…	…	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	…	…	-	-	-
2008	강북구	우이동	4	66	1,881	12,838	12,715	…	…	8,294	4,544	2,372	-	-	-	-	-	-	-	-	-	-	4	66	1,881	12,838	12,715	…	…	8,294	4,544	2,372
2008	강북구	인수동	9	200	3,457	46,921	46,701	…	…	35,745	11,176	1,607	-	-	-	-	-	-	-	-	-	-	9	200	3,457	46,921	46,701	…	…	35,745	11,176	1,607
2008	도봉구	계	76	1,450	22,333	164,608	162,337	6,923	9,194	94,218	70,390	36,356	1	X	X	X	X	X	X	X	X	X	75	1,436	22,044	163,753	161,479	6,774	9,048	94,195	69,558	35,285
2008	도봉구	쌍문1동	3	39	525	3,683	3,650	…	…	2,363	1,320	70	-	-	-	…	-	…	…	-	-	-	3	39	525	3,683	3,650	…	…	2,363	1,320	70
2008	도봉구	쌍문2동	7	125	1,247	5,939	5,942	…	…	2,581	3,358	1,589	-	-	-	…	-	…	…	-	-	-	7	125	1,247	5,939	5,942	…	…	2,581	3,358	1,589
2008	도봉구	쌍문3동	6	93	1,568	11,770	11,318	…	…	6,157	5,613	2,892	-	-	-	…	-	…	…	-	-	-	6	93	1,568	11,770	11,318	…	…	6,157	5,613	2,892
2008	도봉구	쌍문4동	-	-	-	-	-	…	…	-	-	-	-	-	-	…	-	…	…	-	-	-	-	-	-	-	-	…	…	-	-	-
2008	도봉구	방학1동	8	165	2,578	8,699	8,585	…	…	4,475	4,224	847	-	-	-	…	-	…	…	-	-	-	8	165	2,578	8,699	8,585	…	…	4,475	4,224	847
2008	도봉구	방학2동	7	110	800	3,332	2,852	…	…	959	2,373	270	-	-	-	…	-	…	…	-	-	-	7	110	800	3,332	2,852	…	…	959	2,373	270
2008	도봉구	방학3동	1	X	X	X	X	…	…	X	X	X	-	-	-	…	-	…	…	-	-	-	1	X	X	X	X	…	…	X	X	X
2008	도봉구	창1동	2	X	X	X	X	…	…	X	X	X	-	-	-	…	-	…	…	-	-	-	2	X	X	X	X	…	…	X	X	X
2008	도봉구	창2동	25	579	11,410	107,721	106,923	…	…	65,014	42,707	28,581	1	X	X	…	X	…	…	X	X	X	24	565	11,121	106,866	106,065	…	…	64,991	41,875	27,510
2008	도봉구	창3동	3	60	1,122	6,809	6,825	…	…	2,477	4,332	546	-	-	-	…	-	…	…	-	-	-	3	60	1,122	6,809	6,825	…	…	2,477	4,332	546
2008	도봉구	창4동	2	X	X	X	X	…	…	X	X	X	-	-	-	…	-	…	…	-	-	-	2	X	X	X	X	…	…	X	X	X
2008	도봉구	창5동	-	-	-	-	-	…	…	-	-	-	-	-	-	…	-	…	…	-	-	-	-	-	-	-	-	…	…	-	-	-
2008	도봉구	도봉1동	11	150	1,668	7,030	6,705	…	…	3,538	3,492	504	-	-	-	…	-	…	…	-	-	-	11	150	1,668	7,030	6,705	…	…	3,538	3,492	504
2008	도봉구	도봉2동	1	X	X	X	X	…	…	X	X	X	-	-	-	…	-	…	…	-	-	-	1	X	X	X	X	…	…	X	X	X
2008	노원구	계	75	1,794	34,834	213,608	212,386	13,412	14,634	145,689	67,919	30,022	-	-	-	-	-	-	-	-	-	-	75	1,794	34,834	213,608	212,386	13,412	14,634	145,689	67,919	30,022
2008	노원구	월계1동	6	140	3,547	13,005	13,142	…	…	12,681	324	1,668	-	-	-	-	-	-	-	-	-	-	6	140	3,547	13,005	13,142	…	…	12,681	324	1,668
2008	노원구	월계2동	8	195	2,912	33,494	33,741	…	…	25,826	7,668	4,149	-	-	-	-	-	-	-	-	-	-	8	195	2,912	33,494	33,741	…	…	25,826	7,668	4,149
2008	노원구	월계3동	-	-	-	-	-	…	…	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	…	…	-	-	-
2008	노원구	월계4동	2	X	X	X	X	…	…	X	X	X	-	-	-	-	-	-	-	-	-	-	2	X	X	X	X	…	…	X	X	X
2008	노원구	공릉2동	6	403	8,298	35,264	35,296	…	…	21,547	13,717	4,037	-	-	-	-	-	-	-	-	-	-	6	403	8,298	35,264	35,296	…	…	21,547	13,717	4,037
2008	노원구	하계1동	22	484	10,019	62,110	60,879	…	…	40,174	21,936	11,664	-	-	-	-	-	-	-	-	-	-	22	484	10,019	62,110	60,879	…	…	40,174	21,936	11,664
2008	노원구	하계2동	-	-	-	-	-	…	…	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	…	…	-	-	-
2008	노원구	중계본동	1	X	X	X	X	…	…	X	X	X	-	-	-	-	-	-	-	-	-	-	1	X	X	X	X	…	…	X	X	X
2008	노원구	중계1동	-	-	-	-	-	…	…	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	…	…	-	-	-
2008	노원구	중계2동	-	-	-	-	-	…	…	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	…	…	-	-	-
2008	노원구	중계3동	2	X	X	X	X	…	…	X	X	X	-	-	-	-	-	-	-	-	-	-	2	X	X	X	X	…	…	X	X	X
2008	노원구	중계4동	-	-	-	-	-	…	…	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	…	…	-	-	-
2008	노원구	상계1동	7	157	2,612	18,956	18,414	…	…	11,787	7,169	1,950	-	-	-	-	-	-	-	-	-	-	7	157	2,612	18,956	18,414	…	…	11,787	7,169	1,950
2008	노원구	상계2동	3	35	441	2,562	2,510	…	…	1,725	837	198	-	-	-	-	-	-	-	-	-	-	3	35	441	2,562	2,510	…	…	1,725	837	198
2008	노원구	상계5동	2	X	X	X	X	…	…	X	X	X	-	-	-	-	-	-	-	-	-	-	2	X	X	X	X	…	…	X	X	X
2008	노원구	상계8동	-	-	-	-	-	…	…	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	…	…	-	-	-
2008	노원구	상계9동	-	-	-	-	-	…	…	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	…	…	-	-	-
2008	노원구	상계10동	-	-	-	-	-	…	…	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	…	…	-	-	-
2008	노원구	공릉1.3동	14	282	5,606	41,049	41,161	…	…	27,553	13,496	5,314	-	-	-	-	-	-	-	-	-	-	14	282	5,606	41,049	41,161	…	…	27,553	13,496	5,314
2008	노원구	상계3.4동	2	X	X	X	X	…	…	X	X	X	-	-	-	-	-	-	-	-	-	-	2	X	X	X	X	…	…	X	X	X
2008	노원구	상계6.7동	-	-	-	-	-	…	…	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	…	…	-	-	-
2008	은평구	계	47	1,005	18,324	114,629	114,522	7,073	7,180	65,255	49,374	12,800	-	-	-	-	-	-	-	-	-	-	47	1,005	18,324	114,629	114,522	7,073	7,180	65,255	49,374	12,800
2008	은평구	녹번동	12	225	4,110	25,226	25,362	…	…	15,730	9,496	1,957	-	-	-	-	-	-	-	-	-	-	12	225	4,110	25,226	25,362	…	…	15,730	9,496	1,957
2008	은평구	불광1동	1	X	X	X	X	…	…	X	X	X	-	-	-	-	-	-	-	-	-	-	1	X	X	X	X	…	…	X	X	X
2008	은평구	갈현1동	3	94	2,625	13,156	12,815	…	…	7,916	5,240	3,803	-	-	-	-	-	-	-	-	-	-	3	94	2,625	13,156	12,815	…	…	7,916	5,240	3,803
2008	은평구	갈현2동	-	-	-	-	-	…	…	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	…	…	-	-	-
2008	은평구	구산동	2	X	X	X	X	…	…	X	X	X	-	-	-	-	-	-	-	-	-	-	2	X	X	X	X	…	…	X	X	X
2008	은평구	대조동	5	70	1,168	8,067	8,277	…	…	4,188	3,879	681	-	-	-	-	-	-	-	-	-	-	5	70	1,168	8,067	8,277	…	…	4,188	3,879	681
2008	은평구	응암1동	4	77	1,195	3,284	3,284	…	…	1,295	1,989	539	-	-	-	-	-	-	-	-	-	-	4	77	1,195	3,284	3,284	…	…	1,295	1,989	539
2008	은평구	응암2동	2	X	X	X	X	…	…	X	X	X	-	-	-	-	-	-	-	-	-	-	2	X	X	X	X	…	…	X	X	X
2008	은평구	신사1동	5	103	1,364	4,193	4,153	…	…	1,584	2,609	1,532	-	-	-	-	-	-	-	-	-	-	5	103	1,364	4,193	4,153	…	…	1,584	2,609	1,532
2008	은평구	신사2동	-	-	-	-	-	…	…	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	…	…	-	-	-
2008	은평구	증산동	4	144	2,490	22,490	22,414	…	…	12,506	9,984	1,547	-	-	-	-	-	-	-	-	-	-	4	144	2,490	22,490	22,414	…	…	12,506	9,984	1,547
2008	은평구	수색동	1	X	X	X	X	…	…	X	X	X	-	-	-	-	-	-	-	-	-	-	1	X	X	X	X	…	…	X	X	X
2008	은평구	진관동	-	-	-	-	-	…	…	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	…	…	-	-	-
2008	은평구	불광2동	1	X	X	X	X	…	…	X	X	X	-	-	-	-	-	-	-	-	-	-	1	X	X	X	X	…	…	X	X	X
2008	은평구	응암3동	3	71	994	3,598	3,579	…	…	1,776	1,822	71	-	-	-	-	-	-	-	-	-	-	3	71	994	3,598	3,579	…	…	1,776	1,822	71
2008	은평구	역촌동	4	94	2,517	16,382	16,331	…	…	7,693	8,689	1,300	-	-	-	-	-	-	-	-	-	-	4	94	2,517	16,382	16,331	…	…	7,693	8,689	1,300
2008	서대문구	계	44	1,005	24,769	119,089	115,777	8,132	11,444	66,732	52,357	18,344	-	-	-	-	-	-	-	-	-	-	44	1,005	24,769	119,089	115,777	8,132	11,444	66,732	52,357	18,344
2008	서대문구	천연동	1	X	X	X	X	…	…	X	X	X	-	-	-	-	-	-	-	-	-	-	1	X	X	X	X	…	…	X	X	X
2008	서대문구	홍제1동	2	X	X	X	X	…	…	X	X	X	-	-	-	-	-	-	-	-	-	-	2	X	X	X	X	…	…	X	X	X
2008	서대문구	홍제3동	1	X	X	X	X	…	…	X	X	X	-	-	-	-	-	-	-	-	-	-	1	X	X	X	X	…	…	X	X	X
2008	서대문구	홍제2동	2	X	X	X	X	…	…	X	X	X	-	-	-	-	-	-	-	-	-	-	2	X	X	X	X	…	…	X	X	X
2008	서대문구	홍은1동	-	-	-	-	-	…	…	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	…	…	-	-	-
2008	서대문구	홍은2동	6	199	3,405	13,571	13,542	…	…	8,593	4,978	3,819	-	-	-	-	-	-	-	-	-	-	6	199	3,405	13,571	13,542	…	…	8,593	4,978	3,819
2008	서대문구	남가좌1동	1	X	X	X	X	…	…	X	X	X	-	-	-	-	-	-	-	-	-	-	1	X	X	X	X	…	…	X	X	X
2008	서대문구	남가좌2동	1	X	X	X	X	…	…	X	X	X	-	-	-	-	-	-	-	-	-	-	1	X	X	X	X	…	…	X	X	X
2008	서대문구	북가좌1동	2	X	X	X	X	…	…	X	X	X	-	-	-	-	-	-	-	-	-	-	2	X	X	X	X	…	…	X	X	X
2008	서대문구	북가좌2동	8	135	2,033	8,519	8,526	…	…	4,472	4,047	615	-	-	-	-	-	-	-	-	-	-	8	135	2,033	8,519	8,526	…	…	4,472	4,047	615
2008	서대문구	충현동	3	86	6,335	11,183	11,183	…	…	2,580	8,603	673	-	-	-	-	-	-	-	-	-	-	3	86	6,335	11,183	11,183	…	…	2,580	8,603	673
2008	서대문구	북아현동	3	36	493	2,820	2,803	…	…	1,734	1,086	254	-	-	-	-	-	-	-	-	-	-	3	36	493	2,820	2,803	…	…	1,734	1,086	254
2008	서대문구	신촌동	5	144	3,072	19,874	19,745	…	…	9,312	10,562	789	-	-	-	-	-	-	-	-	-	-	5	144	3,072	19,874	19,745	…	…	9,312	10,562	789
2008	서대문구	연희동	9	147	3,618	21,743	21,642	…	…	13,230	8,513	8,763	-	-	-	-	-	-	-	-	-	-	9	147	3,618	21,743	21,642	…	…	13,230	8,513	8,763
2008	마포구	계	141	3,848	100,562	1,150,429	1,143,975	137,964	144,418	670,152	480,277	169,658	-	-	-	-	-	-	-	-	-	-	141	3,848	100,562	1,150,429	1,143,975	137,964	144,418	670,152	480,277	169,658
2008	마포구	용강동	6	587	23,744	345,494	341,670	…	…	213,841	131,653	34,989	-	-	-	-	-	-	-	-	-	-	6	587	23,744	345,494	341,670	…	…	213,841	131,653	34,989
2008	마포구	대흥동	9	142	3,370	23,704	23,047	…	…	16,707	6,997	19,886	-	-	-	-	-	-	-	-	-	-	9	142	3,370	23,704	23,047	…	…	16,707	6,997	19,886
2008	마포구	염리동	7	118	2,368	19,190	19,170	…	…	6,309	12,881	2,380	-	-	-	-	-	-	-	-	-	-	7	118	2,368	19,190	19,170	…	…	6,309	12,881	2,380
2008	마포구	신수동	5	181	3,105	10,838	10,679	…	…	5,337	5,501	569	-	-	-	-	-	-	-	-	-	-	5	181	3,105	10,838	10,679	…	…	5,337	5,501	569
2008	마포구	서교동	33	911	24,311	231,015	231,983	…	…	119,617	111,398	42,310	-	-	-	-	-	-	-	-	-	-	33	911	24,311	231,015	231,983	…	…	119,617	111,398	42,310
2008	마포구	합정동	20	320	6,616	52,299	51,776	…	…	26,006	26,293	7,608	-	-	-	-	-	-	-	-	-	-	20	320	6,616	52,299	51,776	…	…	26,006	26,293	7,608
2008	마포구	망원1동	4	68	976	3,340	3,074	…	…	924	2,416	126	-	-	-	-	-	-	-	-	-	-	4	68	976	3,340	3,074	…	…	924	2,416	126
2008	마포구	망원2동	4	51	1,034	4,646	4,647	…	…	2,403	2,243	452	-	-	-	-	-	-	-	-	-	-	4	51	1,034	4,646	4,647	…	…	2,403	2,243	452
2008	마포구	연남동	10	193	3,692	33,986	32,263	…	…	20,656	13,330	2,538	-	-	-	-	-	-	-	-	-	-	10	193	3,692	33,986	32,263	…	…	20,656	13,330	2,538
2008	마포구	성산1동	15	252	4,922	46,644	46,255	…	…	28,156	18,488	18,263	-	-	-	-	-	-	-	-	-	-	15	252	4,922	46,644	46,255	…	…	28,156	18,488	18,263
2008	마포구	성산2동	4	70	1,230	13,279	13,280	…	…	7,818	5,461	570	-	-	-	-	-	-	-	-	-	-	4	70	1,230	13,279	13,280	…	…	7,818	5,461	570
2008	마포구	상암동	7	136	2,249	15,321	15,293	…	…	6,952	8,369	1,808	-	-	-	-	-	-	-	-	-	-	7	136	2,249	15,321	15,293	…	…	6,952	8,369	1,808
2008	마포구	도화동	4	67	3,014	81,773	81,913	…	…	60,135	21,638	358	-	-	-	-	-	-	-	-	-	-	4	67	3,014	81,773	81,913	…	…	60,135	21,638	358
2008	마포구	서강동	5	615	17,004	258,247	258,247	…	…	151,499	106,748	35,273	-	-	-	-	-	-	-	-	-	-	5	615	17,004	258,247	258,247	…	…	151,499	106,748	35,273
2008	마포구	공덕동	6	115	2,586	9,481	9,506	…	…	3,467	6,014	2,385	-	-	-	-	-	-	-	-	-	-	6	115	2,586	9,481	9,506	…	…	3,467	6,014	2,385
2008	마포구	아현동	2	X	X	X	X	…	…	X	X	X	-	-	-	-	-	-	-	-	-	-	2	X	X	X	X	…	…	X	X	X
2008	양천구	계	112	1,950	31,013	199,217	197,412	7,446	9,251	116,665	82,552	37,221	-	-	-	-	-	-	-	-	-	-	112	1,950	31,013	199,217	197,412	7,446	9,251	116,665	82,552	37,221
2008	양천구	목1동	-	-	-	-	-	…	…	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	…	…	-	-	-
2008	양천구	목2동	5	91	1,412	15,225	14,276	…	…	9,476	5,749	5,503	-	-	-	-	-	-	-	-	-	-	5	91	1,412	15,225	14,276	…	…	9,476	5,749	5,503
2008	양천구	목3동	3	50	516	3,817	3,784	…	…	2,553	1,264	523	-	-	-	-	-	-	-	-	-	-	3	50	516	3,817	3,784	…	…	2,553	1,264	523
2008	양천구	목4동	4	71	1,431	6,273	5,610	…	…	1,464	4,809	2,700	-	-	-	-	-	-	-	-	-	-	4	71	1,431	6,273	5,610	…	…	1,464	4,809	2,700
2008	양천구	신월1동	10	176	3,158	28,443	28,526	…	…	21,549	6,894	1,229	-	-	-	-	-	-	-	-	-	-	10	176	3,158	28,443	28,526	…	…	21,549	6,894	1,229
2008	양천구	신월2동	10	187	3,103	9,401	9,461	…	…	5,609	3,792	5,382	-	-	-	-	-	-	-	-	-	-	10	187	3,103	9,401	9,461	…	…	5,609	3,792	5,382
2008	양천구	신월3동	15	259	4,298	28,919	28,840	…	…	13,103	15,816	2,229	-	-	-	-	-	-	-	-	-	-	15	259	4,298	28,919	28,840	…	…	13,103	15,816	2,229
2008	양천구	신월4동	6	127	2,068	22,311	22,320	…	…	15,160	7,151	2,458	-	-	-	-	-	-	-	-	-	-	6	127	2,068	22,311	22,320	…	…	15,160	7,151	2,458
2008	양천구	신월5동	9	154	2,458	16,069	16,271	…	…	10,340	5,729	1,736	-	-	-	-	-	-	-	-	-	-	9	154	2,458	16,069	16,271	…	…	10,340	5,729	1,736
2008	양천구	신월6동	3	46	677	2,062	2,066	…	…	945	1,117	330	-	-	-	-	-	-	-	-	-	-	3	46	677	2,062	2,066	…	…	945	1,117	330
2008	양천구	신월7동	15	242	3,339	10,272	10,286	…	…	3,836	6,436	2,439	-	-	-	-	-	-	-	-	-	-	15	242	3,339	10,272	10,286	…	…	3,836	6,436	2,439
2008	양천구	신정1동	1	X	X	X	X	…	…	X	X	X	-	-	-	-	-	-	-	-	-	-	1	X	X	X	X	…	…	X	X	X
2008	양천구	신정2동	2	X	X	X	X	…	…	X	X	X	-	-	-	-	-	-	-	-	-	-	2	X	X	X	X	…	…	X	X	X
2008	양천구	신정3동	10	197	3,287	19,413	19,382	…	…	11,428	7,985	6,856	-	-	-	-	-	-	-	-	-	-	10	197	3,287	19,413	19,382	…	…	11,428	7,985	6,856
2008	양천구	신정6동	-	-	-	-	-	…	…	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	…	…	-	-	-
2008	양천구	신정7동	4	84	1,297	10,906	11,102	…	…	5,754	5,152	2,329	-	-	-	-	-	-	-	-	-	-	4	84	1,297	10,906	11,102	…	…	5,754	5,152	2,329
2008	양천구	목5동	-	-	-	-	-	…	…	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	…	…	-	-	-
2008	양천구	신정4동	15	211	2,984	18,795	18,704	…	…	10,941	7,854	3,060	-	-	-	-	-	-	-	-	-	-	15	211	2,984	18,795	18,704	…	…	10,941	7,854	3,060
2008	강서구	계	184	4,090	91,282	795,235	791,058	58,479	62,656	506,034	289,201	226,660	-	-	-	-	-	-	-	-	-	-	184	4,090	91,282	795,235	791,058	58,479	62,656	506,034	289,201	226,660
2008	강서구	염창동	29	617	14,065	129,797	128,762	…	…	87,773	42,024	36,266	-	-	-	-	-	-	-	-	-	-	29	617	14,065	129,797	128,762	…	…	87,773	42,024	36,266
2008	강서구	등촌1동	34	808	19,146	149,613	148,925	…	…	90,186	59,427	56,239	-	-	-	-	-	-	-	-	-	-	34	808	19,146	149,613	148,925	…	…	90,186	59,427	56,239
2008	강서구	등촌2동	3	80	1,621	7,637	7,636	…	…	4,314	3,323	3,087	-	-	-	-	-	-	-	-	-	-	3	80	1,621	7,637	7,636	…	…	4,314	3,323	3,087
2008	강서구	등촌3동	14	475	10,886	84,803	82,120	…	…	47,401	37,402	20,716	-	-	-	-	-	-	-	-	-	-	14	475	10,886	84,803	82,120	…	…	47,401	37,402	20,716
2008	강서구	화곡본동	4	68	1,178	4,764	4,780	…	…	3,302	1,462	683	-	-	-	-	-	-	-	-	-	-	4	68	1,178	4,764	4,780	…	…	3,302	1,462	683
2008	강서구	화곡2동	3	45	467	2,175	2,125	…	…	1,148	1,027	1,399	-	-	-	-	-	-	-	-	-	-	3	45	467	2,175	2,125	…	…	1,148	1,027	1,399
2008	강서구	화곡3동	2	X	X	X	X	…	…	X	X	X	-	-	-	-	-	-	-	-	-	-	2	X	X	X	X	…	…	X	X	X
2008	강서구	화곡4동	4	70	903	3,368	3,392	…	…	1,823	1,545	520	-	-	-	-	-	-	-	-	-	-	4	70	903	3,368	3,392	…	…	1,823	1,545	520
2008	강서구	화곡6동	5	124	1,928	13,356	13,415	…	…	10,161	3,195	1,501	-	-	-	-	-	-	-	-	-	-	5	124	1,928	13,356	13,415	…	…	10,161	3,195	1,501
2008	강서구	화곡8동	-	-	-	-	-	…	…	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	…	…	-	-	-
2008	강서구	가양1동	15	210	3,961	25,347	25,257	…	…	15,315	10,032	17,917	-	-	-	-	-	-	-	-	-	-	15	210	3,961	25,347	25,257	…	…	15,315	10,032	17,917
2008	강서구	가양2동	4	125	3,319	18,418	18,663	…	…	9,879	8,539	5,186	-	-	-	-	-	-	-	-	-	-	4	125	3,319	18,418	18,663	…	…	9,879	8,539	5,186
2008	강서구	가양3동	22	465	10,306	127,777	126,311	…	…	84,068	43,709	36,355	-	-	-	-	-	-	-	-	-	-	22	465	10,306	127,777	126,311	…	…	84,068	43,709	36,355
2008	강서구	발산1동	7	161	2,848	17,038	17,121	…	…	11,060	5,978	7,460	-	-	-	-	-	-	-	-	-	-	7	161	2,848	17,038	17,121	…	…	11,060	5,978	7,460
2008	강서구	공항동	5	183	7,949	71,570	70,955	…	…	55,648	15,922	5,275	-	-	-	-	-	-	-	-	-	-	5	183	7,949	71,570	70,955	…	…	55,648	15,922	5,275
2008	강서구	방화1동	5	149	3,313	57,176	58,447	…	…	34,539	22,637	24,566	-	-	-	-	-	-	-	-	-	-	5	149	3,313	57,176	58,447	…	…	34,539	22,637	24,566
2008	강서구	방화2동	6	92	2,459	39,182	41,539	…	…	22,496	16,686	6,071	-	-	-	-	-	-	-	-	-	-	6	92	2,459	39,182	41,539	…	…	22,496	16,686	6,071
2008	강서구	방화3동	1	X	X	X	X	…	…	X	X	X	-	-	-	-	-	-	-	-	-	-	1	X	X	X	X	…	…	X	X	X
2008	강서구	화곡1동	16	266	4,030	26,702	26,127	…	…	17,382	9,320	1,705	-	-	-	-	-	-	-	-	-	-	16	266	4,030	26,702	26,127	…	…	17,382	9,320	1,705
2008	강서구	우장산동	5	82	1,440	6,111	6,004	…	…	3,712	2,399	1,052	-	-	-	-	-	-	-	-	-	-	5	82	1,440	6,111	6,004	…	…	3,712	2,399	1,052
2008	구로구	계	423	10,763	275,232	2,659,012	2,647,640	152,036	163,408	1,769,815	889,197	913,663	-	-	-	-	-	-	-	-	-	-	423	10,763	275,232	2,659,012	2,647,640	152,036	163,408	1,769,815	889,197	913,663
2008	구로구	신도림동	28	388	8,801	52,317	51,943	…	…	29,569	22,748	7,348	-	-	-	-	-	-	-	-	-	-	28	388	8,801	52,317	51,943	…	…	29,569	22,748	7,348
2008	구로구	구로1동	5	65	1,177	9,006	9,018	…	…	5,189	3,817	1,312	-	-	-	-	-	-	-	-	-	-	5	65	1,177	9,006	9,018	…	…	5,189	3,817	1,312
2008	구로구	구로3동	294	7,253	185,209	1,784,781	1,775,697	…	…	1,192,776	592,005	511,386	-	-	-	-	-	-	-	-	-	-	294	7,253	185,209	1,784,781	1,775,697	…	…	1,192,776	592,005	511,386
2008	구로구	구로4동	2	X	X	X	X	…	…	X	X	X	-	-	-	-	-	-	-	-	-	-	2	X	X	X	X	…	…	X	X	X
2008	구로구	구로5동	8	285	7,510	65,352	62,997	…	…	33,700	31,652	10,638	-	-	-	-	-	-	-	-	-	-	8	285	7,510	65,352	62,997	…	…	33,700	31,652	10,638
