기간	자치구	동	합계	세대주	세대주	세대주	세대원	세대원	세대원	재학별	재학별	재학별	재학별	재학별	세대주의주거형태	세대주의주거형태	세대주의주거형태	세대주의주거형태	세대주의주거형태
2012	동작구	흑석동	1	1	1	-	-	-	-	-	-	-	1	-	-	-	1	-	-
2012	관악구	계	1	1	1	-	-	-	-	-	-	-	1	-	-	-	1	-	-
2012	관악구	서원동	1	1	1	-	-	-	-	-	-	-	1	-	-	-	1	-	-
2012	서초구	계	4	4	4	-	-	-	-	-	-	2	2	-	-	-	-	-	4
2012	서초구	서초3동	1	1	1	-	-	-	-	-	-	1	-	-	-	-	-	-	1
2012	서초구	방배3동	1	1	1	-	-	-	-	-	-	-	1	-	-	-	-	-	1
2012	서초구	양재1동	2	2	2	-	-	-	-	-	-	1	1	-	-	-	-	-	2
2012	강남구	계	2	2	1	1	-	-	-	-	1	1	-	-	-	1	1	-	-
2012	강남구	신사동	1	1	1	-	-	-	-	-	-	1	-	-	-	-	1	-	-
2012	강남구	대치4동	1	1	-	1	-	-	-	-	1	-	-	-	-	1	-	-	-
2012	송파구	계	4	2	1	1	2	1	1	-	1	-	3	-	-	1	1	-	-
2012	송파구	풍납1동	2	1	1	-	1	-	1	-	-	-	2	-	-	-	1	-	-
2012	송파구	삼전동	2	1	-	1	1	1	-	-	1	-	1	-	-	1	-	-	-
