기간	자치구	동	유년부양비	노년부양비	노령화지수
2012	도봉구	창4동	20.9	12.9	61.9
2012	도봉구	창5동	17.1	13.3	77.8
2012	도봉구	도봉1동	12.5	21.5	172
2012	도봉구	도봉2동	17	18.9	111.1
2012	노원구	소계	19.7	13.6	68.9
2012	노원구	월계1동	16.4	15.8	96.7
2012	노원구	월계2동	17.9	17	94.7
2012	노원구	월계3동	21.4	15.2	70.9
2012	노원구	공릉2동	21.9	10.7	49.1
2012	노원구	하계1동	15.8	13.2	83.7
2012	노원구	하계2동	21.3	11.9	55.6
2012	노원구	중계본동	21.7	10.1	46.5
2012	노원구	중계1동	25.2	8.2	32.5
2012	노원구	중계4동	18.4	15.2	83
2012	노원구	상계1동	17.7	14.3	80.7
2012	노원구	상계2동	14.9	13.2	88.6
2012	노원구	상계5동	16.3	15.3	93.9
2012	노원구	상계8동	28.8	10.6	36.9
2012	노원구	상계9동	22.7	11.7	51.5
2012	노원구	상계10동	19.2	10.9	56.9
2012	노원구	상계3.4동	16.6	19.8	118.8
2012	노원구	상계6.7동	22	12.1	54.9
2012	노원구	중계2.3동	20.2	17.5	86.5
2012	노원구	공릉1동	16.2	13.2	81.7
2012	은평구	소계	18.2	16.1	88.6
2012	은평구	녹번동	15.7	17.7	112.9
2012	은평구	불광1동	18.2	16.5	91
2012	은평구	갈현1동	15	15.7	104.6
2012	은평구	갈현2동	17.3	14.1	81.5
2012	은평구	구산동	17.3	16.3	94.3
2012	은평구	대조동	15.8	16.8	106.5
2012	은평구	응암1동	20.3	16.1	79.4
2012	은평구	응암2동	19.2	16.4	85.3
2012	은평구	신사1동	17.2	14.7	85.6
2012	은평구	신사2동	18.2	14.6	80.3
2012	은평구	증산동	17.4	16.5	95.2
2012	은평구	수색동	15.4	18.4	119.6
2012	은평구	진관동	30.3	14.9	49
2012	은평구	불광2동	13.9	17.9	128.9
2012	은평구	응암3동	15.1	18.5	121.9
2012	은평구	역촌동	18	14.8	82.1
2012	서대문구	소계	16	17.3	107.7
2012	서대문구	천연동	19.4	18.7	96.4
2012	서대문구	홍제1동	16.7	18.4	109.8
2012	서대문구	홍제3동	15.7	20.7	131.7
2012	서대문구	홍제2동	17.2	17	98.8
2012	서대문구	홍은1동	17.3	18.8	109
2012	서대문구	홍은2동	16.3	17.1	104.7
2012	서대문구	남가좌1동	14.3	22.3	155.7
2012	서대문구	남가좌2동	16.6	18.1	109.2
2012	서대문구	북가좌1동	21	14.9	70.8
2012	서대문구	북가좌2동	17.3	16.6	95.9
2012	서대문구	충현동	12.9	17.9	138.4
2012	서대문구	북아현동	13.4	16.9	126
2012	서대문구	신촌동	10.6	11.3	106.7
2012	서대문구	연희동	14.9	17.2	115.1
2012	마포구	소계	17.2	14.9	86.2
2012	마포구	용강동	21.5	15	69.8
2012	마포구	대흥동	7.8	14.6	187.1
2012	마포구	염리동	14.3	16	112.2
2012	마포구	신수동	18	15.5	85.7
2012	마포구	서교동	10.1	13	128.8
2012	마포구	합정동	15.5	13.6	87.9
2012	마포구	망원1동	16	14.7	92
2012	마포구	망원2동	19.5	15	76.8
2012	마포구	연남동	12.2	15.3	125.3
2012	마포구	성산1동	15.9	14.7	92.2
2012	마포구	성산2동	22.3	15	67.2
2012	마포구	상암동	31.3	13.4	42.6
2012	마포구	도화동	18.3	17.9	98.2
2012	마포구	서강동	16.1	11.8	73.2
2012	마포구	공덕동	15.1	16.9	112.1
2012	마포구	아현동	14.9	16.2	108.1
2012	양천구	소계	19.4	11.4	58.5
2012	양천구	목1동	24.3	8.2	33.6
2012	양천구	목2동	16.1	10.8	67.3
2012	양천구	목3동	14.6	11.8	80.6
2012	양천구	목4동	20.2	9.9	48.8
2012	양천구	신월1동	15.1	12.7	84
2012	양천구	신월2동	18.1	13.7	75.7
2012	양천구	신월3동	14.5	13.9	95.7
2012	양천구	신월4동	20.9	12.6	60.2
2012	양천구	신월5동	17.7	12.4	70.1
2012	양천구	신월6동	14.4	13.2	91.4
2012	양천구	신월7동	18.4	14.3	77.7
2012	양천구	신정1동	23.1	10.6	45.9
2012	양천구	신정2동	19.2	10.3	53.8
2012	양천구	신정3동	23.1	12	51.7
2012	양천구	신정6동	22.8	8.2	36
2012	양천구	신정7동	18.4	13.2	71.8
2012	양천구	목5동	24.3	8.4	34.5
2012	양천구	신정4동	14.7	12.9	87.4
2012	강서구	소계	17.6	12.7	72
2012	강서구	염창동	24.6	9.2	37.4
2012	강서구	등촌1동	16.3	11.4	70.2
2012	강서구	등촌2동	16	11	68.7
2012	강서구	등촌3동	16.5	15.3	92.9
2012	강서구	화곡본동	19.4	10.9	56.3
2012	강서구	화곡2동	19.9	11.9	60
2012	강서구	화곡3동	14.6	13.3	91.2
2012	강서구	화곡4동	15.7	12.5	79.7
2012	강서구	화곡6동	16.7	11.6	69.8
2012	강서구	화곡8동	16.8	12.7	75.6
2012	강서구	가양1동	19	10.4	54.9
2012	강서구	가양2동	8.8	17.9	203.3
2012	강서구	가양3동	14.7	17.2	117.2
2012	강서구	발산1동	25.3	10.6	41.9
2012	강서구	공항동	14.3	13.9	97.2
2012	강서구	방화1동	18.9	13.3	70.3
2012	강서구	방화2동	15.3	16.7	109.3
2012	강서구	방화3동	16.8	15.9	94.5
2012	강서구	화곡1동	13.3	12.5	93.7
2012	강서구	우장산동	21.6	10.4	48.1
2012	구로구	소계	17.2	13	75.4
2012	구로구	신도림동	22.4	10.4	46.5
2012	구로구	구로1동	21.1	8.9	42
2012	구로구	구로3동	15.1	10.2	67.5
2012	구로구	구로4동	14	13.5	96.7
2012	구로구	구로5동	15.5	11.7	75.7
2012	구로구	고척1동	18	14	77.6
2012	구로구	고척2동	19.8	13.7	69.2
2012	구로구	개봉2동	18.3	13.7	75
2012	구로구	개봉3동	18.3	14	76.4
2012	구로구	오류1동	15	14.9	99.4
2012	구로구	오류2동	23.9	14.5	60.8
2012	구로구	수궁동	19.2	13.6	70.8
2012	구로구	가리봉동	6.5	11.7	181.4
2012	구로구	구로2동	11.6	14.3	122.6
2012	구로구	개봉1동	16.5	14.6	88.4
2012	금천구	소계	14.3	13.1	91.7
2012	금천구	가산동	8.3	9.7	117.5
2012	금천구	독산1동	13.4	12.5	93.3
2012	금천구	독산2동	13.8	11.8	85.4
2012	금천구	독산3동	11.8	12.2	103.2
2012	금천구	독산4동	14	11.5	82.3
2012	금천구	시흥1동	14.7	13.8	94.1
2012	금천구	시흥2동	22.1	14.8	67.2
2012	금천구	시흥3동	14.6	16.7	113.9
2012	금천구	시흥4동	16.5	13.6	82.5
2012	금천구	시흥5동	15.8	16.7	105.6
2012	영등포구	소계	15.3	14	91.6
2012	영등포구	여의동	19.6	18.7	95.4
2012	영등포구	당산1동	14.5	15.4	106.3
2012	영등포구	당산2동	17.1	12.8	74.8
2012	영등포구	양평1동	18.3	14.1	77.3
2012	영등포구	양평2동	20.1	11	54.6
2012	영등포구	신길1동	11.6	15.3	131.8
2012	영등포구	신길3동	15.9	15.2	95.5
2012	영등포구	신길4동	12.8	15.8	122.9
2012	영등포구	신길5동	12.3	14.1	114.5
2012	영등포구	신길6동	15	14.3	95.1
2012	영등포구	신길7동	18.4	11.7	63.9
2012	영등포구	대림1동	11.9	13.9	117.2
2012	영등포구	대림2동	10.3	12.2	118.9
2012	영등포구	대림3동	14.1	11.7	82.9
2012	영등포구	영등포본동	15.2	13	85.3
2012	영등포구	영등포동	10.1	16.1	159.6
2012	영등포구	도림동	11.7	13.4	114.7
2012	영등포구	문래동	22.6	14	61.9
2012	동작구	소계	16	14.8	92.7
2012	동작구	노량진2동	10.7	16.1	150.9
2012	동작구	상도1동	15.7	13.8	88.5
2012	동작구	상도2동	17.2	15.6	90.5
2012	동작구	상도3동	15.8	16.6	104.7
2012	동작구	상도4동	16.6	15.4	92.9
2012	동작구	사당1동	10.5	12.4	118.3
2012	동작구	사당3동	16.2	15.1	93.4
2012	동작구	사당4동	14.4	15.3	106.6
2012	동작구	사당5동	17.4	13.9	80.2
2012	동작구	대방동	19.4	13.2	67.9
2012	동작구	신대방1동	18.1	12.2	67.3
2012	동작구	신대방2동	20	14.3	71.8
2012	동작구	흑석동	14.3	17.2	120
2012	동작구	노량진1동	16.4	16.3	99.4
2012	동작구	사당2동	14.9	15.5	103.8
2012	관악구	소계	13.6	13.3	97.8
2012	관악구	보라매동	13.6	14	102.9
2012	관악구	청림동	21.7	14.9	68.6
2012	관악구	행운동	11.1	12.7	113.7
2012	관악구	낙성대동	12.2	10.7	87.9
2012	관악구	중앙동	11	15.2	138.3
2012	관악구	인헌동	15.6	12.8	82.5
2012	관악구	남현동	13.6	12.6	92.8
2012	관악구	서원동	9.8	11.9	121
2012	관악구	신원동	12	15.4	128.9
2012	관악구	서림동	9.7	12.1	124.9
2012	관악구	신사동	12.4	11.7	94.5
2012	관악구	신림동	5.4	7.2	133.6
2012	관악구	난향동	22.9	14.2	62
2012	관악구	조원동	11.4	12.9	113.7
2012	관악구	대학동	8.4	9.8	117.3
2012	관악구	은천동	18	14	77.8
2012	관악구	성현동	21.9	16.2	74.1
2012	관악구	청룡동	10.9	12.6	115.4
2012	관악구	난곡동	15.5	15.6	100.2
2012	관악구	삼성동	14.3	19.3	135.1
2012	관악구	미성동	15.1	13.1	86.9
2012	서초구	소계	19.3	12.5	65
2012	서초구	서초1동	16.8	12.1	72.1
2012	서초구	서초2동	19.7	12	60.7
2012	서초구	서초3동	13.9	13.3	95.1
2012	서초구	서초4동	24.9	12.2	48.7
2012	서초구	잠원동	20.6	10.2	49.8
2012	서초구	반포본동	25.8	16.5	63.8
2012	서초구	반포1동	19.2	9.4	49.1
2012	서초구	반포2동	26.8	13.3	49.8
2012	서초구	반포3동	25.1	12.2	48.6
2012	서초구	반포4동	21.3	11.6	54.4
2012	서초구	방배본동	20.7	13.5	65.1
2012	서초구	방배1동	15	13.2	87.7
2012	서초구	방배2동	14.2	13.6	95.5
2012	서초구	방배3동	14.4	13.5	93.8
2012	서초구	방배4동	18.4	13.5	73.2
2012	서초구	양재1동	20	13.6	67.7
2012	서초구	양재2동	16.4	10.3	62.9
2012	서초구	내곡동	13.4	23.3	173.5
2012	강남구	소계	16.5	11.3	68.3
2012	강남구	신사동	16.2	15.1	92.8
2012	강남구	논현1동	8.4	9.6	113.8
2012	강남구	논현2동	13	12.3	94.6
2012	강남구	삼성1동	16	12.4	77.6
2012	강남구	삼성2동	19.5	10	51.1
2012	강남구	대치1동	23.3	8.8	37.8
2012	강남구	대치4동	11.3	8.3	73.6
2012	강남구	역삼1동	8.2	8.9	108.4
2012	강남구	역삼2동	21.8	9.9	45.3
2012	강남구	도곡1동	17.1	10.8	63.2
2012	강남구	도곡2동	21	11.4	54.1
2012	강남구	개포1동	13.4	12.2	91
2012	강남구	개포4동	16.8	9.8	58.2
2012	강남구	일원본동	21.6	8.5	39.4
2012	강남구	일원1동	14.5	14.2	98.3
2012	강남구	일원2동	16.4	11.7	71
2012	강남구	수서동	10.4	20.5	196.6
2012	강남구	세곡동	26.1	20.1	77
2012	강남구	압구정동	21.2	17.4	82.1
2012	강남구	청담동	17.4	12.6	72.3
2012	강남구	대치2동	15.8	8.9	56.5
2012	강남구	개포2동	18	8.4	46.5
2012	송파구	소계	18.3	11.1	60.7
2012	송파구	풍납1동	14.6	13.7	94.1
2012	송파구	풍납2동	19.1	11.1	58.1
2012	송파구	거여1동	19.2	11.9	62.2
2012	송파구	거여2동	20.8	13.6	65.6
2012	송파구	마천1동	19.6	15.3	78.4
2012	송파구	마천2동	16.1	15.1	93.4
2012	송파구	방이1동	17.8	10.2	57.5
2012	송파구	방이2동	13.3	10.3	77
2012	송파구	오륜동	20.4	9.3	45.7
2012	송파구	오금동	16.3	11.7	71.7
2012	송파구	송파1동	14.6	10.1	69.6
2012	송파구	송파2동	17.9	10	55.6
2012	송파구	석촌동	15	10.4	68.9
2012	송파구	삼전동	15	8.9	59.3
2012	송파구	가락본동	15.7	9.5	60.5
2012	송파구	가락1동	10.6	13.2	124.1
2012	송파구	가락2동	20.9	8.9	42.5
2012	송파구	문정1동	15.9	9.9	62.3
2012	송파구	문정2동	15.8	17.4	110.2
2012	송파구	장지동	21.8	10.5	48.1
2012	송파구	잠실본동	13.1	9.5	72.7
2012	송파구	잠실4동	23.7	11.1	46.8
2012	송파구	잠실6동	18.5	13	70.3
2012	송파구	잠실7동	19.5	18	92.3
2012	송파구	잠실2동	31.3	8.5	27
2012	송파구	잠실3동	21.2	11.8	55.4
2012	강동구	소계	17.4	11.8	67.8
2012	강동구	강일동	30.4	13.8	45.5
2012	강동구	상일동	16.4	10	60.7
2012	강동구	명일1동	19.9	10.9	54.7
2012	강동구	명일2동	16.6	9.4	56.5
2012	강동구	고덕1동	21.8	10.8	49.4
2012	강동구	고덕2동	14.6	12.2	83.4
2012	강동구	암사2동	22.8	10.7	47.1
2012	강동구	암사3동	23.5	10	42.3
2012	강동구	천호1동	14.7	13.2	89.5
2012	강동구	천호3동	11.8	13.9	117.6
2012	강동구	성내1동	19.5	11.4	58.2
2012	강동구	성내2동	12.7	13.2	104.1
2012	강동구	성내3동	15.4	11.4	74.1
2012	강동구	둔촌1동	15.9	7.9	49.6
2012	강동구	둔촌2동	17.4	11.4	65.4
2012	강동구	암사1동	16.5	12.5	75.6
2012	강동구	천호2동	14	13.7	98
2012	강동구	길동	15.7	11.5	73.4
