기간	자치구	동	보육시설 정원	보육시설 정원	보육시설 정원	보육시설 정원	보육시설 정원	보육시설 정원	보육시설 정원	보육시설 정원	보육시설 현원	보육시설 현원	보육시설 현원	보육시설 현원	보육시설 현원	보육시설 현원	보육시설 현원	보육시설 현원
2012	종로구	청운효자동	632	179	-	-	39	-	-	414	582	168	-	-	38	-	-	376
2012	종로구	혜화동	333	215	-	-	118	-	-	-	321	204	-	-	117	-	-	-
2012	중구	소계	3,765	1,854	-	253	626	217	-	815	3,300	1,674	-	198	595	209	-	624
2012	중구	소공동	419	-	-	-	-	-	-	419	345	-	-	-	-	-	-	345
2012	중구	회현동	126	87	-	-	-	-	-	39	105	81	-	-	-	-	-	24
2012	중구	명동	237	-	-	-	-	-	-	237	162	-	-	-	-	-	-	162
2012	중구	필동	79	79	-	-	-	-	-	-	66	66	-	-	-	-	-	-
2012	중구	장충동	116	67	-	-	49	-	-	-	109	60	-	-	49	-	-	-
2012	중구	광희동	210	90	-	-	-	-	-	120	183	90	-	-	-	-	-	93
2012	중구	을지로동	131	52	-	79	-	-	-	-	77	40	-	37	-	-	-	-
2012	중구	신당1동	190	151	-	-	39	-	-	-	156	125	-	-	31	-	-	-
2012	중구	신당2동	328	194	-	49	52	33	-	-	311	180	-	49	49	33	-	-
2012	중구	신당3동	494	261	-	41	153	39	-	-	477	254	-	33	151	39	-	-
2012	중구	신당4동	244	131	-	-	75	38	-	-	242	129	-	-	75	38	-	-
2012	중구	신당5동	363	173	-	-	190	-	-	-	342	164	-	-	178	-	-	-
2012	중구	신당6동	284	219	-	-	36	29	-	-	244	188	-	-	33	23	-	-
2012	중구	황학동	236	184	-	-	32	20	-	-	196	147	-	-	29	20	-	-
2012	중구	중림동	308	166	-	84	-	58	-	-	285	150	-	79	-	56	-	-
2012	용산구	소계	5,500	1,444	94	452	2,128	946	33	403	5,111	1,382	88	430	1,976	899	26	310
2012	용산구	후암동	609	86	57	72	339	55	-	-	580	86	51	67	324	52	-	-
2012	용산구	용산2가동	272	170	-	-	84	18	-	-	245	151	-	-	78	16	-	-
2012	용산구	남영동	71	-	37	-	34	-	-	-	69	-	37	-	32	-	-	-
2012	용산구	원효로2동	345	89	-	40	97	119	-	-	341	88	-	40	97	116	-	-
2012	용산구	효창동	486	79	-	99	274	34	-	-	469	79	-	93	265	32	-	-
2012	용산구	용문동	410	70	-	40	220	80	-	-	352	68	-	33	174	77	-	-
2012	용산구	이촌1동	358	-	-	-	119	239	-	-	341	-	-	-	116	225	-	-
2012	용산구	이촌2동	241	104	-	-	78	59	-	-	232	96	-	-	77	59	-	-
2012	용산구	이태원1동	234	-	-	52	74	40	-	68	224	-	-	52	65	40	-	67
2012	용산구	이태원2동	171	64	-	-	87	20	-	-	135	47	-	-	69	19	-	-
2012	용산구	서빙고동	238	166	-	-	22	50	-	-	237	165	-	-	22	50	-	-
2012	용산구	보광동	436	193	-	-	223	20	-	-	420	193	-	-	207	20	-	-
2012	용산구	청파동	576	168	-	84	287	37	-	-	551	166	-	84	278	23	-	-
2012	용산구	원효로1동	260	52	-	45	53	77	33	-	239	51	-	45	40	77	26	-
2012	용산구	한강로동	410	151	-	-	49	20	-	190	368	141	-	-	48	19	-	160
2012	용산구	한남동	383	52	-	20	88	78	-	145	308	51	-	16	84	74	-	83
2012	성동구	소계	7,639	2,811	-	202	3,098	1,314	-	214	6,863	2,522	-	181	2,741	1,226	-	193
2012	성동구	왕십리2동	396	64	-	-	224	108	-	-	371	59	-	-	208	104	-	-
2012	성동구	마장동	709	307	-	-	258	144	-	-	662	294	-	-	230	138	-	-
2012	성동구	사근동	149	84	-	-	-	26	-	39	118	76	-	-	-	18	-	24
2012	성동구	행당1동	508	186	-	-	195	78	-	49	429	143	-	-	184	57	-	45
2012	성동구	행당2동	611	277	-	-	159	175	-	-	580	271	-	-	141	168	-	-
2012	성동구	응봉동	312	99	-	79	60	74	-	-	290	94	-	64	59	73	-	-
2012	성동구	금호1가동	665	264	-	79	245	77	-	-	635	257	-	73	231	74	-	-
2012	성동구	금호4가동	349	64	-	-	149	136	-	-	331	59	-	-	144	128	-	-
2012	성동구	성수1가1동	351	206	-	44	101	-	-	-	340	199	-	44	97	-	-	-
2012	성동구	성수1가2동	482	113	-	-	299	70	-	-	470	113	-	-	287	70	-	-
2012	성동구	성수2가1동	463	44	-	-	325	67	-	27	420	41	-	-	291	63	-	25
2012	성동구	성수2가3동	288	50	-	-	119	20	-	99	274	50	-	-	107	18	-	99
2012	성동구	송정동	277	99	-	-	165	13	-	-	221	93	-	-	115	13	-	-
2012	성동구	용답동	600	264	-	-	302	34	-	-	518	253	-	-	232	33	-	-
2012	성동구	왕십리도선동	453	150	-	-	249	54	-	-	400	138	-	-	212	50	-	-
2012	성동구	금호2.3가동	496	224	-	-	161	111	-	-	413	185	-	-	131	97	-	-
2012	성동구	옥수동	530	316	-	-	87	127	-	-	391	197	-	-	72	122	-	-
2012	광진구	소계	9,350	1,849	-	264	5,626	1,355	85	171	8,361	1,738	-	173	5,081	1,202	47	120
2012	광진구	화양동	464	120	-	36	294	14	-	-	412	119	-	19	273	1	-	-
2012	광진구	군자동	665	99	-	98	390	57	-	21	561	97	-	38	366	46	-	14
2012	광진구	중곡1동	359	85	-	-	203	71	-	-	308	82	-	-	177	49	-	-
2012	광진구	중곡2동	617	91	-	20	451	55	-	-	560	80	-	17	413	50	-	-
2012	광진구	중곡3동	871	266	-	-	605	-	-	-	753	208	-	-	545	-	-	-
2012	광진구	중곡4동	895	123	-	-	495	241	36	-	796	122	-	-	430	229	15	-
2012	광진구	능동	205	130	-	-	21	54	-	-	199	128	-	-	21	50	-	-
2012	광진구	구의1동	612	86	-	-	526	-	-	-	494	80	-	-	414	-	-	-
2012	광진구	구의2동	841	59	-	-	668	65	49	-	741	58	-	-	599	52	32	-
2012	광진구	구의3동	568	175	-	-	237	156	-	-	501	163	-	-	182	156	-	-
2012	광진구	광장동	509	101	-	20	83	256	-	49	424	95	-	18	83	209	-	19
2012	광진구	자양1동	639	96	-	29	390	72	-	52	616	91	-	29	379	67	-	50
2012	광진구	자양2동	566	64	-	-	330	123	-	49	532	64	-	-	309	122	-	37
2012	광진구	자양3동	882	199	-	61	467	155	-	-	843	198	-	52	458	135	-	-
2012	광진구	자양4동	657	155	-	-	466	36	-	-	621	153	-	-	432	36	-	-
2012	동대문구	소계	9,516	2,437	-	263	4,626	1,913	-	277	8,672	2,265	-	237	4,149	1,826	-	195
2012	동대문구	회기동	291	54	-	-	147	54	-	36	245	54	-	-	114	54	-	23
2012	동대문구	휘경1동	294	-	-	-	215	79	-	-	284	-	-	-	207	77	-	-
2012	동대문구	휘경2동	748	99	-	99	304	211	-	35	695	98	-	98	278	202	-	19
2012	동대문구	청량리동	500	189	-	-	152	120	-	39	472	181	-	-	136	118	-	37
2012	동대문구	용신동	702	202	-	-	349	58	-	93	601	196	-	-	286	51	-	68
2012	동대문구	제기동	690	257	-	-	274	159	-	-	667	246	-	-	264	157	-	-
2012	동대문구	전농1동	580	142	-	49	389	-	-	-	454	104	-	45	305	-	-	-
2012	동대문구	전농2동	403	144	-	-	127	132	-	-	383	143	-	-	115	125	-	-
2012	동대문구	답십리1동	605	405	-	-	166	34	-	-	541	356	-	-	153	32	-	-
2012	동대문구	답십리2동	1,065	49	-	56	732	228	-	-	959	33	-	54	659	213	-	-
2012	동대문구	장안1동	1,310	559	-	-	449	253	-	49	1,221	527	-	-	419	251	-	24
2012	동대문구	장안2동	949	234	-	-	477	238	-	-	882	228	-	-	445	209	-	-
2012	동대문구	이문1동	645	41	-	59	405	140	-	-	587	40	-	40	371	136	-	-
2012	동대문구	이문2동	734	62	-	-	440	207	-	25	681	59	-	-	397	201	-	24
2012	중랑구	소계	11,904	2,436	114	574	6,461	2,161	-	158	10,847	2,357	103	437	5,878	1,946	-	126
2012	중랑구	면목2동	770	99	-	-	571	100	-	-	693	97	-	-	523	73	-	-
2012	중랑구	면목4동	643	207	-	-	357	79	-	-	611	202	-	-	337	72	-	-
2012	중랑구	면목5동	559	91	-	-	448	20	-	-	464	91	-	-	359	14	-	-
2012	중랑구	면목7동	708	99	-	-	532	77	-	-	681	99	-	-	508	74	-	-
2012	중랑구	상봉1동	691	233	-	-	240	218	-	-	669	230	-	-	239	200	-	-
2012	중랑구	상봉2동	506	101	-	151	218	36	-	-	452	101	-	128	194	29	-	-
2012	중랑구	중화1동	653	110	-	-	374	169	-	-	568	104	-	-	302	162	-	-
2012	중랑구	중화2동	632	318	-	-	206	108	-	-	566	301	-	-	185	80	-	-
2012	중랑구	묵1동	1,003	197	-	39	545	222	-	-	944	185	-	34	524	201	-	-
2012	중랑구	묵2동	394	91	-	-	171	132	-	-	384	89	-	-	165	130	-	-
2012	중랑구	망우3동	604	94	-	-	476	34	-	-	547	93	-	-	424	30	-	-
2012	중랑구	신내1동	1,170	91	114	20	533	339	-	73	1,070	87	103	19	495	319	-	47
2012	중랑구	신내2동	790	41	-	66	164	434	-	85	732	41	-	65	152	395	-	79
2012	중랑구	면목본동	1,025	230	-	-	711	84	-	-	915	214	-	-	625	76	-	-
2012	중랑구	면목3.8동	882	201	-	298	314	69	-	-	722	194	-	191	285	52	-	-
2012	중랑구	망우본동	874	233	-	-	601	40	-	-	829	229	-	-	561	39	-	-
2012	성북구	소계	11,844	2,244	151	1,267	5,379	2,672	37	94	11,103	2,122	147	1,193	4,964	2,577	27	73
2012	성북구	돈암1동	347	-	-	67	208	72	-	-	319	-	-	67	182	70	-	-
2012	성북구	돈암2동	261	91	-	-	39	131	-	-	246	82	-	-	39	125	-	-
2012	성북구	안암동	254	116	-	-	57	34	-	47	226	115	-	-	45	29	-	37
2012	성북구	보문동	350	40	-	79	231	-	-	-	279	40	-	56	183	-	-	-
2012	성북구	정릉1동	556	64	-	-	375	117	-	-	516	56	-	-	351	109	-	-
2012	성북구	정릉2동	360	96	-	20	77	130	37	-	330	81	-	20	76	126	27	-
2012	성북구	정릉3동	574	166	-	321	87	-	-	-	528	151	-	296	81	-	-	-
2012	성북구	정릉4동	870	99	-	222	368	181	-	-	847	95	-	216	356	180	-	-
2012	성북구	길음1동	1,140	263	-	-	361	516	-	-	1,114	262	-	-	351	501	-	-
2012	성북구	길음2동	360	87	-	-	154	119	-	-	320	79	-	-	122	119	-	-
2012	성북구	월곡1동	848	70	79	159	314	226	-	-	786	70	77	148	269	222	-	-
2012	성북구	월곡2동	626	229	-	44	205	148	-	-	598	219	-	42	195	142	-	-
2012	성북구	장위1동	772	44	-	59	589	80	-	-	688	44	-	56	519	69	-	-
2012	성북구	장위2동	687	-	-	116	504	67	-	-	643	-	-	115	473	55	-	-
2012	성북구	장위3동	613	120	72	20	247	154	-	-	589	115	70	19	238	147	-	-
2012	성북구	성북동	228	161	-	-	27	40	-	-	223	161	-	-	25	37	-	-
2012	성북구	삼선동	536	166	-	-	243	80	-	47	508	160	-	-	232	80	-	36
2012	성북구	동선동	395	147	-	90	158	-	-	-	379	140	-	89	150	-	-	-
2012	성북구	종암동	1,359	195	-	70	715	379	-	-	1,280	164	-	69	674	373	-	-
2012	성북구	석관동	708	90	-	-	420	198	-	-	684	88	-	-	403	193	-	-
2012	강북구	소계	9,873	1,635	153	216	6,285	1,505	27	52	9,056	1,545	140	199	5,692	1,406	27	47
2012	강북구	번1동	621	72	-	-	478	71	-	-	515	71	-	-	375	69	-	-
2012	강북구	번2동	556	143	-	-	329	84	-	-	525	130	-	-	315	80	-	-
2012	강북구	번3동	500	40	89	-	228	143	-	-	479	39	82	-	227	131	-	-
2012	강북구	수유1동	929	79	-	-	818	32	-	-	897	77	-	-	789	31	-	-
2012	강북구	수유2동	906	62	64	-	644	136	-	-	863	52	58	-	633	120	-	-
2012	강북구	수유3동	544	-	-	49	428	15	-	52	513	-	-	43	415	8	-	47
2012	강북구	삼양동	902	305	-	90	359	148	-	-	849	288	-	83	332	146	-	-
2012	강북구	미아동	483	163	-	-	250	70	-	-	438	153	-	-	218	67	-	-
2012	강북구	송중동	909	206	-	-	593	110	-	-	776	203	-	-	465	108	-	-
2012	강북구	송천동	860	84	-	38	648	90	-	-	741	84	-	38	566	53	-	-
2012	강북구	삼각산동	1,292	157	-	-	559	576	-	-	1,246	153	-	-	530	563	-	-
2012	강북구	우이동	749	71	-	-	651	-	27	-	677	62	-	-	588	-	27	-
2012	강북구	인수동	622	253	-	39	300	30	-	-	537	233	-	35	239	30	-	-
2012	도봉구	소계	10,806	1,503	33	144	5,871	3,135	50	70	9,911	1,469	27	114	5,359	2,828	45	69
2012	도봉구	쌍문1동	633	79	-	25	435	94	-	-	575	76	-	10	396	93	-	-
2012	도봉구	쌍문2동	480	116	-	-	242	122	-	-	463	116	-	-	235	112	-	-
2012	도봉구	쌍문3동	635	95	-	-	471	69	-	-	579	88	-	-	425	66	-	-
2012	도봉구	쌍문4동	392	-	-	-	81	311	-	-	361	-	-	-	78	283	-	-
2012	도봉구	방학1동	1,125	79	-	47	755	174	-	70	984	77	-	44	665	129	-	69
2012	도봉구	방학2동	984	135	-	-	829	20	-	-	949	135	-	-	794	20	-	-
2012	도봉구	방학3동	936	202	-	-	198	516	20	-	829	195	-	-	194	421	19	-
2012	도봉구	창1동	634	130	-	-	172	332	-	-	599	129	-	-	162	308	-	-
2012	도봉구	창2동	1,058	84	-	-	660	284	30	-	989	84	-	-	604	275	26	-
2012	도봉구	창3동	794	79	33	27	599	56	-	-	685	79	27	21	508	50	-	-
2012	도봉구	창4동	637	124	-	-	131	382	-	-	618	123	-	-	129	366	-	-
2012	도봉구	창5동	656	79	-	-	334	243	-	-	612	75	-	-	317	220	-	-
2012	도봉구	도봉1동	853	110	-	45	630	68	-	-	725	103	-	39	527	56	-	-
2012	도봉구	도봉2동	989	191	-	-	334	464	-	-	943	189	-	-	325	429	-	-
2012	노원구	소계	15,557	2,991	328	40	5,085	6,846	30	237	14,404	2,797	295	33	4,724	6,370	30	155
2012	노원구	월계1동	800	124	-	20	359	297	-	-	780	124	-	20	353	283	-	-
2012	노원구	월계2동	629	236	40	-	46	307	-	-	602	227	35	-	46	294	-	-
2012	노원구	월계3동	1,029	148	40	-	78	763	-	-	980	145	33	-	78	724	-	-
2012	노원구	공릉2동	1,510	393	-	-	549	523	-	45	1,382	358	-	-	502	487	-	35
2012	노원구	하계1동	717	338	20	-	209	150	-	-	667	323	20	-	190	134	-	-
2012	노원구	하계2동	441	79	-	-	59	303	-	-	423	77	-	-	58	288	-	-
2012	노원구	중계본동	435	183	-	-	92	160	-	-	395	163	-	-	88	144	-	-
2012	노원구	중계1동	680	116	-	-	381	183	-	-	638	108	-	-	374	156	-	-
2012	노원구	중계4동	420	71	20	-	141	188	-	-	371	66	19	-	138	148	-	-
2012	노원구	상계1동	1,466	225	128	20	616	447	30	-	1,313	222	111	13	536	401	30	-
2012	노원구	상계2동	989	96	-	-	755	108	-	30	861	94	-	-	644	96	-	27
2012	노원구	상계5동	674	95	-	-	419	160	-	-	640	85	-	-	416	139	-	-
2012	노원구	상계8동	879	70	-	-	38	722	-	49	786	69	-	-	30	670	-	17
2012	노원구	상계9동	528	-	-	-	-	528	-	-	497	-	-	-	-	497	-	-
2012	노원구	상계10동	504	96	-	-	-	344	-	64	458	96	-	-	-	335	-	27
2012	노원구	상계3.4동	1,055	245	20	-	630	160	-	-	982	227	19	-	581	155	-	-
2012	노원구	상계6.7동	918	30	-	-	225	614	-	49	863	30	-	-	211	573	-	49
2012	노원구	중계2.3동	839	246	40	-	-	553	-	-	751	191	39	-	-	521	-	-
2012	노원구	공릉1동	1,044	200	20	-	488	336	-	-	1,015	192	19	-	479	325	-	-
2012	은평구	소계	15,397	1,464	131	332	11,165	2,204	39	62	13,691	1,441	129	303	9,948	1,787	28	55
2012	은평구	녹번동	1,014	170	-	80	662	60	-	42	879	163	-	72	552	50	-	42
2012	은평구	불광1동	1,295	92	-	-	895	288	-	20	1,069	91	-	-	739	226	-	13
2012	은평구	갈현1동	868	-	-	52	726	90	-	-	793	-	-	44	671	78	-	-
2012	은평구	갈현2동	800	-	-	-	652	109	39	-	738	-	-	-	608	102	28	-
2012	은평구	구산동	1,052	71	-	20	812	149	-	-	792	71	-	19	586	116	-	-
2012	은평구	대조동	1,091	-	131	40	847	73	-	-	987	-	129	37	763	58	-	-
2012	은평구	응암1동	1,046	-	-	20	987	39	-	-	1,032	-	-	20	974	38	-	-
2012	은평구	응암2동	548	137	-	-	286	125	-	-	501	133	-	-	269	99	-	-
2012	은평구	신사1동	816	-	-	20	719	77	-	-	779	-	-	20	685	74	-	-
2012	은평구	신사2동	675	46	-	-	524	105	-	-	558	46	-	-	424	88	-	-
2012	은평구	증산동	619	79	-	-	258	282	-	-	480	78	-	-	194	208	-	-
2012	은평구	수색동	284	153	-	20	39	72	-	-	269	151	-	18	39	61	-	-
2012	은평구	진관동	1,869	184	-	-	1,252	433	-	-	1,659	184	-	-	1,146	329	-	-
2012	은평구	불광2동	725	163	-	-	466	96	-	-	653	162	-	-	399	92	-	-
2012	은평구	응암3동	978	84	-	40	854	-	-	-	936	83	-	36	817	-	-	-
2012	은평구	역촌동	1,717	285	-	40	1,186	206	-	-	1,566	279	-	37	1,082	168	-	-
2012	서대문구	소계	7,836	1,975	-	156	3,936	1,275	-	494	6,791	1,657	-	137	3,421	1,185	-	391
2012	서대문구	천연동	560	86	-	-	423	51	-	-	465	85	-	-	331	49	-	-
2012	서대문구	홍제1동	611	189	-	-	318	104	-	-	568	166	-	-	299	103	-	-
2012	서대문구	홍제3동	636	127	-	-	420	89	-	-	578	127	-	-	371	80	-	-
2012	서대문구	홍제2동	379	-	-	74	208	97	-	-	309	-	-	58	161	90	-	-
2012	서대문구	홍은1동	507	140	-	-	223	144	-	-	479	138	-	-	201	140	-	-
2012	서대문구	홍은2동	539	85	-	-	355	99	-	-	481	84	-	-	304	93	-	-
2012	서대문구	남가좌1동	183	132	-	-	32	19	-	-	170	125	-	-	27	18	-	-
2012	서대문구	남가좌2동	805	120	-	-	392	293	-	-	729	117	-	-	350	262	-	-
2012	서대문구	북가좌1동	456	328	-	-	-	128	-	-	203	86	-	-	-	117	-	-
2012	서대문구	북가좌2동	817	129	-	-	546	142	-	-	785	127	-	-	530	128	-	-
2012	서대문구	충현동	722	40	-	30	542	20	-	90	629	36	-	29	467	19	-	78
2012	서대문구	북아현동	433	201	-	-	194	38	-	-	344	179	-	-	127	38	-	-
2012	서대문구	신촌동	512	88	-	52	-	17	-	355	420	88	-	50	-	17	-	265
2012	서대문구	연희동	676	310	-	-	283	34	-	49	631	299	-	-	253	31	-	48
2012	마포구	소계	9,018	2,958	-	902	2,935	1,706	153	364	8,120	2,755	-	635	2,691	1,626	142	271
2012	마포구	용강동	280	42	-	111	49	78	-	-	236	42	-	79	39	76	-	-
2012	마포구	대흥동	210	119	-	60	-	31	-	-	153	102	-	20	-	31	-	-
2012	마포구	염리동	545	111	-	183	186	20	-	45	462	105	-	145	164	20	-	28
2012	마포구	신수동	532	283	-	40	113	96	-	-	463	251	-	38	97	77	-	-
2012	마포구	서교동	401	249	-	100	-	52	-	-	343	234	-	57	-	52	-	-
2012	마포구	합정동	347	79	-	-	143	87	38	-	314	78	-	-	135	66	35	-
2012	마포구	망원1동	564	111	-	92	214	147	-	-	449	93	-	-	212	144	-	-
2012	마포구	망원2동	553	106	-	-	302	145	-	-	502	105	-	-	252	145	-	-
2012	마포구	연남동	488	75	-	-	319	94	-	-	475	72	-	-	311	92	-	-
2012	마포구	성산1동	387	49	-	-	206	56	76	-	351	48	-	-	174	56	73	-
2012	마포구	성산2동	1,321	355	-	40	471	308	39	108	1,244	332	-	40	431	299	34	108
2012	마포구	상암동	1,120	260	-	148	378	208	-	126	1,055	257	-	136	372	205	-	85
2012	마포구	도화동	421	271	-	20	-	130	-	-	390	243	-	17	-	130	-	-
2012	마포구	서강동	724	368	-	69	225	62	-	-	669	341	-	65	206	57	-	-
2012	마포구	공덕동	627	315	-	-	146	121	-	45	572	299	-	-	139	114	-	20
2012	마포구	아현동	498	165	-	39	183	71	-	40	442	153	-	38	159	62	-	30
2012	양천구	소계	13,065	2,890	-	282	6,261	3,439	16	177	11,864	2,731	-	241	5,558	3,184	16	134
2012	양천구	목1동	444	134	-	40	108	117	-	45	415	129	-	33	105	116	-	32
2012	양천구	목2동	873	198	-	40	412	189	-	34	762	181	-	36	356	156	-	33
2012	양천구	목3동	513	79	-	39	299	96	-	-	449	78	-	36	246	89	-	-
2012	양천구	목4동	705	111	-	-	438	156	-	-	595	108	-	-	348	139	-	-
2012	양천구	신월1동	1,121	144	-	83	739	155	-	-	1,034	135	-	83	664	152	-	-
2012	양천구	신월2동	672	84	-	-	332	256	-	-	596	84	-	-	293	219	-	-
2012	양천구	신월3동	570	79	-	60	314	117	-	-	489	74	-	34	274	107	-	-
2012	양천구	신월4동	936	200	-	-	460	276	-	-	809	198	-	-	382	229	-	-
2012	양천구	신월5동	408	156	-	-	123	113	16	-	366	154	-	-	87	109	16	-
2012	양천구	신월6동	492	79	-	-	342	71	-	-	415	56	-	-	293	66	-	-
2012	양천구	신월7동	963	104	-	-	711	148	-	-	841	101	-	-	612	128	-	-
2012	양천구	신정1동	382	141	-	-	119	122	-	-	367	141	-	-	116	110	-	-
2012	양천구	신정2동	326	79	-	-	121	126	-	-	309	78	-	-	121	110	-	-
2012	양천구	신정3동	1,790	406	-	-	611	773	-	-	1,708	369	-	-	581	758	-	-
2012	양천구	신정6동	465	-	-	-	206	161	-	98	408	-	-	-	186	153	-	69
2012	양천구	신정7동	706	381	-	-	74	251	-	-	663	359	-	-	69	235	-	-
2012	양천구	목5동	511	173	-	-	167	171	-	-	497	163	-	-	165	169	-	-
2012	양천구	신정4동	1,188	342	-	20	685	141	-	-	1,141	323	-	19	660	139	-	-
2012	강서구	소계	15,445	2,613	344	210	8,376	3,720	34	148	14,285	2,381	338	205	7,714	3,477	31	139
2012	강서구	염창동	971	84	52	-	492	343	-	-	934	69	52	-	470	343	-	-
2012	강서구	등촌1동	408	84	-	-	177	147	-	-	369	75	-	-	158	136	-	-
2012	강서구	등촌2동	421	72	-	-	250	99	-	-	347	64	-	-	223	60	-	-
2012	강서구	등촌3동	1,082	451	-	-	497	134	-	-	959	385	-	-	443	131	-	-
2012	강서구	화곡본동	1,082	79	-	59	724	220	-	-	1,029	79	-	58	685	207	-	-
2012	강서구	화곡2동	750	141	-	60	448	101	-	-	691	116	-	57	428	90	-	-
2012	강서구	화곡3동	759	111	-	-	406	143	-	99	693	98	-	-	369	136	-	90
2012	강서구	화곡4동	855	79	-	-	724	52	-	-	781	78	-	-	672	31	-	-
2012	강서구	화곡6동	764	86	-	-	527	102	-	49	664	81	-	-	447	87	-	49
2012	강서구	화곡8동	902	79	-	40	444	305	34	-	865	79	-	39	423	293	31	-
2012	강서구	가양1동	356	87	-	-	93	176	-	-	335	87	-	-	73	175	-	-
2012	강서구	가양2동	404	246	20	-	96	42	-	-	349	198	20	-	89	42	-	-
2012	강서구	가양3동	371	79	-	-	144	148	-	-	348	73	-	-	141	134	-	-
2012	강서구	발산1동	1,004	49	99	-	530	326	-	-	982	49	99	-	514	320	-	-
2012	강서구	공항동	649	104	173	-	235	137	-	-	576	94	167	-	189	126	-	-
2012	강서구	방화1동	986	122	-	-	589	275	-	-	919	115	-	-	556	248	-	-
2012	강서구	방화2동	565	116	-	51	224	174	-	-	541	114	-	51	204	172	-	-
2012	강서구	방화3동	792	150	-	-	493	149	-	-	717	141	-	-	430	146	-	-
2012	강서구	화곡1동	1,293	163	-	-	911	219	-	-	1,206	156	-	-	849	201	-	-
2012	강서구	우장산동	1,031	231	-	-	372	428	-	-	980	230	-	-	351	399	-	-
2012	구로구	소계	13,166	2,514	311	524	6,063	3,337	97	320	12,599	2,423	304	478	5,807	3,233	97	257
2012	구로구	신도림동	880	98	-	-	404	378	-	-	865	98	-	-	392	375	-	-
2012	구로구	구로1동	753	164	-	-	129	388	-	72	728	164	-	-	129	381	-	54
2012	구로구	구로3동	716	175	-	153	95	293	-	-	671	172	-	149	93	257	-	-
2012	구로구	구로4동	783	237	-	-	222	324	-	-	764	223	-	-	219	322	-	-
2012	구로구	구로5동	1,095	140	-	138	644	173	-	-	1,064	134	-	129	629	172	-	-
2012	구로구	고척1동	815	84	146	-	443	142	-	-	791	83	146	-	422	140	-	-
2012	구로구	고척2동	1,035	79	86	60	668	142	-	-	986	78	79	41	652	136	-	-
2012	구로구	개봉2동	1,027	96	-	-	530	401	-	-	998	95	-	-	503	400	-	-
2012	구로구	개봉3동	837	141	-	74	484	138	-	-	807	130	-	74	473	130	-	-
2012	구로구	오류1동	576	79	-	-	291	74	19	113	540	77	-	-	268	73	19	103
2012	구로구	오류2동	1,500	585	-	-	380	462	19	54	1,414	565	-	-	347	445	19	38
2012	구로구	수궁동	770	195	-	-	433	83	59	-	753	191	-	-	420	83	59	-
2012	구로구	가리봉동	375	126	-	78	151	20	-	-	338	119	-	66	138	15	-	-
2012	구로구	구로2동	1,014	217	-	-	602	114	-	81	939	201	-	-	567	109	-	62
2012	구로구	개봉1동	990	98	79	21	587	205	-	-	941	93	79	19	555	195	-	-
2012	금천구	소계	8,546	1,114	223	1,098	4,325	1,638	-	148	7,724	1,035	220	951	3,903	1,510	-	105
2012	금천구	가산동	717	125	-	263	212	57	-	60	595	107	-	246	167	48	-	27
2012	금천구	독산1동	672	121	-	99	74	329	-	49	631	118	-	86	73	314	-	40
2012	금천구	독산2동	1,137	79	-	60	815	183	-	-	1,047	76	-	52	754	165	-	-
2012	금천구	독산3동	981	173	-	72	646	90	-	-	899	159	-	66	590	84	-	-
2012	금천구	독산4동	721	77	-	-	569	75	-	-	617	74	-	-	503	40	-	-
