기간	자치구	동	사업체수	종사자수	평균종사자	사업체 창업률
2012	서대문구	남가좌1동	644	1,179	1.83	3.1
2012	서대문구	남가좌2동	1,489	4,110	2.76	12.2
2012	서대문구	북가좌1동	461	3,218	6.98	11.7
2012	서대문구	북가좌2동	2,225	6,278	2.82	8
2012	서대문구	충현동	1,613	20,424	12.66	14.1
2012	서대문구	북아현동	674	1,795	2.66	9.9
2012	서대문구	신촌동	3,732	30,867	8.27	19.3
2012	서대문구	연희동	2,022	9,556	4.73	11.8
2012	마포구	소계	32,053	212,720	6.64	15.3
2012	마포구	용강동	2,398	15,858	6.61	13
2012	마포구	대흥동	1,563	16,141	10.33	12.5
2012	마포구	염리동	759	4,257	5.61	8.7
2012	마포구	신수동	1,397	5,375	3.85	10.2
2012	마포구	서교동	8,003	51,978	6.49	20.5
2012	마포구	합정동	1,812	8,490	4.69	16.4
2012	마포구	망원1동	1,362	3,790	2.78	15.6
2012	마포구	망원2동	1,224	3,572	2.92	13.8
2012	마포구	연남동	1,150	4,543	3.95	13.7
2012	마포구	성산1동	1,579	8,483	5.37	16.5
2012	마포구	성산2동	1,660	8,608	5.19	11.9
2012	마포구	상암동	1,639	27,067	16.51	17.6
2012	마포구	도화동	1,879	14,457	7.69	13.6
2012	마포구	서강동	1,351	10,411	7.71	17.6
2012	마포구	공덕동	2,536	17,164	6.77	11.3
2012	마포구	아현동	1,741	12,526	7.19	11.2
2012	양천구	소계	25,750	108,802	4.23	13
2012	양천구	목1동	2,543	21,035	8.27	17.4
2012	양천구	목2동	1,174	3,613	3.08	14.8
2012	양천구	목3동	1,241	3,535	2.85	16
2012	양천구	목4동	1,365	3,931	2.88	14.9
2012	양천구	신월1동	1,815	5,352	2.95	12.2
2012	양천구	신월2동	1,104	3,669	3.32	8.5
2012	양천구	신월3동	986	3,917	3.97	11.7
2012	양천구	신월4동	1,130	3,645	3.23	11.5
2012	양천구	신월5동	1,005	3,585	3.57	10
2012	양천구	신월6동	1,591	3,322	2.09	2.6
2012	양천구	신월7동	1,400	5,793	4.14	12.1
2012	양천구	신정1동	1,131	4,600	4.07	13.7
2012	양천구	신정2동	1,121	3,727	3.32	13.6
2012	양천구	신정3동	1,954	7,788	3.99	9.7
2012	양천구	신정6동	693	5,128	7.4	18.2
2012	양천구	신정7동	1,010	4,457	4.41	13.6
2012	양천구	목5동	1,452	8,977	6.18	16.6
2012	양천구	신정4동	3,035	12,728	4.19	14.9
2012	강서구	소계	31,596	168,783	5.34	13.1
2012	강서구	염창동	2,156	15,540	7.21	11.2
2012	강서구	등촌1동	1,679	9,851	5.87	15.1
2012	강서구	등촌2동	734	3,051	4.16	13.1
2012	강서구	등촌3동	2,225	17,135	7.7	12.1
2012	강서구	화곡본동	1,377	3,881	2.82	14.7
2012	강서구	화곡2동	863	2,388	2.77	13.6
2012	강서구	화곡3동	1,196	4,492	3.76	15.6
2012	강서구	화곡4동	1,471	3,891	2.65	15.9
2012	강서구	화곡6동	1,773	10,913	6.16	18.2
2012	강서구	화곡8동	1,216	3,127	2.57	14.2
2012	강서구	가양1동	1,037	6,086	5.87	10.1
2012	강서구	가양2동	629	2,961	4.71	14.6
2012	강서구	가양3동	777	6,091	7.84	9.8
2012	강서구	발산1동	2,114	10,463	4.95	11.6
2012	강서구	공항동	1,835	31,699	17.27	14.4
2012	강서구	방화1동	1,927	6,850	3.55	13.2
2012	강서구	방화2동	3,106	12,130	3.91	7.8
2012	강서구	방화3동	844	3,904	4.63	9.2
2012	강서구	화곡1동	3,016	8,280	2.75	14.1
2012	강서구	우장산동	1,621	6,050	3.73	16
2012	구로구	소계	35,523	190,692	5.37	11.6
2012	구로구	신도림동	2,490	13,980	5.61	11.8
2012	구로구	구로1동	715	2,744	3.84	9.5
2012	구로구	구로3동	5,592	74,353	13.3	16.2
2012	구로구	구로4동	1,951	4,957	2.54	14.5
2012	구로구	구로5동	4,555	26,098	5.73	11.2
2012	구로구	고척1동	2,476	8,230	3.32	8.8
2012	구로구	고척2동	1,456	3,888	2.67	11.3
2012	구로구	개봉2동	1,168	2,601	2.23	10.3
2012	구로구	개봉3동	1,046	2,610	2.5	12.5
2012	구로구	오류1동	1,122	4,540	4.05	12.9
2012	구로구	오류2동	1,371	6,233	4.55	14.7
2012	구로구	수궁동	1,129	5,826	5.16	9.1
2012	구로구	가리봉동	1,016	2,669	2.63	12.6
2012	구로구	구로2동	7,722	26,613	3.45	8.4
2012	구로구	개봉1동	1,714	5,350	3.12	11.4
2012	금천구	소계	27,651	198,565	7.18	12.6
2012	금천구	가산동	10,942	132,931	12.15	14
2012	금천구	독산1동	3,280	20,363	6.21	13
2012	금천구	독산2동	1,245	3,454	2.77	14.9
2012	금천구	독산3동	2,233	8,752	3.92	12.6
2012	금천구	독산4동	1,047	3,406	3.25	12
2012	금천구	시흥1동	3,087	13,306	4.31	13.3
2012	금천구	시흥2동	534	1,565	2.93	10.7
2012	금천구	시흥3동	3,169	9,283	2.93	5.7
2012	금천구	시흥4동	908	2,019	2.22	12
2012	금천구	시흥5동	1,206	3,486	2.89	13.9
2012	영등포구	소계	42,157	335,678	7.96	11.9
2012	영등포구	여의동	7,544	144,894	19.21	15.4
2012	영등포구	당산1동	3,146	18,431	5.86	12.8
2012	영등포구	당산2동	2,152	16,306	7.58	14
2012	영등포구	양평1동	3,293	22,350	6.79	6.5
2012	영등포구	양평2동	1,896	18,182	9.59	13.2
2012	영등포구	신길1동	1,222	4,110	3.36	10.9
2012	영등포구	신길3동	1,049	2,560	2.44	9.6
2012	영등포구	신길4동	610	1,928	3.16	10.2
2012	영등포구	신길5동	665	2,300	3.46	8.9
2012	영등포구	신길6동	1,191	3,592	3.02	10.9
2012	영등포구	신길7동	631	3,306	5.24	13.6
2012	영등포구	대림1동	1,214	5,240	4.32	12.4
2012	영등포구	대림2동	1,358	4,965	3.66	16.6
2012	영등포구	대림3동	2,899	9,554	3.3	11.2
2012	영등포구	영등포본동	1,137	4,122	3.63	16.3
2012	영등포구	영등포동	6,215	34,074	5.48	11.8
2012	영등포구	도림동	979	2,812	2.87	9.5
2012	영등포구	문래동	4,956	36,952	7.46	8.1
2012	동작구	소계	20,022	99,628	4.98	12.5
2012	동작구	노량진2동	1,060	5,119	4.83	13.9
2012	동작구	상도1동	1,670	6,517	3.9	14.3
2012	동작구	상도2동	1,281	4,346	3.39	12.3
2012	동작구	상도3동	992	2,748	2.77	12.8
2012	동작구	상도4동	1,021	2,694	2.64	10.1
2012	동작구	사당1동	1,808	8,482	4.69	13.8
2012	동작구	사당3동	1,011	4,444	4.4	9.4
2012	동작구	사당4동	698	1,672	2.4	11.3
2012	동작구	사당5동	494	1,521	3.08	9.9
2012	동작구	대방동	1,653	12,649	7.65	11.3
2012	동작구	신대방1동	1,018	3,975	3.9	16.6
2012	동작구	신대방2동	1,263	19,901	15.76	12.4
2012	동작구	흑석동	1,619	9,261	5.72	14.7
2012	동작구	노량진1동	2,881	10,811	3.75	9.6
2012	동작구	사당2동	1,553	5,488	3.53	15.1
2012	관악구	소계	26,294	109,069	4.15	14.7
2012	관악구	보라매동	1,280	4,477	3.5	15.5
2012	관악구	청림동	393	998	2.54	13.5
2012	관악구	행운동	1,435	4,895	3.41	15.7
2012	관악구	낙성대동	1,242	8,242	6.64	15.1
2012	관악구	중앙동	1,443	4,363	3.02	10.9
2012	관악구	인헌동	1,123	4,316	3.84	12.7
2012	관악구	남현동	795	5,538	6.97	14.5
2012	관악구	서원동	1,267	7,033	5.55	19.1
2012	관악구	신원동	887	2,385	2.69	14
2012	관악구	서림동	844	2,654	3.14	14.1
2012	관악구	신사동	1,498	4,940	3.3	17.6
2012	관악구	신림동	1,752	6,754	3.86	20.8
2012	관악구	난향동	379	1,642	4.33	11.3
2012	관악구	조원동	2,176	6,979	3.21	12.9
2012	관악구	대학동	1,596	10,394	6.51	18.9
2012	관악구	은천동	1,633	7,599	4.65	13.5
2012	관악구	성현동	857	2,495	2.91	11.7
2012	관악구	청룡동	1,986	11,677	5.88	15.7
2012	관악구	난곡동	936	2,327	2.49	10.9
2012	관악구	삼성동	1,160	2,600	2.24	9.4
2012	관악구	미성동	1,612	6,761	4.19	12
2012	서초구	소계	42,602	376,962	8.85	14
2012	서초구	서초1동	3,138	28,304	9.02	13.6
2012	서초구	서초2동	4,131	46,119	11.16	15.8
2012	서초구	서초3동	6,695	63,373	9.47	12.3
2012	서초구	서초4동	2,658	26,148	9.84	17.5
2012	서초구	잠원동	2,231	15,673	7.03	14.2
2012	서초구	반포본동	644	2,296	3.57	13.2
2012	서초구	반포1동	1,524	9,872	6.48	20.8
2012	서초구	반포2동	405	1,990	4.91	13.3
2012	서초구	반포3동	882	5,766	6.54	12.5
2012	서초구	반포4동	3,325	28,714	8.64	15
2012	서초구	방배본동	1,585	11,363	7.17	15
2012	서초구	방배1동	1,602	14,976	9.35	14
2012	서초구	방배2동	1,880	16,233	8.63	11.2
2012	서초구	방배3동	1,124	10,357	9.21	11.4
2012	서초구	방배4동	2,315	15,252	6.59	14.7
2012	서초구	양재1동	3,070	30,622	9.97	12.7
2012	서초구	양재2동	4,942	45,417	9.19	13.1
2012	서초구	내곡동	451	4,487	9.95	6.4
2012	강남구	소계	62,448	611,206	9.79	15.9
2012	강남구	신사동	4,423	26,400	5.97	18.5
2012	강남구	논현1동	5,049	37,939	7.51	16.3
2012	강남구	논현2동	5,086	53,983	10.61	14.8
2012	강남구	삼성1동	3,657	57,706	15.78	13.2
2012	강남구	삼성2동	3,054	30,856	10.1	16.9
2012	강남구	대치1동	1,040	6,289	6.05	16.5
2012	강남구	대치4동	3,272	31,940	9.76	18.7
2012	강남구	역삼1동	11,473	133,384	11.63	18.3
2012	강남구	역삼2동	2,799	37,603	13.43	17.3
2012	강남구	도곡1동	1,426	13,664	9.58	14.8
2012	강남구	도곡2동	1,698	16,951	9.98	12.5
2012	강남구	개포1동	448	1,291	2.88	8.5
2012	강남구	개포4동	3,307	13,458	4.07	9.4
2012	강남구	일원본동	481	8,005	16.64	9.8
2012	강남구	일원1동	868	4,248	4.89	12.3
2012	강남구	일원2동	573	5,505	9.61	12.2
2012	강남구	수서동	1,492	14,416	9.66	12.4
2012	강남구	세곡동	400	1,881	4.7	15.3
2012	강남구	압구정동	3,983	26,298	6.6	18.3
2012	강남구	청담동	3,672	37,003	10.08	17.1
2012	강남구	대치2동	3,200	48,576	15.18	13.7
2012	강남구	개포2동	1,047	3,810	3.64	13.9
2012	송파구	소계	43,771	257,200	5.88	13.7
2012	송파구	풍납1동	813	2,320	2.85	11.6
2012	송파구	풍납2동	1,210	14,637	12.1	11.6
2012	송파구	거여1동	788	2,665	3.38	12.7
2012	송파구	거여2동	1,243	4,283	3.45	10.7
2012	송파구	마천1동	923	2,106	2.28	8.8
2012	송파구	마천2동	1,365	4,128	3.02	10.5
2012	송파구	방이1동	1,290	8,988	6.97	15.7
2012	송파구	방이2동	2,849	21,109	7.41	16.5
2012	송파구	오륜동	521	4,111	7.89	7.3
2012	송파구	오금동	3,211	15,708	4.89	10.9
2012	송파구	송파1동	2,467	11,042	4.48	11.8
2012	송파구	송파2동	893	4,614	5.17	13.7
2012	송파구	석촌동	2,801	14,862	5.31	14.4
2012	송파구	삼전동	2,035	10,220	5.02	15.5
2012	송파구	가락본동	3,451	29,940	8.68	17
2012	송파구	가락1동	3,432	10,371	3.02	4
2012	송파구	가락2동	1,871	9,247	4.94	14
2012	송파구	문정1동	1,425	7,913	5.55	13.3
2012	송파구	문정2동	2,044	10,279	5.03	22.7
2012	송파구	장지동	1,465	10,267	7.01	13.9
2012	송파구	잠실본동	3,150	17,312	5.5	17.1
2012	송파구	잠실4동	473	1,890	4	14.8
2012	송파구	잠실6동	1,971	26,355	13.37	10.9
2012	송파구	잠실7동	200	970	4.85	14.5
2012	송파구	잠실2동	713	3,534	4.96	27.1
2012	송파구	잠실3동	1,167	8,329	7.14	18.2
2012	강동구	소계	29,694	129,430	4.36	13.8
2012	강동구	강일동	603	10,962	18.18	18.1
2012	강동구	상일동	1,237	5,238	4.23	11.3
2012	강동구	명일1동	1,650	4,937	2.99	14.4
2012	강동구	명일2동	1,265	4,869	3.85	17
2012	강동구	고덕1동	577	1,878	3.25	8
2012	강동구	고덕2동	1,927	3,795	1.97	3.3
2012	강동구	암사2동	784	3,170	4.04	12
2012	강동구	암사3동	575	2,019	3.51	7.8
2012	강동구	천호1동	1,555	5,296	3.41	13.4
2012	강동구	천호3동	1,862	6,456	3.47	14.7
2012	강동구	성내1동	2,137	14,744	6.9	13.7
2012	강동구	성내2동	1,954	7,849	4.02	17
2012	강동구	성내3동	2,372	10,355	4.37	14.1
2012	강동구	둔촌1동	402	1,390	3.46	9.7
2012	강동구	둔촌2동	1,575	9,051	5.75	13.8
2012	강동구	암사1동	1,947	4,984	2.56	15.4
2012	강동구	천호2동	3,404	13,651	4.01	16.2
2012	강동구	길동	3,868	18,786	4.86	15.3
