자치구,읍면동명,사업체수
강북구,우이동,1029
강북구,인수동,1557
도봉구,쌍문1동,890
도봉구,쌍문2동,1242
도봉구,쌍문3동,971
도봉구,쌍문4동,616
도봉구,방학1동,2266
도봉구,방학2동,1207
도봉구,방학3동,872
도봉구,창1동,1413
도봉구,창2동,1356
도봉구,창3동,929
도봉구,창4동,1277
도봉구,창5동,2133
도봉구,도봉1동,1714
도봉구,도봉2동,1465
노원구,월계1동,1488
노원구,월계2동,944
노원구,월계3동,963
노원구,공릉2동,1834
노원구,하계1동,1103
노원구,하계2동,395
노원구,중계본동,1198
노원구,중계1동,1000
노원구,중계4동,1049
노원구,상계1동,3114
노원구,상계2동,2614
노원구,상계5동,1605
노원구,상계8동,595
노원구,상계9동,713
노원구,상계10동,455
노원구,상계3.4동,1278
노원구,상계6.7동,1958
노원구,중계2.3동,1361
노원구,공릉1동,2849
은평구,녹번동,1895
은평구,불광1동,1677
은평구,갈현1동,1457
은평구,갈현2동,1596
은평구,구산동,1205
은평구,대조동,2530
은평구,응암1동,1600
은평구,응암2동,654
은평구,신사1동,1290
은평구,신사2동,1691
은평구,증산동,1017
은평구,수색동,625
은평구,진관동,1648
은평구,불광2동,1321
은평구,응암3동,1844
은평구,역촌동,2511
서대문구,천연동,941
서대문구,홍제1동,1163
서대문구,홍제3동,1201
서대문구,홍제2동,594
서대문구,홍은1동,964
서대문구,홍은2동,1176
서대문구,남가좌1동,797
서대문구,남가좌2동,1243
서대문구,북가좌1동,665
서대문구,북가좌2동,2381
서대문구,충현동,1825
서대문구,북아현동,864
서대문구,신촌동,3720
서대문구,연희동,2318
마포구,용강동,2550
마포구,대흥동,1547
마포구,염리동,699
마포구,신수동,1230
마포구,서교동,9686
마포구,합정동,2044
마포구,망원1동,1802
마포구,망원2동,1360
마포구,연남동,1611
마포구,성산1동,1488
마포구,성산2동,1747
마포구,상암동,2324
마포구,도화동,2047
마포구,서강동,1779
마포구,공덕동,2781
마포구,아현동,1630
양천구,목1동,2943
양천구,목2동,1145
양천구,목3동,1233
양천구,목4동,1352
양천구,신월1동,1853
양천구,신월2동,1223
양천구,신월3동,955
양천구,신월4동,1174
양천구,신월5동,1013
양천구,신월6동,1387
양천구,신월7동,1384
양천구,신정1동,1148
양천구,신정2동,1110
양천구,신정3동,1795
양천구,신정6동,758
양천구,신정7동,1024
양천구,목5동,1537
양천구,신정4동,3043
강서구,염창동,2126
강서구,등촌1동,1892
강서구,등촌2동,737
강서구,등촌3동,2657
강서구,화곡본동,1356
강서구,화곡2동,848
강서구,화곡3동,1212
강서구,화곡4동,1482
강서구,화곡6동,1846
강서구,화곡8동,1259
강서구,가양1동,3512
강서구,가양2동,595
강서구,가양3동,907
강서구,발산1동,2340
강서구,공항동,2096
강서구,방화1동,2677
강서구,방화2동,3318
강서구,방화3동,908
강서구,화곡1동,3104
강서구,우장산동,1684
구로구,신도림동,2864
구로구,구로1동,736
구로구,구로3동,7227
구로구,구로4동,2042
구로구,구로5동,4907
구로구,고척1동,2590
구로구,고척2동,1407
구로구,개봉2동,1170
구로구,개봉3동,990
구로구,오류1동,1125
구로구,오류2동,1575
구로구,수궁동,1266
구로구,가리봉동,986
구로구,구로2동,7816
구로구,개봉1동,1704
금천구,가산동,14339
금천구,독산1동,4085
금천구,독산2동,1194
금천구,독산3동,2174
금천구,독산4동,1018
금천구,시흥1동,3023
금천구,시흥2동,577
금천구,시흥3동,3325
금천구,시흥4동,855
금천구,시흥5동,1160
영등포구,여의동,8082
영등포구,당산1동,3153
영등포구,당산2동,2245
영등포구,양평1동,3114
영등포구,양평2동,2102
영등포구,신길1동,1157
영등포구,신길3동,1555
영등포구,신길4동,484
영등포구,신길5동,604
영등포구,신길6동,1282
영등포구,신길7동,594
영등포구,대림1동,1094
영등포구,대림2동,1415
영등포구,대림3동,2140
영등포구,영등포본동,1482
영등포구,영등포동,6320
영등포구,도림동,1052
영등포구,문래동,5288
동작구,노량진2동,1634
동작구,상도1동,1697
동작구,상도2동,1344
동작구,상도3동,1017
동작구,상도4동,934
동작구,사당1동,1856
동작구,사당3동,959
동작구,사당4동,664
동작구,사당5동,508
동작구,대방동,1734
동작구,신대방1동,1052
동작구,신대방2동,1238
동작구,흑석동,1514
동작구,노량진1동,2148
동작구,사당2동,1667
관악구,보라매동,1407
관악구,청림동,446
관악구,행운동,1480
관악구,낙성대동,1323
관악구,중앙동,1028
관악구,인헌동,1025
관악구,남현동,846
관악구,서원동,1312
관악구,신원동,847
관악구,서림동,1311
관악구,신사동,1384
관악구,신림동,1659
관악구,난향동,426
관악구,조원동,2215
관악구,대학동,1669
관악구,은천동,1640
관악구,성현동,877
관악구,청룡동,1856
관악구,난곡동,973
관악구,삼성동,1052
관악구,미성동,1598
서초구,서초1동,3612
서초구,서초2동,4356
서초구,서초3동,7525
서초구,서초4동,2869
서초구,잠원동,2137
서초구,반포본동,682
서초구,반포1동,1508
서초구,반포2동,455
서초구,반포3동,969
서초구,반포4동,3586
서초구,방배본동,1583
서초구,방배1동,1805
서초구,방배2동,1977
서초구,방배3동,1196
서초구,방배4동,2396
서초구,양재1동,3599
서초구,양재2동,5271
서초구,내곡동,681
강남구,신사동,4365
강남구,논현1동,5578
강남구,논현2동,5542
강남구,삼성1동,4169
강남구,삼성2동,3740
강남구,대치1동,1133
강남구,대치4동,3699
강남구,역삼1동,15590
강남구,역삼2동,3480
강남구,도곡1동,1688
강남구,도곡2동,1858
강남구,개포1동,467
강남구,개포4동,2182
강남구,일원본동,448
강남구,일원1동,2162
강남구,일원2동,646
강남구,수서동,1527
강남구,세곡동,1025
강남구,압구정동,4131
강남구,청담동,4432
강남구,대치2동,3965
강남구,개포2동,684
송파구,풍납1동,752
송파구,풍납2동,1168
송파구,거여1동,839
송파구,거여2동,905
송파구,마천1동,960
송파구,마천2동,1352
송파구,방이1동,1382
송파구,방이2동,2940
송파구,오륜동,522
송파구,오금동,2378
송파구,송파1동,2535
송파구,송파2동,893
송파구,석촌동,2570
송파구,삼전동,2080
송파구,가락본동,3587
송파구,가락1동,2800
송파구,가락2동,1869
송파구,문정1동,1370
송파구,문정2동,5153
송파구,장지동,1388
송파구,위례동,533
송파구,잠실본동,3037
송파구,잠실4동,495
송파구,잠실6동,2620
송파구,잠실7동,202
송파구,잠실2동,757
송파구,잠실3동,1589
강동구,강일동,955
강동구,상일동,976
강동구,명일1동,1665
강동구,명일2동,1134
강동구,고덕1동,714
강동구,고덕2동,1666
강동구,암사2동,864
강동구,암사3동,614
강동구,천호1동,1575
강동구,천호3동,1859
강동구,성내1동,2102
강동구,성내2동,1952
강동구,성내3동,2427
강동구,둔촌1동,102
강동구,둔촌2동,1627
강동구,암사1동,1936
강동구,천호2동,3730
강동구,길동,4054
