기간	자치구	동	합계	합계	합계	시장	시장	시장	시장	시장	시장	시장	시장	시장
2017	도봉구	소계	5	353	40,483	1	25	1,810	4	328	38,673	-	-	-
2017	도봉구	쌍문3동	1	103	4,886	-	-	-	1	103	4,886	-	-	-
2017	도봉구	방학2동	1	91	15,243	-	-	-	1	91	15,243	-	-	-
2017	도봉구	창2동	1	76	11,219	-	-	-	1	76	11,219	-	-	-
2017	도봉구	창3동	1	58	7,325	-	-	-	1	58	7,325	-	-	-
2017	도봉구	도봉1동	1	25	1,810	1	25	1,810	-	-	-	-	-	-
2017	노원구	소계	3	158	42,574	1	2	4,992	2	156	37,582	-	-	-
2017	노원구	상계5동	1	66	21,913	-	-	-	1	66	21,913	-	-	-
2017	노원구	상계3.4동	1	2	4,992	1	2	4,992	-	-	-	-	-	-
2017	노원구	공릉1동	1	90	15,669	-	-	-	1	90	15,669	-	-	-
2017	은평구	소계	14	829	47,081	9	343	19,957	3	190	8,130	2	296	18,994
2017	은평구	갈현1동	2	205	18,152	1	-	1,758	-	-	-	1	205	16,394
2017	은평구	갈현2동	1	46	4,912	1	46	4,912	-	-	-	-	-	-
2017	은평구	대조동	2	115	5,693	1	38	2,293	1	77	3,400	-	-	-
2017	은평구	응암2동	2	60	3,388	1	10	1,688	1	50	1,700	-	-	-
2017	은평구	증산동	1	93	2,171	1	93	2,171	-	-	-	-	-	-
2017	은평구	수색동	1	-	1,074	1	-	1,074	-	-	-	-	-	-
2017	은평구	불광2동	1	93	1,594	1	93	1,594	-	-	-	-	-	-
2017	은평구	응암3동	4	217	10,097	2	63	4,467	1	63	3,030	1	91	2,600
2017	서대문구	소계	11	807	58,174	6	394	25,128	2	134	9,795	3	279	23,251
2017	서대문구	천연동	1	71	2,485	-	-	-	1	71	2,485	-	-	-
2017	서대문구	홍제3동	1	139	4,321	1	139	4,321	-	-	-	-	-	-
2017	서대문구	홍은1동	2	164	13,916	1	101	6,606	1	63	7,310	-	-	-
2017	서대문구	남가좌1동	1	34	1,361	1	34	1,361	-	-	-	-	-	-
2017	서대문구	남가좌2동	2	86	9,121	2	86	9,121	-	-	-	-	-	-
2017	서대문구	북아현동	1	66	9,175	-	-	-	-	-	-	1	66	9,175
2017	서대문구	신촌동	2	213	14,076	-	-	-	-	-	-	2	213	14,076
2017	서대문구	연희동	1	34	3,719	1	34	3,719	-	-	-	-	-	-
2017	마포구	소계	15	1,368	105,191	8	363	44,125	3	296	35,481	4	709	25,585
2017	마포구	용강동	1	274	9,242	-	-	-	-	-	-	1	274	9,242
2017	마포구	신수동	1	3	1,092	1	3	1,092	-	-	-	-	-	-
2017	마포구	서교동	3	217	21,536	2	67	16,401	-	-	-	1	150	5,135
2017	마포구	합정동	1	11	5,433	1	11	5,433	-	-	-	-	-	-
2017	마포구	망원1동	1	79	11,159	-	-	-	1	79	11,159	-	-	-
2017	마포구	망원2동	1	49	5,473	-	-	-	1	49	5,473	-	-	-
2017	마포구	연남동	1	17	492	1	17	492	-	-	-	-	-	-
2017	마포구	성산2동	1	144	17,319	1	144	17,319	-	-	-	-	-	-
2017	마포구	상암동	1	139	5,558	-	-	-	-	-	-	1	139	5,558
2017	마포구	도화동	1	146	5,650	-	-	-	-	-	-	1	146	5,650
2017	마포구	공덕동	2	121	3,388	2	121	3,388	-	-	-	-	-	-
2017	마포구	아현동	1	168	18,849	-	-	-	1	168	18,849	-	-	-
2017	양천구	소계	9	567	26,691	3	45	7,525	6	522	19,166	-	-	-
2017	양천구	목2동	1	87	3,020	-	-	-	1	87	3,020	-	-	-
2017	양천구	목3동	1	96	5,106	-	-	-	1	96	5,106	-	-	-
2017	양천구	목4동	1	82	1,970	-	-	-	1	82	1,970	-	-	-
2017	양천구	신월1동	2	206	6,750	-	-	-	2	206	6,750	-	-	-
2017	양천구	신월2동	1	51	2,320	-	-	-	1	51	2,320	-	-	-
2017	양천구	신월6동	1	10	1,150	1	10	1,150	-	-	-	-	-	-
2017	양천구	신월7동	1	19	5,035	1	19	5,035	-	-	-	-	-	-
2017	양천구	신정1동	1	16	1,340	1	16	1,340	-	-	-	-	-	-
2017	강서구	소계	12	666	111,207	6	87	14,769	5	530	70,119	1	49	26,319
2017	강서구	등촌1동	1	10	2,325	1	10	2,325	-	-	-	-	-	-
2017	강서구	등촌3동	1	18	1,943	1	18	1,943	-	-	-	-	-	-
2017	강서구	화곡본동	1	50	5,805	-	-	-	1	50	5,805	-	-	-
2017	강서구	화곡3동	1	32	2,739	1	32	2,739	-	-	-	-	-	-
2017	강서구	화곡4동	2	181	24,017	1	20	2,241	1	161	21,776	-	-	-
2017	강서구	화곡8동	1	138	26,139	-	-	-	1	138	26,139	-	-	-
2017	강서구	발산1동	1	49	26,319	-	-	-	-	-	-	1	49	26,319
2017	강서구	방화1동	1	123	6,963	-	-	-	1	123	6,963	-	-	-
2017	강서구	방화2동	1	7	3,582	1	7	3,582	-	-	-	-	-	-
2017	강서구	화곡1동	2	58	11,375	1	-	1,939	1	58	9,436	-	-	-
2017	구로구	소계	8	562	70,863	5	257	35,491	3	305	35,372	-	-	-
2017	구로구	구로4동	1	159	8,307	1	159	8,307	-	-	-	-	-	-
2017	구로구	고척1동	1	13	11,965	1	13	11,965	-	-	-	-	-	-
2017	구로구	고척2동	2	111	12,520	1	50	9,974	1	61	2,546	-	-	-
2017	구로구	개봉2동	1	18	1,515	1	18	1,515	-	-	-	-	-	-
2017	구로구	오류1동	1	17	3,730	1	17	3,730	-	-	-	-	-	-
2017	구로구	가리봉동	1	70	8,859	-	-	-	1	70	8,859	-	-	-
2017	구로구	구로2동	1	174	23,967	-	-	-	1	174	23,967	-	-	-
2017	금천구	소계	9	994	95,120	3	45	11,791	3	410	38,442	3	539	44,887
2017	금천구	독산1동	1	189	3,937	-	-	-	-	-	-	1	189	3,937
2017	금천구	독산2동	1	126	18,021	-	-	-	-	-	-	1	126	18,021
2017	금천구	독산3동	2	116	20,052	1	-	6,973	1	116	13,079	-	-	-
2017	금천구	시흥1동	3	496	49,048	1	42	2,521	1	230	23,598	1	224	22,929
2017	금천구	시흥3동	1	3	2,297	1	3	2,297	-	-	-	-	-	-
2017	금천구	시흥5동	1	64	1,765	-	-	-	1	64	1,765	-	-	-
2017	영등포구	소계	23	3,568	243,996	12	2,171	142,885	1	87	2,974	10	1,310	98,137
2017	영등포구	당산1동	2	1,610	95,375	1	1,450	75,575	-	-	-	1	160	19,800
2017	영등포구	양평1동	2	128	16,337	2	128	16,337	-	-	-	-	-	-
2017	영등포구	신길1동	1	128	12,968	1	128	12,968	-	-	-	-	-	-
2017	영등포구	신길3동	2	41	8,491	2	41	8,491	-	-	-	-	-	-
2017	영등포구	신길4동	1	1	2,472	1	1	2,472	-	-	-	-	-	-
2017	영등포구	대림1동	1	90	2,991	-	-	-	-	-	-	1	90	2,991
2017	영등포구	대림2동	1	87	2,974	-	-	-	1	87	2,974	-	-	-
2017	영등포구	영등포동	11	1,267	96,335	3	207	20,989	-	-	-	8	1,060	75,346
2017	영등포구	도림동	1	2	4,156	1	2	4,156	-	-	-	-	-	-
2017	영등포구	문래동	1	214	1,897	1	214	1,897	-	-	-	-	-	-
2017	동작구	소계	10	711	65,014	4	146	16,723	5	456	44,063	1	109	4,228
2017	동작구	상도1동	2	89	10,093	1	16	2,323	1	73	7,770	-	-	-
2017	동작구	상도2동	1	60	4,290	1	60	4,290	-	-	-	-	-	-
2017	동작구	상도3동	2	140	13,376	1	56	6,267	1	84	7,109	-	-	-
2017	동작구	사당1동	1	109	4,228	-	-	-	-	-	-	1	109	4,228
2017	동작구	사당4동	2	91	12,864	1	14	3,843	1	77	9,021	-	-	-
2017	동작구	노량진1동	1	82	7,163	-	-	-	1	82	7,163	-	-	-
2017	동작구	사당2동	1	140	13,000	-	-	-	1	140	13,000	-	-	-
2017	관악구	소계	16	998	78,860	11	455	34,707	4	343	27,038	1	200	17,115
2017	관악구	중앙동	1	36	3,406	1	36	3,406	-	-	-	-	-	-
2017	관악구	인헌동	2	61	11,810	1	7	2,059	1	54	9,751	-	-	-
2017	관악구	서원동	1	200	17,115	-	-	-	-	-	-	1	200	17,115
2017	관악구	신원동	2	176	5,714	1	57	2,036	1	119	3,678	-	-	-
2017	관악구	신사동	2	125	7,556	1	25	3,778	1	100	3,778	-	-	-
2017	관악구	신림동	1	43	5,053	1	43	5,053	-	-	-	-	-	-
2017	관악구	조원동	2	210	15,998	1	140	6,167	1	70	9,831	-	-	-
2017	관악구	은천동	2	68	5,137	2	68	5,137	-	-	-	-	-	-
2017	관악구	청룡동	1	51	3,521	1	51	3,521	-	-	-	-	-	-
2017	관악구	난곡동	1	11	1,824	1	11	1,824	-	-	-	-	-	-
2017	관악구	삼성동	1	17	1,726	1	17	1,726	-	-	-	-	-	-
2017	서초구	소계	6	773	41,622	2	118	8,500	-	-	-	4	655	33,122
2017	서초구	반포4동	4	655	33,122	-	-	-	-	-	-	4	655	33,122
2017	서초구	방배본동	1	84	5,975	1	84	5,975	-	-	-	-	-	-
2017	서초구	양재1동	1	34	2,525	1	34	2,525	-	-	-	-	-	-
2017	강남구	소계	9	1,499	113,672	4	400	15,911	1	130	39,954	4	969	57,807
2017	강남구	신사동	1	88	4,856	1	88	4,856	-	-	-	-	-	-
2017	강남구	논현1동	1	130	39,954	-	-	-	1	130	39,954	-	-	-
2017	강남구	논현2동	1	80	2,439	1	80	2,439	-	-	-	-	-	-
2017	강남구	역삼1동	1	224	12,099	-	-	-	-	-	-	1	224	12,099
2017	강남구	압구정동	1	60	2,931	1	60	2,931	-	-	-	-	-	-
2017	강남구	청담동	1	172	5,685	1	172	5,685	-	-	-	-	-	-
2017	강남구	대치2동	1	477	28,723	-	-	-	-	-	-	1	477	28,723
2017	강남구	개포2동	2	268	16,985	-	-	-	-	-	-	2	268	16,985
2017	송파구	소계	7	1,128	161,567	1	169	3,871	5	607	111,846	1	352	45,850
2017	송파구	풍납1동	1	162	23,670	-	-	-	1	162	23,670	-	-	-
2017	송파구	마천2동	2	305	18,628	1	169	3,871	1	136	14,757	-	-	-
2017	송파구	방이2동	1	132	35,625	-	-	-	1	132	35,625	-	-	-
2017	송파구	석촌동	1	70	17,833	-	-	-	1	70	17,833	-	-	-
2017	송파구	문정1동	1	352	45,850	-	-	-	-	-	-	1	352	45,850
2017	송파구	잠실본동	1	107	19,961	-	-	-	1	107	19,961	-	-	-
2017	강동구	소계	12	1,174	60,326	3	186	11,435	7	688	39,252	2	300	9,639
2017	강동구	명일1동	1	90	1,862	-	-	-	1	90	1,862	-	-	-
2017	강동구	고덕2동	1	33	9,823	-	-	-	1	33	9,823	-	-	-
2017	강동구	천호3동	3	265	12,256	1	46	4,515	1	89	1,468	1	130	6,273
2017	강동구	성내1동	1	170	3,366	-	-	-	-	-	-	1	170	3,366
2017	강동구	성내2동	1	81	2,700	-	-	-	1	81	2,700	-	-	-
2017	강동구	성내3동	1	123	3,955	-	-	-	1	123	3,955	-	-	-
2017	강동구	암사1동	1	120	17,394	-	-	-	1	120	17,394	-	-	-
2017	강동구	천호2동	2	140	6,920	2	140	6,920	-	-	-	-	-	-
2017	강동구	길동	1	152	2,050	-	-	-	1	152	2,050	-	-	-
