기간	자치구	동	합계	합계	합계	시장	시장	시장	시장	시장	시장	시장	시장	시장
2012	은평구	수색동	1	10	975	1	10	975	-	-	-	-	-	-
2012	은평구	불광2동	1	146	2,934	1	146	2,934	-	-	-	-	-	-
2012	은평구	응암3동	3	219	6,866	2	109	4,566	1	110	2,300	-	-	-
2012	서대문구	소계	7	646	27,613	6	440	25,128	1	206	2,485	-	-	-
2012	서대문구	천연동	1	…	…	-	…	…	1	206	2,485	-	-	-
2012	서대문구	홍제1동	-	…	…	-	…	…	-	-	-	-	-	-
2012	서대문구	홍제3동	2	…	…	2	…	…	-	-	-	-	-	-
2012	서대문구	홍제2동	-	…	…	-	…	…	-	-	-	-	-	-
2012	서대문구	홍은1동	-	…	…	-	…	…	-	-	-	-	-	-
2012	서대문구	홍은2동	-	…	…	-	…	…	-	-	-	-	-	-
2012	서대문구	남가좌1동	2	…	…	2	…	…	-	-	-	-	-	-
2012	서대문구	남가좌2동	1	…	…	1	…	…	-	-	-	-	-	-
2012	서대문구	북가좌1동	-	…	…	-	…	…	-	-	-	-	-	-
2012	서대문구	북가좌2동	-	…	…	-	…	…	-	-	-	-	-	-
2012	서대문구	충현동	-	…	…	-	…	…	-	-	-	-	-	-
2012	서대문구	북아현동	-	…	…	-	…	…	-	-	-	-	-	-
2012	서대문구	신촌동	-	…	…	-	…	…	-	-	-	-	-	-
2012	서대문구	연희동	1	…	…	1	…	…	-	-	-	-	-	-
2012	마포구	소계	14	1,102	85,347	9	394	48,688	2	138	16,632	3	570	20,027
2012	마포구	용강동	1	274	…	-	-	…	-	-	…	1	274	…
2012	마포구	대흥동	-	-	…	-	-	…	-	-	…	-	-	…
2012	마포구	염리동	1	20	…	1	20	…	-	-	…	-	-	…
2012	마포구	신수동	1	6	…	1	6	…	-	-	…	-	-	…
2012	마포구	서교동	3	214	…	2	64	…	-	-	…	1	150	…
2012	마포구	합정동	1	17	…	1	17	…	-	-	…	-	-	…
2012	마포구	망원1동	1	89	…	-	-	…	1	89	…	-	-	…
2012	마포구	망원2동	1	49	…	-	-	…	1	49	…	-	-	…
2012	마포구	연남동	1	22	…	1	22	…	-	-	…	-	-	…
2012	마포구	성산1동	-	-	…	-	-	…	-	-	…	-	-	…
2012	마포구	성산2동	1	144	…	1	144	…	-	-	…	-	-	…
2012	마포구	상암동	-	-	…	-	-	…	-	-	…	-	-	…
2012	마포구	도화동	1	146	…	-	-	…	-	-	…	1	146	…
2012	마포구	서강동	-	-	…	-	-	…	-	-	…	-	-	…
2012	마포구	공덕동	2	121	…	2	121	…	-	-	…	-	-	…
2012	마포구	아현동	-	-	…	-	-	…	-	-	…	-	-	…
2012	양천구	소계	10	633	24,891	4	61	10,074	6	572	14,817	-	-	-
2012	양천구	목1동	-	…	…	-	…	…	-	…	…	-	-	-
2012	양천구	목2동	2	…	…	1	…	…	1	…	…	-	-	-
2012	양천구	목3동	1	…	…	-	…	…	1	…	…	-	-	-
2012	양천구	목4동	1	…	…	-	…	…	1	…	…	-	-	-
2012	양천구	신월1동	2	…	…	-	…	…	2	…	…	-	-	-
2012	양천구	신월2동	1	…	…	-	…	…	1	…	…	-	-	-
2012	양천구	신월3동	-	…	…	-	…	…	-	…	…	-	-	-
2012	양천구	신월4동	-	…	…	-	…	…	-	…	…	-	-	-
2012	양천구	신월5동	-	…	…	-	…	…	-	…	…	-	-	-
2012	양천구	신월6동	1	…	…	1	…	…	-	…	…	-	-	-
2012	양천구	신월7동	1	…	…	1	…	…	-	…	…	-	-	-
2012	양천구	신정1동	1	…	…	1	…	…	-	…	…	-	-	-
2012	양천구	신정2동	-	…	…	-	…	…	-	…	…	-	-	-
2012	양천구	신정3동	-	…	…	-	…	…	-	…	…	-	-	-
2012	양천구	신정6동	-	…	…	-	…	…	-	…	…	-	-	-
2012	양천구	신정7동	-	…	…	-	…	…	-	…	…	-	-	-
2012	양천구	목5동	-	…	…	-	…	…	-	…	…	-	-	-
2012	양천구	신정4동	-	…	…	-	…	…	-	…	…	-	-	-
2012	강서구	소계	11	787	84,961	6	164	14,842	5	623	70,119	-	-	-
2012	강서구	등촌1동	1	10	2,325	1	10	2,325	-	-	-	-	-	-
2012	강서구	화곡본동	1	64	5,805	-	-	-	1	64	5,805	-	-	-
2012	강서구	화곡3동	1	40	2,739	1	40	2,739	-	-	-	-	-	-
2012	강서구	화곡4동	2	199	24,090	1	19	2,314	1	180	21,776	-	-	-
2012	강서구	화곡8동	1	170	26,139	-	-	-	1	170	26,139	-	-	-
2012	강서구	방화1동	1	123	6,963	-	-	-	1	123	6,963	-	-	-
2012	강서구	방화2동	1	58	3,582	1	58	3,582	-	-	-	-	-	-
2012	강서구	화곡1동	3	123	13,318	2	37	3,882	1	86	9,436	-	-	-
2012	구로구	소계	6	854	45,223	5	673	29,894	1	181	15,329	-	-	-
2012	구로구	신도림동	-	…	…	…	…	…	…	…	…	…	…	…
2012	구로구	구로1동	-	…	…	…	…	…	…	…	…	…	…	…
2012	구로구	구로3동	-	…	…	…	…	…	…	…	…	…	…	…
2012	구로구	구로4동	2	…	…	…	…	…	…	…	…	…	…	…
2012	구로구	구로5동	-	…	…	…	…	…	…	…	…	…	…	…
2012	구로구	고척1동	-	…	…	…	…	…	…	…	…	…	…	…
2012	구로구	고척2동	2	…	…	…	…	…	…	…	…	…	…	…
2012	구로구	개봉2동	1	…	…	…	…	…	…	…	…	…	…	…
2012	구로구	개봉3동	-	…	…	…	…	…	…	…	…	…	…	…
2012	구로구	오류1동	1	…	…	…	…	…	…	…	…	…	…	…
2012	구로구	오류2동	-	…	…	…	…	…	…	…	…	…	…	…
2012	구로구	수궁동	-	…	…	…	…	…	…	…	…	…	…	…
2012	구로구	가리봉동	-	…	…	…	…	…	…	…	…	…	…	…
2012	구로구	구로2동	-	…	…	…	…	…	…	…	…	…	…	…
2012	구로구	개봉1동	-	…	…	…	…	…	…	…	…	…	…	…
2012	금천구	소계	8	1,044	77,099	3	179	11,791	3	474	38,442	2	391	26,866
2012	금천구	가산동	-	…	-	-	…	-	-	-	-	-	-	-
2012	금천구	독산1동	1	…	3,937	-	…	-	-	-	-	1	187	3,937
2012	금천구	독산2동	-	…	-	-	…	-	-	-	-	-	-	-
2012	금천구	독산3동	2	…	20,052	1	…	6,973	1	129	13,079	-	-	-
2012	금천구	독산4동	-	…	-	-	…	-	-	-	-	-	-	-
2012	금천구	시흥1동	3	…	49,048	1	…	2,521	1	285	23,598	1	204	22,929
2012	금천구	시흥2동	-	…	-	-	…	-	-	-	-	-	-	-
2012	금천구	시흥3동	1	…	2,297	1	…	2,297	-	-	-	-	-	-
2012	금천구	시흥4동	-	…	-	-	…	-	-	-	-	-	-	-
2012	금천구	시흥5동	1	…	1,765	-	…	-	1	60	1,765	-	-	-
2012	영등포구	소계	26	3,845	275,231	14	1,808	163,383	2	153	7,246	10	1,884	104,602
2012	영등포구	여의동	…	…	…	…	…	…	…	…	…	…	…	…
2012	영등포구	당산1동	…	…	…	…	…	…	…	…	…	…	…	…
2012	영등포구	당산2동	…	…	…	…	…	…	…	…	…	…	…	…
2012	영등포구	양평1동	…	…	…	…	…	…	…	…	…	…	…	…
2012	영등포구	양평2동	…	…	…	…	…	…	…	…	…	…	…	…
2012	영등포구	신길1동	…	…	…	…	…	…	…	…	…	…	…	…
2012	영등포구	신길3동	…	…	…	…	…	…	…	…	…	…	…	…
2012	영등포구	신길4동	…	…	…	…	…	…	…	…	…	…	…	…
2012	영등포구	신길5동	…	…	…	…	…	…	…	…	…	…	…	…
2012	영등포구	신길6동	…	…	…	…	…	…	…	…	…	…	…	…
2012	영등포구	신길7동	…	…	…	…	…	…	…	…	…	…	…	…
2012	영등포구	대림1동	…	…	…	…	…	…	…	…	…	…	…	…
2012	영등포구	대림2동	…	…	…	…	…	…	…	…	…	…	…	…
2012	영등포구	대림3동	…	…	…	…	…	…	…	…	…	…	…	…
2012	영등포구	영등포본동	…	…	…	…	…	…	…	…	…	…	…	…
2012	영등포구	영등포동	…	…	…	…	…	…	…	…	…	…	…	…
2012	영등포구	도림동	…	…	…	…	…	…	…	…	…	…	…	…
2012	영등포구	문래동	…	…	…	…	…	…	…	…	…	…	…	…
2012	동작구	소계	5	242	16,723	4	186	16,723	1	56	-	-	-	-
2012	동작구	상도1동	1	12	2,323	1	12	2,323	-	-	-	-	-	-
2012	동작구	상도2동	1	100	4,290	1	100	4,290	-	-	-	-	-	-
2012	동작구	상도3동	1	59	6,267	1	59	6,267	-	-	-	-	-	-
2012	동작구	사당4동	1	15	3,843	1	15	3,843	-	-	-	-	-	-
2012	동작구	노량진1동	1	56	-	-	-	-	1	56	-	-	-	-
2012	관악구	소계	16	1,013	62,644	11	483	35,606	4	330	27,038	1	200	-
2012	관악구	중앙동	1	44	3,406	1	44	3,406	-	-	-	-	-	-
2012	관악구	인헌동	2	66	12,709	1	7	2,958	1	59	9,751	-	-	-
2012	관악구	서원동	1	200	-	-	-	-	-	-	-	1	200	-
2012	관악구	신원동	2	176	5,714	1	57	2,036	1	119	3,678	-	-	-
2012	관악구	서림동	1	70	5,053	1	70	5,053	-	-	-	-	-	-
2012	관악구	신사동	2	125	7,556	1	25	3,778	1	100	3,778	-	-	-
2012	관악구	조원동	2	164	15,998	1	112	6,167	1	52	9,831	-	-	-
2012	관악구	은천동	2	79	5,137	2	79	5,137	-	-	-	-	-	-
2012	관악구	청룡동	1	50	3,521	1	50	3,521	-	-	-	-	-	-
2012	관악구	난곡동	1	28	1,726	1	28	1,726	-	-	-	-	-	-
2012	관악구	삼성동	1	11	1,824	1	11	1,824	-	-	-	-	-	-
2012	서초구	소계	6	754	41,159	2	56	8,500	-	-	-	4	698	32,659
2012	서초구	서초1동	-	…	…	-	…	-	-	-	-	-	…	…
2012	서초구	서초2동	-	…	…	-	…	-	-	-	-	-	…	…
2012	서초구	서초3동	-	…	…	-	…	-	-	-	-	-	…	…
2012	서초구	서초4동	-	…	…	-	…	-	-	-	-	-	…	…
2012	서초구	잠원동	-	…	…	-	…	-	-	-	-	-	…	…
2012	서초구	반포본동	-	…	…	-	…	-	-	-	-	-	…	…
2012	서초구	반포1동	-	…	…	-	…	-	-	-	-	-	…	…
2012	서초구	반포2동	-	…	…	-	…	-	-	-	-	-	…	…
2012	서초구	반포3동	-	…	…	-	…	-	-	-	-	-	…	…
2012	서초구	반포4동	4	…	…	-	…	-	-	-	-	4	…	…
2012	서초구	방배본동	1	…	…	1	…	5,975	-	-	-	-	…	…
2012	서초구	방배1동	-	…	…	-	…	-	-	-	-	-	…	…
2012	서초구	방배2동	-	…	…	-	…	-	-	-	-	-	…	…
2012	서초구	방배3동	-	…	…	-	…	-	-	-	-	-	…	…
2012	서초구	방배4동	-	…	…	-	…	-	-	-	-	-	…	…
2012	서초구	양재1동	1	…	…	1	…	2,525	-	-	-	-	…	…
2012	서초구	양재2동	-	…	…	-	…	-	-	-	-	-	…	…
2012	서초구	내곡동	-	…	…	-	…	-	-	-	-	-	…	…
2012	강남구	소계	10	1,296	41,022	6	598	14,833	1	150	13,099	3	548	13,090
2012	강남구	신사동	…	…	…	…	…	…	-	-	-	-	…	…
2012	강남구	논현1동	…	…	…	…	…	…	1	150	13,099	-	…	…
2012	강남구	논현2동	…	…	…	…	…	…	-	-	-	-	…	…
2012	강남구	삼성1동	…	…	…	…	…	…	-	-	-	-	…	…
2012	강남구	삼성2동	…	…	…	…	…	…	-	-	-	-	…	…
2012	강남구	대치1동	…	…	…	…	…	…	-	-	-	-	…	…
2012	강남구	대치4동	…	…	…	…	…	…	-	-	-	-	…	…
2012	강남구	역삼1동	…	…	…	…	…	…	-	-	-	1	…	…
2012	강남구	역삼2동	…	…	…	…	…	…	-	-	-	-	…	…
2012	강남구	도곡1동	…	…	…	…	…	…	-	-	-	-	…	…
2012	강남구	도곡2동	…	…	…	…	…	…	-	-	-	-	…	…
2012	강남구	개포1동	…	…	…	…	…	…	-	-	-	-	…	…
2012	강남구	개포4동	…	…	…	…	…	…	-	-	-	-	…	…
2012	강남구	일원본동	…	…	…	…	…	…	-	-	-	-	…	…
2012	강남구	일원1동	…	…	…	…	…	…	-	-	-	1	…	…
2012	강남구	일원2동	…	…	…	…	…	…	-	-	-	-	…	…
2012	강남구	수서동	…	…	…	…	…	…	-	-	-	-	…	…
2012	강남구	세곡동	…	…	…	…	…	…	-	-	-	-	…	…
2012	강남구	압구정동	…	…	…	…	…	…	-	-	-	-	…	…
2012	강남구	청담동	…	…	…	…	…	…	-	-	-	-	…	…
2012	강남구	대치2동	…	…	…	…	…	…	-	-	-	-	…	…
2012	강남구	개포2동	…	…	…	…	…	…	-	-	-	1	…	…
2012	송파구	소계	7	1,319	138,172	1	173	3,871	5	789	111,373	1	357	22,928
2012	송파구	풍납1동	1	…	…	-	-	…	…	…	…	…	…	…
2012	송파구	풍납2동	-	…	…	-	-	…	…	…	…	…	…	…
2012	송파구	거여1동	-	…	…	-	-	…	…	…	…	…	…	…
2012	송파구	거여2동	-	…	…	-	-	…	…	…	…	…	…	…
2012	송파구	마천1동	-	…	…	-	-	…	…	…	…	…	…	…
2012	송파구	마천2동	2	…	…	1	173	…	…	…	…	…	…	…
2012	송파구	방이1동	-	…	…	-	-	…	…	…	…	…	…	…
2012	송파구	방이2동	1	…	…	-	-	…	…	…	…	…	…	…
2012	송파구	오륜동	-	…	…	-	-	…	…	…	…	…	…	…
2012	송파구	오금동	-	…	…	-	-	…	…	…	…	…	…	…
2012	송파구	송파1동	-	…	…	-	-	…	…	…	…	…	…	…
2012	송파구	송파2동	-	…	…	-	-	…	…	…	…	…	…	…
2012	송파구	석촌동	1	…	…	-	-	…	…	…	…	…	…	…
2012	송파구	삼전동	-	…	…	-	-	…	…	…	…	…	…	…
2012	송파구	가락본동	-	…	…	-	-	…	…	…	…	…	…	…
2012	송파구	가락1동	-	…	…	-	-	…	…	…	…	…	…	…
2012	송파구	가락2동	-	…	…	-	-	…	…	…	…	…	…	…
2012	송파구	문정1동	-	…	…	-	-	…	…	…	…	…	…	…
2012	송파구	문정2동	1	…	…	-	-	…	…	…	…	…	…	…
2012	송파구	장지동	-	…	…	-	-	…	…	…	…	…	…	…
2012	송파구	잠실본동	1	…	…	-	-	…	…	…	…	…	…	…
2012	송파구	잠실4동	-	…	…	-	-	…	…	…	…	…	…	…
2012	송파구	잠실6동	-	…	…	-	-	…	…	…	…	…	…	…
2012	송파구	잠실7동	-	…	…	-	-	…	…	…	…	…	…	…
2012	송파구	잠실2동	-	…	…	-	-	…	…	…	…	…	…	…
2012	송파구	잠실3동	-	…	…	-	-	…	…	…	…	…	…	…
2012	강동구	소계	12	1,348	50,306	3	330	11,436	7	689	32,597	2	329	6,273
2012	강동구	명일1동	1	51	2,075	-	-	-	1	51	2,075	-	-	-
2012	강동구	고덕2동	1	84	4,659	-	-	-	1	84	4,659	-	-	-
2012	강동구	암사2동	1	112	5,136	-	-	-	1	112	5,136	-	-	-
2012	강동구	천호3동	1	81	5,636	-	-	-	1	81	5,636	-	-	-
2012	강동구	성내1동	4	489	17,296	3	330	11,436	1	159	5,860	-	-	-
2012	강동구	성내3동	1	104	3,366	-	-	-	1	104	3,366	-	-	-
2012	강동구	둔촌1동	1	165	2,700	-	-	-	-	-	-	1	165	2,700
2012	강동구	둔촌2동	1	164	3,573	-	-	-	-	-	-	1	164	3,573
2012	강동구	암사1동	1	98	5,865	-	-	-	1	98	5,865	-	-	-
