기간	자치구	동	구분	구분	구분	구분	구분	구분	구분	구분	구분	구분	구분	구분	구분	구분	구분	구분	구분	구분	구분
기간	자치구	동	보육정원수	보육정원수	보육정원수	보육정원수	보육정원수	보육정원수	보육정원수	보육정원수	보육정원수	보육아동수	보육아동수	보육아동수	보육아동수	보육아동수	보육아동수	보육아동수	보육아동수	보육아동수	비고
기간	자치구	동	계	국공립	법인	민간	민간	민간	부모협동	직장	가정	계	국공립	법인	민간	민간	민간	부모협동	직장	가정	비고
기간	자치구	동	계	국공립	법인	계	개인	단체(법인외)	부모협동	직장	가정	계	국공립	법인	계	개인	단체(법인외)	부모협동	직장	가정	비고
2008	양천구	신정1동	…	104	-	…	149	…	-	-	82	…	…	-	…	…	…	-	-	…	-
2008	양천구	신정2동	…	79	-	…	282	…	-	-	52	…	…	-	…	…	…	-	-	…	-
2008	양천구	신정3동	…	104	-	…	618	…	-	-	197	…	…	-	…	…	…	-	-	…	-
2008	양천구	신정4동	…	342	-	…	770	…	-	-	104	…	…	-	…	…	…	-	-	…	-
2008	양천구	신정6동	…	-	-	…	208	…	-	49	114	…	…	-	…	…	…	-	33	…	-
2008	양천구	신정7동	…	397	-	…	165	…	-	-	186	…	…	-	…	…	…	-	-	…	-
2008	강서구	소계	13,443	2,571	292	7,904	7,662	242	34	49	2,593	11,439	2,309	258	6,697	6,475	222	32	43	2,100	-
2008	강서구	염창동	892	84	-	550	550	-	-	-	258	797	78	-	486	486	-	-	-	233	-
2008	강서구	등촌1동	278	84	-	129	129	-	-	-	65	249	70	-	117	117	-	-	-	62	-
2008	강서구	등촌2동	318	72	-	188	188	-	-	-	58	272	69	-	165	165	-	-	-	38	-
2008	강서구	등촌3동	1,139	448	-	581	581	-	-	-	110	957	409	-	465	465	-	-	-	83	-
2008	강서구	화곡본동	1,021	79	-	863	772	91	-	-	79	923	79	-	778	694	84	-	-	66	-
2008	강서구	화곡2동	663	136	-	446	386	60	-	-	81	552	134	-	371	321	50	-	-	47	-
2008	강서구	화곡3동	655	111	-	436	436	-	-	-	108	471	65	-	316	316	-	-	-	90	-
2008	강서구	화곡4동	825	79	-	708	708	-	-	-	38	716	79	-	606	606	-	-	-	31	-
2008	강서구	화곡6동	725	86	-	494	494	-	-	49	96	569	81	-	398	398	-	-	43	47	-
2008	강서구	화곡8동	669	79	-	404	364	40	34	-	152	571	78	-	331	294	37	32	-	130	-
2008	강서구	가양1동	321	87	-	99	99	-	-	-	135	276	87	-	74	74	-	-	-	115	-
2008	강서구	가양2동	400	265	20	96	96	-	-	-	19	340	214	20	87	87	-	-	-	19	-
2008	강서구	가양3동	244	79	-	105	105	-	-	-	60	230	72	-	99	99	-	-	-	59	-
2008	강서구	발산1동	954	141	99	363	363	-	-	-	351	809	141	80	316	316	-	-	-	272	-
2008	강서구	공항동	394	104	173	71	71	-	-	-	46	362	93	158	66	66	-	-	-	45	-
2008	강서구	방화1동	895	122	-	528	528	-	-	-	245	766	104	-	473	473	-	-	-	189	-
2008	강서구	방화2동	428	113	-	218	167	51	-	-	97	364	91	-	194	143	51	-	-	79	-
2008	강서구	방화3동	613	149	-	379	379	-	-	-	85	534	122	-	334	334	-	-	-	78	-
2008	강서구	화곡1동	1,217	163	-	894	894	-	-	-	160	1,007	153	-	721	721	-	-	-	133	-
2008	강서구	우장산동	792	90	-	352	352	-	-	-	350	674	90	-	300	300	-	-	-	284	-
2008	구로구	소계	10,585	2,027	306	5,958	5,415	543	20	112	2,162	9,100	1,896	288	5,005	4,526	479	20	83	1,808	보육정원은2009년8월말기준
2008	구로구	신도림동	…	…	…	321	…	…	-	-	…	…	…	-	…	…	…	-	…	…	-
2008	구로구	구로1동	…	…	…	135	…	…	-	32	…	…	…	-	…	…	…	-	…	…	-
2008	구로구	구로3동	…	…	…	269	…	…	-	-	…	…	…	-	…	…	…	-	…	…	-
2008	구로구	구로4동	…	…	…	213	…	…	-	-	…	…	…	-	…	…	…	-	…	…	-
2008	구로구	구로5동	…	…	…	736	…	…	-	-	…	…	…	-	…	…	…	-	…	…	-
2008	구로구	고척1동	…	…	…	327	…	…	-	-	…	…	…	142	…	…	…	-	…	…	-
2008	구로구	고척2동	…	…	…	663	…	…	-	-	…	…	…	67	…	…	…	-	…	…	-
2008	구로구	개봉2동	…	…	…	337	…	…	-	-	…	…	…	-	…	…	…	-	…	…	-
2008	구로구	개봉3동	…	…	…	643	…	…	-	-	…	…	…	-	…	…	…	-	…	…	-
2008	구로구	오류1동	…	…	…	322	…	…	-	80	…	…	…	-	…	…	…	-	…	…	-
2008	구로구	오류2동	…	…	…	261	…	…	-	-	…	…	…	-	…	…	…	-	…	…	-
2008	구로구	수궁동	…	…	…	296	…	…	20	-	…	…	…	-	…	…	…	20	…	…	-
2008	구로구	가리봉동	…	…	…	248	…	…	-	-	…	…	…	-	…	…	…	-	…	…	-
2008	구로구	구로2동	…	…	…	683	…	…	-	-	…	…	…	-	…	…	…	-	…	…	-
2008	구로구	개봉1동	…	…	…	504	…	…	-	-	…	…	…	79	…	…	…	-	…	…	-
2008	금천구	소계	8,469	1,049	-	6,065	4,594	1,471	-	101	1,254	6,724	939	-	4,743	3,513	1,230	-	53	989	-
2008	금천구	가산동	…	52	…	…	…	…	-	-	…	…	…	…	…	…	…	-	-	46	-
2008	금천구	독산1동	…	126	…	…	…	…	-	49	…	…	…	…	…	…	…	-	35	160	-
2008	금천구	독산2동	…	84	…	…	…	…	-	-	…	…	…	…	…	…	…	-	-	79	-
2008	금천구	독산3동	…	175	…	…	…	…	-	-	…	…	…	…	…	…	…	-	-	47	-
2008	금천구	독산4동	…	86	…	…	…	…	-	-	…	…	…	…	…	…	…	-	-	62	-
2008	금천구	시흥1동	…	168	…	…	…	…	-	52	…	…	…	…	…	…	…	-	18	154	-
2008	금천구	시흥2동	…	52	…	…	…	…	-	-	…	…	…	…	…	…	…	-	-	278	-
2008	금천구	시흥3동	…	126	…	…	…	…	-	-	…	…	…	…	…	…	…	-	-	-	-
2008	금천구	시흥4동	…	68	…	…	…	…	-	-	…	…	…	…	…	…	…	-	-	70	-
2008	금천구	시흥5동	…	112	…	…	…	…	-	-	…	…	…	…	…	…	…	-	-	93	-
2008	영등포구	소계	9,184	1,734	250	5,273	4,906	367	-	702	1,225	7,856	1,565	240	4,515	4,231	284	-	548	988	-
2008	영등포구	여의동	…	…	…	…	…	…	-	…	…	…	…	…	…	…	…	-	…	…	-
2008	영등포구	당산1동	…	…	…	…	…	…	-	…	…	…	…	…	…	…	…	-	…	…	-
2008	영등포구	당산2동	…	…	…	…	…	…	-	…	…	…	…	…	…	…	…	-	…	…	-
2008	영등포구	양평1동	…	…	…	…	…	…	-	…	…	…	…	…	…	…	…	-	…	…	-
2008	영등포구	양평2동	…	…	…	…	…	…	-	…	…	…	…	…	…	…	…	-	…	…	-
2008	영등포구	신길1동	…	…	…	…	…	…	-	…	…	…	…	…	…	…	…	-	…	…	-
2008	영등포구	신길3동	…	…	…	…	…	…	-	…	…	…	…	…	…	…	…	-	…	…	-
2008	영등포구	신길4동	…	…	…	…	…	…	-	…	…	…	…	…	…	…	…	-	…	…	-
2008	영등포구	신길5동	…	…	…	…	…	…	-	…	…	…	…	…	…	…	…	-	…	…	-
2008	영등포구	신길6동	…	…	…	…	…	…	-	…	…	…	…	…	…	…	…	-	…	…	-
2008	영등포구	신길7동	…	…	…	…	…	…	-	…	…	…	…	…	…	…	…	-	…	…	-
2008	영등포구	대림1동	…	…	…	…	…	…	-	…	…	…	…	…	…	…	…	-	…	…	-
2008	영등포구	대림2동	…	…	…	…	…	…	-	…	…	…	…	…	…	…	…	-	…	…	-
2008	영등포구	대림3동	…	…	…	…	…	…	-	…	…	…	…	…	…	…	…	-	…	…	-
2008	영등포구	영등포본동	…	…	…	…	…	…	-	…	…	…	…	…	…	…	…	-	…	…	-
2008	영등포구	영등포동	…	…	…	…	…	…	-	…	…	…	…	…	…	…	…	-	…	…	-
2008	영등포구	도림동	…	…	…	…	…	…	-	…	…	…	…	…	…	…	…	-	…	…	-
2008	영등포구	문래동	…	…	…	…	…	…	-	…	…	…	…	…	…	…	…	-	…	…	-
2008	동작구	소계	8,502	2,666	63	4,345	4,184	161	38	39	1,351	7,084	2,509	54	3,359	3,243	116	38	24	1,100	-
2008	동작구	노량진2동	…	139	…	…	…	20	-	…	…	…	…	…	…	…	…	-	…	…	-
2008	동작구	상도1동	…	509	…	…	…	-	-	…	…	…	…	…	…	…	…	-	…	…	-
2008	동작구	상도2동	…	129	…	…	…	-	-	…	…	…	…	…	…	…	…	-	…	…	-
2008	동작구	상도3동	…	144	…	…	…	-	-	…	…	…	…	…	…	…	…	-	…	…	-
2008	동작구	상도4동	…	148	…	…	…	-	38	…	…	…	…	…	…	…	…	38	…	…	-
2008	동작구	사당1동	…	205	…	…	…	-	-	…	…	…	…	…	…	…	…	-	…	…	-
2008	동작구	사당3동	…	256	…	…	…	-	-	…	…	…	…	…	…	…	…	-	…	…	-
2008	동작구	사당4동	…	47	…	…	…	-	-	…	…	…	…	…	…	…	…	-	…	…	-
2008	동작구	사당5동	…	178	…	…	…	-	-	…	…	…	…	…	…	…	…	-	…	…	-
2008	동작구	대방동	…	259	…	…	…	-	-	…	…	…	…	…	…	…	…	-	…	…	-
2008	동작구	신대방1동	…	79	…	…	…	-	-	…	…	…	…	…	…	…	…	-	…	…	-
2008	동작구	신대방2동	…	79	…	…	…	-	-	…	…	…	…	…	…	…	…	-	…	…	-
2008	동작구	흑석동	…	214	…	…	…	101	-	…	…	…	…	…	…	…	…	-	…	…	-
2008	동작구	노량진1동	…	120	…	…	…	40	-	…	…	…	…	…	…	…	…	-	…	…	-
2008	동작구	사당2동	…	160	…	…	…	-	-	…	…	…	…	…	…	…	…	-	…	…	-
2008	관악구	소계	11,015	2,914	185	5,812	4,541	1,271	-	243	1,861	9,227	2,673	132	4,688	3,844	844	-	196	1,538	-
2008	관악구	보라매동	…	…	…	…	433	…	-	…	…	…	…	…	…	…	…	-	…	…	-
2008	관악구	청림동	…	…	…	…	-	…	-	…	…	…	…	…	…	…	…	-	…	…	-
2008	관악구	행운동	…	…	…	…	201	…	-	…	…	…	…	…	…	…	…	-	…	…	-
2008	관악구	낙성대동	…	…	…	…	-	…	-	…	…	…	…	…	…	…	…	-	…	…	-
2008	관악구	중앙동	…	…	…	…	197	…	-	…	…	…	…	…	…	…	…	-	…	…	-
2008	관악구	인헌동	…	…	…	…	379	…	-	…	…	…	…	…	…	…	…	-	…	…	-
2008	관악구	남현동	…	…	…	…	153	…	-	…	…	…	…	…	…	…	…	-	…	…	-
2008	관악구	서원동	…	…	…	…	424	…	-	…	…	…	…	…	…	…	…	-	…	…	-
2008	관악구	신원동	…	…	…	…	-	…	-	…	…	…	…	…	…	…	…	-	…	…	-
2008	관악구	서림동	…	…	…	…	97	…	-	…	…	…	…	…	…	…	…	-	…	…	-
2008	관악구	신사동	…	…	…	…	548	…	-	…	…	…	…	…	…	…	…	-	…	…	-
2008	관악구	신림동	…	…	…	…	-	…	-	…	…	…	…	…	…	…	…	-	…	…	-
2008	관악구	난향동	…	…	…	…	72	…	-	…	…	…	…	…	…	…	…	-	…	…	-
2008	관악구	조원동	…	…	…	…	-	…	-	…	…	…	…	…	…	…	…	-	…	…	-
2008	관악구	대학동	…	…	…	…	406	…	-	…	…	…	…	…	…	…	…	-	…	…	-
2008	관악구	은천동	…	…	…	…	734	…	-	…	…	…	…	…	…	…	…	-	…	…	-
2008	관악구	성현동	…	…	…	…	177	…	-	…	…	…	…	…	…	…	…	-	…	…	-
2008	관악구	청룡동	…	…	…	…	88	…	-	…	…	…	…	…	…	…	…	-	…	…	-
2008	관악구	난곡동	…	…	…	…	286	…	-	…	…	…	…	…	…	…	…	-	…	…	-
2008	관악구	삼성동	…	…	…	…	82	…	-	…	…	…	…	…	…	…	…	-	…	…	-
2008	관악구	미성동	…	…	…	…	264	…	-	…	…	…	…	…	…	…	…	-	…	…	-
2008	서초구	소계	6,493	1,773	-	2,709	2,473	236	82	900	1,029	5,364	1,636	-	2,181	1,958	223	31	712	804	-
2008	서초구	서초1동	…	…	-	…	…	…	-	…	…	…	…	-	…	…	…	-	…	…	-
2008	서초구	서초2동	…	…	-	…	…	…	-	…	…	…	…	-	…	…	…	-	…	…	-
2008	서초구	서초3동	…	…	-	…	…	…	49	…	…	…	…	-	…	…	…	6	…	…	-
2008	서초구	서초4동	…	…	-	…	…	…	-	…	…	…	…	-	…	…	…	-	…	…	-
2008	서초구	잠원동	…	…	-	…	…	…	-	…	…	…	…	-	…	…	…	-	…	…	-
2008	서초구	반포본동	…	…	-	…	…	…	-	…	…	…	…	-	…	…	…	-	…	…	-
2008	서초구	반포1동	…	…	-	…	…	…	-	…	…	…	…	-	…	…	…	-	…	…	-
2008	서초구	반포2동	…	…	-	…	…	…	-	…	…	…	…	-	…	…	…	-	…	…	-
2008	서초구	반포3동	…	…	-	…	…	…	-	…	…	…	…	-	…	…	…	-	…	…	-
2008	서초구	반포4동	…	…	-	…	…	…	-	…	…	…	…	-	…	…	…	-	…	…	-
2008	서초구	방배본동	…	…	-	…	…	…	-	…	…	…	…	-	…	…	…	-	…	…	-
2008	서초구	방배1동	…	…	-	…	…	…	-	…	…	…	…	-	…	…	…	-	…	…	-
2008	서초구	방배2동	…	…	-	…	…	…	-	…	…	…	…	-	…	…	…	-	…	…	-
2008	서초구	방배3동	…	…	-	…	…	…	-	…	…	…	…	-	…	…	…	-	…	…	-
2008	서초구	방배4동	…	…	-	…	…	…	-	…	…	…	…	-	…	…	…	-	…	…	-
2008	서초구	양재1동	…	…	-	…	…	…	33	…	…	…	…	-	…	…	…	25	…	…	-
2008	서초구	양재2동	…	…	-	…	…	…	-	…	…	…	…	-	…	…	…	-	…	…	-
2008	서초구	내곡동	…	…	-	…	…	…	-	…	…	…	…	-	…	…	…	-	…	…	-
2008	강남구	소계	8,244	3,323	-	3,441	3,441	-	-	680	800	6,702	2,985	-	2,664	2,664	-	-	414	639	-
2008	강남구	신사동	…	…	-	…	…	-	-	-	…	…	…	-	…	…	-	-	…	…	-
2008	강남구	논현1동	…	…	-	…	…	-	-	35	…	…	…	-	…	…	-	-	…	…	-
2008	강남구	논현2동	…	…	-	…	…	-	-	-	…	…	…	-	…	…	-	-	…	…	-
2008	강남구	압구정1동	…	…	-	…	…	-	-	-	…	…	…	-	…	…	-	-	…	…	-
2008	강남구	압구정2동	…	…	-	…	…	-	-	-	…	…	…	-	…	…	-	-	…	…	-
2008	강남구	청담1동	…	…	-	…	…	-	-	-	…	…	…	-	…	…	-	-	…	…	-
2008	강남구	청담2동	…	…	-	…	…	-	-	-	…	…	…	-	…	…	-	-	…	…	-
2008	강남구	삼성1동	…	…	-	…	…	-	-	229	…	…	…	-	…	…	-	-	…	…	-
2008	강남구	삼성2동	…	…	-	…	…	-	-	49	…	…	…	-	…	…	-	-	…	…	-
2008	강남구	대치1동	…	…	-	…	…	-	-	-	…	…	…	-	…	…	-	-	…	…	-
2008	강남구	대치2동	…	…	-	…	…	-	-	-	…	…	…	-	…	…	-	-	…	…	-
2008	강남구	대치3동	…	…	-	…	…	-	-	-	…	…	…	-	…	…	-	-	…	…	-
2008	강남구	대치4동	…	…	-	…	…	-	-	-	…	…	…	-	…	…	-	-	…	…	-
2008	강남구	역삼1동	…	…	-	…	…	-	-	39	…	…	…	-	…	…	-	-	…	…	-
2008	강남구	역삼2동	…	…	-	…	…	-	-	39	…	…	…	-	…	…	-	-	…	…	-
2008	강남구	도곡1동	…	…	-	…	…	-	-	-	…	…	…	-	…	…	-	-	…	…	-
2008	강남구	도곡2동	…	…	-	…	…	-	-	-	…	…	…	-	…	…	-	-	…	…	-
2008	강남구	개포1동	…	…	-	…	…	-	-	39	…	…	…	-	…	…	-	-	…	…	-
2008	강남구	개포2동	…	…	-	…	…	-	-	-	…	…	…	-	…	…	-	-	…	…	-
2008	강남구	개포3동	…	…	-	…	…	-	-	-	…	…	…	-	…	…	-	-	…	…	-
2008	강남구	개포4동	…	…	-	…	…	-	-	-	…	…	…	-	…	…	-	-	…	…	-
2008	강남구	일원본동	…	…	-	…	…	-	-	-	…	…	…	-	…	…	-	-	…	…	-
2008	강남구	일원1동	…	…	-	…	…	-	-	-	…	…	…	-	…	…	-	-	…	…	-
2008	강남구	일원2동	…	…	-	…	…	-	-	-	…	…	…	-	…	…	-	-	…	…	-
2008	강남구	수서동	…	…	-	…	…	-	-	250	…	…	…	-	…	…	-	-	…	…	-
2008	강남구	세곡동	…	…	-	…	…	-	-	-	…	…	…	-	…	…	-	-	…	…	-
2008	송파구	소계	11,160	2,467	84	5,796	5,268	528	-	433	2,380	9,524	2,291	83	4,982	4,559	423	-	355	1,813	-
2008	송파구	풍납1동	…	…	-	…	…	…	-	167	…	…	…	-	…	…	…	-	…	…	-
2008	송파구	풍납2동	…	…	-	…	…	…	-	-	…	…	…	-	…	…	…	-	…	…	-
2008	송파구	거여1동	…	…	84	…	…	…	-	-	…	…	…	83	…	…	…	-	…	…	-
2008	송파구	거여2동	…	…	-	…	…	…	-	-	…	…	…	-	…	…	…	-	…	…	-
2008	송파구	마천1동	…	…	-	…	…	…	-	-	…	…	…	-	…	…	…	-	…	…	-
2008	송파구	마천2동	…	…	-	…	…	…	-	-	…	…	…	-	…	…	…	-	…	…	-
2008	송파구	방이1동	…	…	-	…	…	…	-	72	…	…	…	-	…	…	…	-	…	…	-
2008	송파구	방이2동	…	…	-	…	…	…	-	-	…	…	…	-	…	…	…	-	…	…	-
2008	송파구	오륜동	…	…	-	…	…	…	-	-	…	…	…	-	…	…	…	-	…	…	-
2008	송파구	오금동	…	…	-	…	…	…	-	-	…	…	…	-	…	…	…	-	…	…	-
2008	송파구	송파1동	…	…	-	…	…	…	-	37	…	…	…	-	…	…	…	-	…	…	-
2008	송파구	송파2동	…	…	-	…	…	…	-	-	…	…	…	-	…	…	…	-	…	…	-
2008	송파구	석촌동	…	…	-	…	…	…	-	-	…	…	…	-	…	…	…	-	…	…	-
2008	송파구	삼전동	…	…	-	…	…	…	-	-	…	…	…	-	…	…	…	-	…	…	-
2008	송파구	가락본동	…	…	-	…	…	…	-	-	…	…	…	-	…	…	…	-	…	…	-
2008	송파구	가락1동	…	…	-	…	…	…	-	-	…	…	…	-	…	…	…	-	…	…	-
2008	송파구	가락2동	…	…	-	…	…	…	-	32	…	…	…	-	…	…	…	-	…	…	-
2008	송파구	문정1동	…	…	-	…	…	…	-	-	…	…	…	-	…	…	…	-	…	…	-
2008	송파구	문정2동	…	…	-	…	…	…	-	-	…	…	…	-	…	…	…	-	…	…	-
2008	송파구	장지동	…	…	-	…	…	…	-	-	…	…	…	-	…	…	…	-	…	…	-
2008	송파구	잠실본동	…	…	-	…	…	…	-	-	…	…	…	-	…	…	…	-	…	…	-
2008	송파구	잠실4동	…	…	-	…	…	…	-	-	…	…	…	-	…	…	…	-	…	…	-
2008	송파구	잠실6동	…	…	-	…	…	…	-	125	…	…	…	-	…	…	…	-	…	…	-
2008	송파구	잠실7동	…	…	-	…	…	…	-	-	…	…	…	-	…	…	…	-	…	…	-
2008	송파구	잠실2동	…	…	-	…	…	…	-	-	…	…	…	-	…	…	…	-	…	…	-
2008	송파구	잠실3동	…	…	-	…	…	…	-	-	…	…	…	-	…	…	…	-	…	…	-
2008	강동구	소계	9,427	1,796	87	6,143	6,044	99	-	54	1,347	7,731	1,675	83	4,932	4,835	97	-	49	992	-
2008	강동구	강일동	…	-	-	…	…	-	-	-	…	…	…	-	…	…	-	-	…	…	-
2008	강동구	상일동	…	135	-	…	…	-	-	-	…	…	…	-	…	…	-	-	…	…	-
2008	강동구	명일1동	…	74	-	…	…	-	-	-	…	…	…	-	…	…	-	-	…	…	-
2008	강동구	명일2동	…	-	-	…	…	-	-	-	…	…	…	-	…	…	-	-	…	…	-
2008	강동구	고덕1동	…	201	-	…	…	-	-	-	…	…	…	-	…	…	-	-	…	…	-
2008	강동구	고덕2동	…	79	-	…	…	-	-	-	…	…	…	-	…	…	-	-	…	…	-
2008	강동구	암사2동	…	102	-	…	…	-	-	-	…	…	…	-	…	…	-	-	…	…	-
2008	강동구	암사3동	…	77	-	…	…	-	-	-	…	…	…	-	…	…	-	-	…	…	-
2008	강동구	천호1동	…	221	-	…	…	-	-	-	…	…	…	-	…	…	-	-	…	…	-
2008	강동구	천호3동	…	79	-	…	…	-	-	-	…	…	…	-	…	…	-	-	…	…	-
2008	강동구	성내1동	…	62	-	…	…	-	-	54	…	…	…	-	…	…	-	-	49	…	-
2008	강동구	성내2동	…	80	-	…	…	-	-	-	…	…	…	-	…	…	-	-	…	…	-
2008	강동구	성내3동	…	94	-	…	…	-	-	-	…	…	…	-	…	…	-	-	…	…	-
2008	강동구	둔촌1동	…	-	-	…	…	-	-	-	…	…	…	-	…	…	-	-	…	…	-
2008	강동구	둔촌2동	…	113	87	…	…	-	-	-	…	…	…	83	…	…	-	-	…	…	-
2008	강동구	암사1동	…	116	-	…	…	-	-	-	…	…	…	-	…	…	-	-	…	…	-
2008	강동구	천호2동	…	363	-	…	…	-	-	-	…	…	…	-	…	…	-	-	…	…	-
2008	강동구	길동	…	-	-	…	…	99	-	-	…	…	…	-	…	…	97	-	…	…	-
